Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,8.0,0,False,,
Runde2,9.5,0,False,,
Runde3,13.5,0,True,,
Runde4,14.5,0,True,,
Runde5,18.5,0,False,,
Runde6,21.0,0,False,,
Runde7,27.0,0,False,,
Runde8,33.5,0,False,,
Runde9,37.5,0,True,,
Runde10,44.5,0,True,,
Runde11,53.5,0,False,,
Runde12,65.0,0,True,,
Runde13,69.0,0,False,,
Runde14,74.5,0,False,,
Runde15,78.5,0,True,,
Runde16,89.0,0,True,,
Runde17,94.0,0,False,,
Runde18,108.0,0,False,,
Runde19,111.5,0,False,,
Runde20,115.0,0,False,,
Runde21,115.5,0,False,,
Runde22,127.5,0,False,,
Runde23,129.0,0,False,,
Runde24,134.0,0,True,,
Runde25,141.0,0,True,,
Runde26,144.5,0,False,,
Runde27,152.0,0,False,,
Runde28,163.0,0,False,,
Runde29,165.0,0,False,,
Runde30,176.0,0,False,,
Runde31,180.5,0,False,,
Runde32,182.5,0,False,,
Runde33,194.5,0,False,,
Runde34,206.0,0,False,,
Runde35,213.5,0,False,,
Runde36,218.0,0,False,,
Runde37,223.0,0,False,,
Runde38,230.5,0,False,,
Runde39,236.0,0,False,,
Runde40,,,False,,
