Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,8.0,3,False,,
Runde2,13.5,6,False,Adrianna: positive,Adrianna: 10
Runde3,16.0,13,False,Carmita: positive,Carmita: 10
Runde4,25.5,12,False,,
Runde5,37.0,10,False,Adrianna: positive,Adrianna: 10.0
Runde6,56.5,3,False,Tallie: positive | Donelle: positive,Tallie: 10 | Donelle: 10
Runde7,76.0,4,False,Adrianna: positive | Tallie: positive | Carmita: positive,Adrianna: 10.0 | Tallie: 10.0 | Carmita: 10.0
Runde8,97.0,3,False,Carmita: positive,Carmita: 10.0
Runde9,104.5,0,False,Carmita: positive,Carmita: 10.0
Runde10,109.0,5,False,,
Runde11,115.5,7,False,Donelle: positive,Donelle: 10.0
Runde12,133.5,3,False,Carmita: positive,Carmita: 10.0
Runde13,152.5,3,False,Adrianna: positive | Tallie: positive,Adrianna: 10.0 | Tallie: 10.0
Runde14,157.5,18,False,Tallie: positive | Carmita: positive | Donelle: positive,Tallie: 10.0 | Carmita: 10.0 | Donelle: 10.0
Runde15,175.5,0,False,Donelle: positive,Donelle: 10.0
Runde16,187.5,9,False,Tallie: positive,Tallie: 10.0
Runde17,207.0,9,False,Donelle: positive,Donelle: 10.0
Runde18,218.5,2,False,Tallie: positive | Donelle: positive,Tallie: 10.0 | Donelle: 10.0
Runde19,228.5,3,False,Carmita: positive,Carmita: 10.0
Runde20,241.5,12,False,,
Runde21,259.0,9,False,Tallie: positive | Donelle: positive,Tallie: 10.0 | Donelle: 10.0
Runde22,283.0,1,False,Adrianna: positive | Carmita: positive,Adrianna: 10.0 | Carmita: 10.0
Runde23,301.0,10,False,Adrianna: positive | Carmita: positive | Donelle: positive,Adrianna: 10.0 | Carmita: 10.0 | Donelle: 10.0
Runde24,312.5,7,False,Tallie: positive | Carmita: positive,Tallie: 10.0 | Carmita: 10.0
Runde25,,,False,,
