Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,38.25,2,False,,
Runde2,128.75,4,False,Robinia: positive,Robinia: 10
Runde3,259.0,1,False,Marlyn: positive | Ethyl: positive | Elenore: positive,Marlyn: 10 | Ethyl: 10 | Elenore: 10
Runde4,381.5,20,True,Pammy: positive | Robinia: negative | Lindsay: positive,Pammy: 10 | Robinia: 5.5 | Lindsay: 10
Runde5,549.75,2,True,Joice: negative | Cthrine: negative | Daile: negative | Marlyn: negative | Deloria: negative | Elenore: negative | Lindsay: negative | Dawna: negative | Gianina: negative,Joice: 1 | Cthrine: 1 | Daile: 1 | Marlyn: 5.5 | Deloria: 1 | Elenore: 5.5 | Lindsay: 5.5 | Dawna: 1 | Gianina: 1
Runde6,679.25,10,True,Cthrine: positive | Donnie: positive | Deloria: positive | Elenore: positive | Lindsay: positive | Shelby: positive | Dawna: positive,Cthrine: 5.5 | Donnie: 10 | Deloria: 5.5 | Elenore: 7.428571428571429 | Lindsay: 7.428571428571429 | Shelby: 10 | Dawna: 5.5
Runde7,830.0,0,True,Jacquie: negative | Cthrine: negative | Elenore: negative | Robinia: negative | Franny: negative | Shelby: negative | Dawna: negative | Gianina: negative,Jacquie: 1 | Cthrine: 3.5714285714285716 | Elenore: 6.4 | Robinia: 4.857142857142857 | Franny: 1 | Shelby: 5.5 | Dawna: 3.5714285714285716 | Gianina: 1.0
Runde8,1012.25,15,True,Dorolice: negative | Joice: negative | Jacquie: positive | Cthrine: negative | Lindsay: negative | Franny: positive | Gianina: negative | Defector: negative,Dorolice: 1 | Joice: 1.0 | Jacquie: 5.5 | Cthrine: 2.8 | Lindsay: 6.4 | Franny: 5.5 | Gianina: 1.0 | Defector: 1
Runde9,1167.0,20,True,Cthrine: negative | Marlyn: negative | Lindsay: negative | Franny: negative | Zonda: negative | Gianina: negative | Defector: negative,Cthrine: 2.3846153846153846 | Marlyn: 4.857142857142857 | Lindsay: 5.846153846153846 | Franny: 3.5714285714285716 | Zonda: 1 | Gianina: 1.0 | Defector: 1.0
Runde10,1356.0,15,True,Jacquie: negative | Daile: negative | Donnie: negative | Pammy: negative | Celestia: negative | Deloria: negative | Elenore: negative | Lindsay: negative | Franny: negative | Zonda: negative | Shelby: negative | Defector: negative,Jacquie: 3.5714285714285716 | Daile: 1.0 | Donnie: 5.5 | Pammy: 5.5 | Celestia: 1 | Deloria: 3.5714285714285716 | Elenore: 5.846153846153846 | Lindsay: 5.5 | Franny: 2.8 | Zonda: 1.0 | Shelby: 4.857142857142857 | Defector: 1.0
Runde11,1522.5,9,True,Dorolice: negative | Pammy: negative | Deloria: negative | Robinia: negative | Zonda: negative | Shelby: negative | Dawna: negative | Gianina: negative,Dorolice: 1.0 | Pammy: 4.857142857142857 | Deloria: 2.8 | Robinia: 4.6 | Zonda: 1.0 | Shelby: 4.6 | Dawna: 2.8 | Gianina: 1.0
Runde12,1675.75,8,True,Dorolice: negative | Donnie: negative | Pammy: negative | Marlyn: negative | Ethyl: negative | Deloria: negative | Elenore: negative | Robinia: negative | Lindsay: negative | Zonda: negative | Dawna: negative | Gianina: negative,Dorolice: 1.0 | Donnie: 4.857142857142857 | Pammy: 4.6 | Marlyn: 4.6 | Ethyl: 5.5 | Deloria: 2.3846153846153846 | Elenore: 5.5 | Robinia: 4.461538461538462 | Lindsay: 5.2631578947368425 | Zonda: 1.0 | Dawna: 2.3846153846153846 | Gianina: 1.0
Runde13,1841.25,16,True,Joice: negative | Daile: negative | Pammy: negative | Franny: negative | Zonda: negative | Dawna: negative,Joice: 1.0 | Daile: 1.0 | Pammy: 4.461538461538462 | Franny: 2.3846153846153846 | Zonda: 1.0 | Dawna: 2.125
Runde14,2020.75,14,True,Dorolice: negative | Jacquie: negative | Deloria: negative | Lindsay: negative | Dawna: negative | Gianina: negative,Dorolice: 1.0 | Jacquie: 2.8 | Deloria: 2.125 | Lindsay: 5.090909090909091 | Dawna: 1.9473684210526316 | Gianina: 1.0
