Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,39.25,1,False,,
Runde2,130.75,3,False,Zonda: positive | Gianina: positive,Zonda: 10 | Gianina: 10
Runde3,253.0,9,False,Marlyn: positive | Elenore: positive | Gianina: positive,Marlyn: 10 | Elenore: 10 | Gianina: 10.0
Runde4,393.5,8,False,Marlyn: negative | Robinia: negative | Franny: positive | Zonda: negative | Shelby: positive | Gianina: positive | Defector: negative,Marlyn: 5.5 | Robinia: 1 | Franny: 10 | Zonda: 5.5 | Shelby: 10 | Gianina: 10.0 | Defector: 1
Runde5,543.75,11,True,Pammy: negative | Celestia: positive | Franny: positive | Zonda: negative | Gianina: negative | Defector: negative,Pammy: 1 | Celestia: 10 | Franny: 10.0 | Zonda: 4.857142857142857 | Gianina: 8.2 | Defector: 1.0
Runde6,686.25,9,True,Bambi: negative | Pammy: negative | Celestia: negative | Elenore: negative | Robinia: negative,Bambi: 1 | Pammy: 1.0 | Celestia: 5.5 | Elenore: 5.5 | Robinia: 1.0
Runde7,837.0,0,True,Daile: negative | Bambi: negative | Celestia: negative | Marlyn: negative | Ethyl: negative | Elenore: negative | Zonda: negative | Dawna: negative | Gianina: negative | Defector: negative,Daile: 1 | Bambi: 1.0 | Celestia: 4.857142857142857 | Marlyn: 4.857142857142857 | Ethyl: 1 | Elenore: 4.857142857142857 | Zonda: 4.6 | Dawna: 1 | Gianina: 7.230769230769231 | Defector: 1.0
Runde8,1032.25,11,True,Dorolice: negative | Daile: negative | Donnie: negative | Pammy: negative | Celestia: negative | Elenore: negative | Lindsay: negative | Dawna: negative | Defector: negative,Dorolice: 1 | Daile: 1.0 | Donnie: 1 | Pammy: 1.0 | Celestia: 4.6 | Elenore: 4.6 | Lindsay: 1 | Dawna: 1.0 | Defector: 1.0
Runde9,1201.0,9,True,Dorolice: negative | Shelby: negative | Dawna: negative | Defector: negative,Dorolice: 1.0 | Shelby: 5.5 | Dawna: 1.0 | Defector: 1.0
