Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,36.25,4,False,,
Runde2,128.75,2,False,,
Runde3,252.0,8,False,Dorolice: positive | Jacquie: positive | Marlyn: positive | Ethyl: positive | Franny: positive | Gianina: positive,Dorolice: 10 | Jacquie: 10 | Marlyn: 10 | Ethyl: 10 | Franny: 10 | Gianina: 10
Runde4,390.5,7,False,Marlyn: negative | Robinia: negative | Lindsay: positive,Marlyn: 5.5 | Robinia: 1 | Lindsay: 10
Runde5,537.75,17,True,Jacquie: negative | Pammy: negative | Marlyn: negative | Dawna: negative | Defector: negative,Jacquie: 5.5 | Pammy: 1 | Marlyn: 4.857142857142857 | Dawna: 1 | Defector: 1
Runde6,687.25,11,True,Bambi: negative | Celestia: negative | Marlyn: negative | Lindsay: positive | Zonda: negative | Shelby: positive | Gianina: negative | Defector: negative,Bambi: 1 | Celestia: 1 | Marlyn: 4.6 | Lindsay: 10.0 | Zonda: 1 | Shelby: 10 | Gianina: 5.5 | Defector: 1.0
Runde7,825.0,13,True,Dorolice: negative | Celestia: negative | Marlyn: negative | Deloria: positive | Franny: positive | Zonda: negative,Dorolice: 5.5 | Celestia: 1.0 | Marlyn: 4.461538461538462 | Deloria: 10 | Franny: 10.0 | Zonda: 1.0
Runde8,1015.25,16,True,Joice: negative | Cthrine: negative | Donnie: negative | Pammy: negative | Marlyn: negative | Ethyl: negative | Deloria: negative | Shelby: negative | Dawna: negative,Joice: 1 | Cthrine: 1 | Donnie: 1 | Pammy: 1.0 | Marlyn: 4.375 | Ethyl: 5.5 | Deloria: 5.5 | Shelby: 5.5 | Dawna: 1.0
Runde9,1178.0,15,True,Dorolice: negative | Marlyn: negative | Lindsay: negative | Franny: negative | Shelby: negative | Gianina: negative,Dorolice: 4.857142857142857 | Marlyn: 4.315789473684211 | Lindsay: 7.428571428571429 | Franny: 7.428571428571429 | Shelby: 4.857142857142857 | Gianina: 4.857142857142857
