Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,39.25,1,False,,
Runde2,130.75,3,False,Gianina: positive,Gianina: 10
Runde3,250.0,12,False,Joice: positive | Elenore: positive,Joice: 10 | Elenore: 10
Runde4,392.5,12,False,Jacquie: negative | Pammy: positive | Ethyl: negative | Robinia: negative | Shelby: positive | Gianina: positive | Defector: negative,Jacquie: 1 | Pammy: 10 | Ethyl: 1 | Robinia: 1 | Shelby: 10 | Gianina: 10.0 | Defector: 1
Runde5,538.75,18,True,Jacquie: negative | Bambi: positive | Franny: positive | Defector: negative,Jacquie: 1.0 | Bambi: 10 | Franny: 10 | Defector: 1.0
Runde6,679.25,17,True,Joice: negative | Bambi: negative | Marlyn: negative | Zonda: negative | Gianina: negative | Defector: negative,Joice: 5.5 | Bambi: 5.5 | Marlyn: 1 | Zonda: 1 | Gianina: 7.428571428571429 | Defector: 1.0
Runde7,816.0,11,True,Joice: positive | Jacquie: negative | Pammy: positive | Deloria: positive | Zonda: negative | Defector: negative,Joice: 7.428571428571429 | Jacquie: 1.0 | Pammy: 10.0 | Deloria: 10 | Zonda: 1.0 | Defector: 1.0
Runde8,999.25,17,True,Dorolice: negative | Joice: negative | Bambi: negative | Lindsay: negative | Franny: positive | Zonda: positive,Dorolice: 1 | Joice: 6.4 | Bambi: 4.857142857142857 | Lindsay: 1 | Franny: 10.0 | Zonda: 3.5714285714285716
Runde9,1158.0,13,True,Marlyn: negative | Elenore: negative,Marlyn: 1.0 | Elenore: 5.5
Runde10,1335.0,18,True,Jacquie: negative | Cthrine: negative | Pammy: negative | Marlyn: negative | Ethyl: negative | Elenore: negative | Lindsay: negative | Franny: negative,Jacquie: 1.0 | Cthrine: 1 | Pammy: 7.428571428571429 | Marlyn: 1.0 | Ethyl: 1.0 | Elenore: 4.857142857142857 | Lindsay: 1.0 | Franny: 7.428571428571429
