Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,39.25,1,False,,
Runde2,115.75,18,False,Robinia: positive | Zonda: positive,Robinia: 10 | Zonda: 10
Runde3,237.0,10,False,Joice: positive | Jacquie: positive | Marlyn: positive,Joice: 10 | Jacquie: 10 | Marlyn: 10
Runde4,378.5,1,False,Dorolice: positive | Joice: positive | Donnie: positive | Lindsay: positive | Zonda: positive | Dawna: positive | Gianina: positive,Dorolice: 10 | Joice: 10.0 | Donnie: 10 | Lindsay: 10 | Zonda: 10.0 | Dawna: 10 | Gianina: 10
Runde5,520.75,10,True,Dorolice: positive | Joice: positive | Cthrine: positive | Bambi: positive | Celestia: positive | Lindsay: positive | Franny: positive | Zonda: positive | Shelby: positive | Gianina: positive,Dorolice: 10.0 | Joice: 10.0 | Cthrine: 10 | Bambi: 10 | Celestia: 10 | Lindsay: 10.0 | Franny: 10 | Zonda: 10.0 | Shelby: 10 | Gianina: 10.0
Runde6,660.25,0,True,Dorolice: positive | Joice: positive | Donnie: positive | Celestia: positive | Marlyn: positive | Deloria: positive | Lindsay: positive | Franny: positive | Shelby: positive | Dawna: positive,Dorolice: 10.0 | Joice: 10.0 | Donnie: 10.0 | Celestia: 10.0 | Marlyn: 10.0 | Deloria: 10 | Lindsay: 10.0 | Franny: 10.0 | Shelby: 10.0 | Dawna: 10.0
Runde7,779.0,11,True,Joice: positive | Cthrine: positive | Daile: positive | Donnie: positive | Bambi: positive | Pammy: positive | Ethyl: positive | Deloria: positive | Lindsay: positive | Shelby: positive | Gianina: positive,Joice: 10.0 | Cthrine: 10.0 | Daile: 10 | Donnie: 10.0 | Bambi: 10.0 | Pammy: 10 | Ethyl: 10 | Deloria: 10.0 | Lindsay: 10.0 | Shelby: 10.0 | Gianina: 10.0
Runde8,950.25,5,True,Daile: positive | Pammy: positive | Celestia: positive | Marlyn: positive | Ethyl: positive | Deloria: positive | Franny: positive | Dawna: positive,Daile: 10.0 | Pammy: 10.0 | Celestia: 10.0 | Marlyn: 10.0 | Ethyl: 10.0 | Deloria: 10.0 | Franny: 10.0 | Dawna: 10.0
Runde9,1092.0,6,True,Joice: positive | Jacquie: positive | Daile: positive | Robinia: positive | Lindsay: positive | Franny: positive | Shelby: positive | Gianina: positive,Joice: 10.0 | Jacquie: 10.0 | Daile: 10.0 | Robinia: 10.0 | Lindsay: 10.0 | Franny: 10.0 | Shelby: 10.0 | Gianina: 10.0
