Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,37.25,3,False,,
Runde2,124.75,7,False,Robinia: positive | Zonda: positive | Gianina: positive,Robinia: 10 | Zonda: 10 | Gianina: 10
Runde3,253.0,3,False,Deloria: positive | Dawna: positive,Deloria: 10 | Dawna: 10
Runde4,390.5,5,True,Donnie: positive | Deloria: positive | Franny: positive | Gianina: positive,Donnie: 10 | Deloria: 10.0 | Franny: 10 | Gianina: 10.0
Runde5,535.75,16,True,Celestia: positive | Marlyn: negative | Deloria: negative | Elenore: negative | Robinia: positive | Lindsay: negative | Franny: positive | Zonda: negative,Celestia: 10 | Marlyn: 1 | Deloria: 7.428571428571429 | Elenore: 1 | Robinia: 10.0 | Lindsay: 1 | Franny: 10.0 | Zonda: 5.5
Runde6,681.25,9,True,Jacquie: negative | Donnie: positive | Bambi: negative | Celestia: negative | Shelby: positive | Gianina: negative,Jacquie: 1 | Donnie: 10.0 | Bambi: 1 | Celestia: 5.5 | Shelby: 10 | Gianina: 7.428571428571429
Runde7,812.0,14,True,Donnie: positive | Celestia: negative | Marlyn: negative | Robinia: positive | Franny: positive,Donnie: 10.0 | Celestia: 4.857142857142857 | Marlyn: 1.0 | Robinia: 10.0 | Franny: 10.0
Runde8,989.25,17,True,Joice: negative | Marlyn: negative,Joice: 1 | Marlyn: 1.0
Runde9,1152.0,3,True,Donnie: positive | Pammy: positive | Celestia: negative | Marlyn: negative | Deloria: positive | Robinia: positive | Zonda: positive,Donnie: 10.0 | Pammy: 10 | Celestia: 4.6 | Marlyn: 1.0 | Deloria: 8.2 | Robinia: 10.0 | Zonda: 7.428571428571429
Runde10,1319.0,19,True,Bambi: positive | Robinia: positive | Franny: negative | Zonda: positive | Dawna: positive | Gianina: positive | Defector: negative,Bambi: 5.5 | Robinia: 10.0 | Franny: 8.2 | Zonda: 8.2 | Dawna: 10.0 | Gianina: 8.2 | Defector: 1
Runde11,1471.5,8,True,Cthrine: negative | Lindsay: negative | Zonda: negative | Gianina: negative,Cthrine: 1 | Lindsay: 1.0 | Zonda: 7.230769230769231 | Gianina: 7.230769230769231
Runde12,1614.75,0,True,Jacquie: positive | Daile: negative | Pammy: negative | Celestia: positive | Elenore: positive | Robinia: negative | Franny: negative,Jacquie: 5.5 | Daile: 1 | Pammy: 5.5 | Celestia: 5.846153846153846 | Elenore: 5.5 | Robinia: 8.875 | Franny: 7.230769230769231
Runde13,1762.25,16,True,Deloria: negative | Gianina: negative | Defector: negative,Deloria: 7.230769230769231 | Gianina: 6.625 | Defector: 1.0
Runde14,1931.75,9,True,Joice: negative | Jacquie: negative | Cthrine: negative | Daile: negative | Robinia: negative | Lindsay: negative | Franny: negative | Shelby: negative | Gianina: negative | Defector: negative,Joice: 1.0 | Jacquie: 3.5714285714285716 | Cthrine: 1.0 | Daile: 1.0 | Robinia: 8.105263157894736 | Lindsay: 1.0 | Franny: 6.625 | Shelby: 5.5 | Gianina: 6.2105263157894735 | Defector: 1.0
Runde15,2092.75,4,True,Donnie: positive | Lindsay: negative | Zonda: negative | Gianina: negative,Donnie: 10.0 | Lindsay: 1.0 | Zonda: 6.625 | Gianina: 5.909090909090909
Runde16,2215.0,12,True,Joice: negative | Jacquie: negative | Pammy: negative | Gianina: negative,Joice: 1.0 | Jacquie: 2.8 | Pammy: 4.857142857142857 | Gianina: 5.68
Runde17,2386.25,2,True,Dorolice: negative | Jacquie: negative | Cthrine: negative | Bambi: negative | Robinia: negative | Shelby: negative | Dawna: negative | Gianina: negative | Defector: negative,Dorolice: 1 | Jacquie: 2.3846153846153846 | Cthrine: 1.0 | Bambi: 3.5714285714285716 | Robinia: 7.545454545454546 | Shelby: 4.857142857142857 | Dawna: 7.428571428571429 | Gianina: 5.5 | Defector: 1.0
Runde18,2528.0,12,True,Joice: negative | Jacquie: negative | Donnie: negative | Pammy: negative | Marlyn: negative | Robinia: negative | Lindsay: negative | Franny: negative | Shelby: negative | Gianina: negative,Joice: 1.0 | Jacquie: 2.125 | Donnie: 8.875 | Pammy: 4.6 | Marlyn: 1.0 | Robinia: 7.12 | Lindsay: 1.0 | Franny: 6.2105263157894735 | Shelby: 4.6 | Gianina: 5.354838709677419
Runde19,2680.75,19,True,Joice: negative | Jacquie: negative | Marlyn: negative | Deloria: negative | Elenore: negative | Franny: negative | Zonda: negative | Shelby: negative | Defector: negative,Joice: 1.0 | Jacquie: 1.9473684210526316 | Marlyn: 1.0 | Deloria: 6.625 | Elenore: 3.5714285714285716 | Franny: 5.909090909090909 | Zonda: 6.2105263157894735 | Shelby: 4.461538461538462 | Defector: 1.0
Runde20,2874.0,1,True,Dorolice: negative | Joice: negative | Jacquie: negative | Elenore: negative | Lindsay: negative | Franny: negative | Zonda: negative,Dorolice: 1.0 | Joice: 1.0 | Jacquie: 1.8181818181818181 | Elenore: 2.8 | Lindsay: 1.0 | Franny: 5.68 | Zonda: 5.909090909090909
