Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,35.25,5,False,,
Runde2,114.75,15,False,,
Runde3,230.0,16,False,Dorolice: positive | Pammy: positive | Ethyl: positive,Dorolice: 10 | Pammy: 10 | Ethyl: 10
Runde4,365.5,7,False,Dorolice: positive | Cthrine: positive | Daile: positive | Donnie: positive | Pammy: positive | Celestia: positive | Deloria: positive | Lindsay: positive | Zonda: positive | Dawna: positive,Dorolice: 10.0 | Cthrine: 10 | Daile: 10 | Donnie: 10 | Pammy: 10.0 | Celestia: 10 | Deloria: 10 | Lindsay: 10 | Zonda: 10 | Dawna: 10
Runde5,515.75,2,True,Cthrine: positive | Bambi: positive | Celestia: positive | Robinia: positive | Lindsay: positive | Franny: positive | Shelby: positive,Cthrine: 10.0 | Bambi: 10 | Celestia: 10.0 | Robinia: 10 | Lindsay: 10.0 | Franny: 10 | Shelby: 10
Runde6,646.25,9,True,Daile: positive | Marlyn: positive | Ethyl: positive | Deloria: positive | Elenore: positive,Daile: 10.0 | Marlyn: 10 | Ethyl: 10.0 | Deloria: 10.0 | Elenore: 10
Runde7,773.0,3,True,Donnie: positive | Bambi: positive | Ethyl: positive | Robinia: positive | Lindsay: positive | Franny: positive | Shelby: positive,Donnie: 10.0 | Bambi: 10.0 | Ethyl: 10.0 | Robinia: 10.0 | Lindsay: 10.0 | Franny: 10.0 | Shelby: 10.0
Runde8,941.25,8,True,Pammy: positive | Celestia: positive | Marlyn: positive | Elenore: positive | Franny: positive,Pammy: 10.0 | Celestia: 10.0 | Marlyn: 10.0 | Elenore: 10.0 | Franny: 10.0
Runde9,1073.0,16,True,Joice: positive | Jacquie: positive | Bambi: positive | Pammy: positive | Ethyl: positive | Robinia: positive | Lindsay: positive,Joice: 10 | Jacquie: 10 | Bambi: 10.0 | Pammy: 10.0 | Ethyl: 10.0 | Robinia: 10.0 | Lindsay: 10.0
Runde10,1240.0,1,True,Daile: positive | Pammy: positive | Celestia: positive | Deloria: positive | Elenore: positive | Robinia: positive | Lindsay: positive,Daile: 10.0 | Pammy: 10.0 | Celestia: 10.0 | Deloria: 10.0 | Elenore: 10.0 | Robinia: 10.0 | Lindsay: 10.0
Runde11,1371.5,8,True,Dorolice: positive | Daile: positive | Celestia: positive | Dawna: positive,Dorolice: 10.0 | Daile: 10.0 | Celestia: 10.0 | Dawna: 10.0
Runde12,1494.75,2,True,Joice: positive | Jacquie: positive | Bambi: positive | Ethyl: positive | Elenore: positive,Joice: 10.0 | Jacquie: 10.0 | Bambi: 10.0 | Ethyl: 10.0 | Elenore: 10.0
