Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,37.25,3,False,,
Runde2,129.75,2,False,Robinia: positive | Zonda: positive,Robinia: 10 | Zonda: 10
Runde3,248.0,13,False,Jacquie: positive | Marlyn: positive | Elenore: positive | Gianina: positive,Jacquie: 10 | Marlyn: 10 | Elenore: 10 | Gianina: 10
Runde4,386.5,7,False,Ethyl: negative | Robinia: negative | Shelby: positive,Ethyl: 1 | Robinia: 5.5 | Shelby: 10
Runde5,522.75,19,True,Joice: positive | Celestia: positive,Joice: 10 | Celestia: 10
Runde6,651.25,14,True,Jacquie: negative | Bambi: negative | Ethyl: positive | Zonda: negative | Gianina: negative,Jacquie: 5.5 | Bambi: 1 | Ethyl: 5.5 | Zonda: 5.5 | Gianina: 5.5
Runde7,781.0,0,True,Daile: positive | Donnie: positive | Ethyl: positive | Deloria: positive | Robinia: positive,Daile: 10 | Donnie: 10 | Ethyl: 6.142857142857143 | Deloria: 10 | Robinia: 7.428571428571429
Runde8,947.25,10,True,Jacquie: positive | Daile: positive | Marlyn: positive | Robinia: positive | Franny: positive | Zonda: positive | Dawna: positive,Jacquie: 7.428571428571429 | Daile: 10.0 | Marlyn: 10.0 | Robinia: 8.2 | Franny: 10 | Zonda: 7.428571428571429 | Dawna: 10
Runde9,1088.0,7,True,Cthrine: positive | Pammy: positive | Robinia: positive | Zonda: positive | Shelby: positive | Dawna: positive,Cthrine: 10 | Pammy: 10 | Robinia: 8.615384615384615 | Zonda: 8.2 | Shelby: 10.0 | Dawna: 10.0
Runde10,1253.0,3,True,Joice: positive | Donnie: positive | Bambi: positive | Celestia: positive | Marlyn: positive | Dawna: positive,Joice: 10.0 | Donnie: 10.0 | Bambi: 5.5 | Celestia: 10.0 | Marlyn: 10.0 | Dawna: 10.0
Runde11,1384.5,8,True,Jacquie: positive | Daile: positive | Bambi: positive | Pammy: positive | Marlyn: positive | Robinia: positive | Dawna: positive,Jacquie: 8.2 | Daile: 10.0 | Bambi: 6.142857142857143 | Pammy: 10.0 | Marlyn: 10.0 | Robinia: 8.875 | Dawna: 10.0
Runde12,1499.75,10,True,Celestia: positive | Ethyl: positive | Elenore: positive | Zonda: positive,Celestia: 10.0 | Ethyl: 6.4 | Elenore: 10.0 | Zonda: 8.615384615384615
Runde13,1644.25,1,True,Dorolice: positive | Joice: positive | Daile: positive | Zonda: positive | Shelby: positive | Dawna: positive,Dorolice: 10 | Joice: 10.0 | Daile: 10.0 | Zonda: 8.875 | Shelby: 10.0 | Dawna: 10.0
Runde14,1794.75,7,True,Joice: positive | Donnie: positive | Bambi: positive | Marlyn: positive | Franny: positive | Zonda: positive | Shelby: positive | Dawna: positive,Joice: 10.0 | Donnie: 10.0 | Bambi: 6.4 | Marlyn: 10.0 | Franny: 10.0 | Zonda: 9.052631578947368 | Shelby: 10.0 | Dawna: 10.0
Runde15,1931.75,7,True,Joice: positive | Jacquie: positive | Daile: positive | Donnie: positive | Pammy: positive | Celestia: positive | Elenore: positive | Zonda: positive | Shelby: positive,Joice: 10.0 | Jacquie: 8.615384615384615 | Daile: 10.0 | Donnie: 10.0 | Pammy: 10.0 | Celestia: 10.0 | Elenore: 10.0 | Zonda: 9.181818181818182 | Shelby: 10.0
Runde16,2044.0,1,True,Joice: positive | Jacquie: positive | Donnie: positive | Bambi: positive | Celestia: positive | Elenore: positive | Robinia: positive | Zonda: positive | Shelby: positive | Dawna: positive,Joice: 10.0 | Jacquie: 8.875 | Donnie: 10.0 | Bambi: 6.538461538461538 | Celestia: 10.0 | Elenore: 10.0 | Robinia: 9.052631578947368 | Zonda: 9.28 | Shelby: 10.0 | Dawna: 10.0
Runde17,2190.25,0,True,Jacquie: positive | Daile: positive | Donnie: positive | Marlyn: positive | Elenore: positive | Shelby: positive,Jacquie: 9.052631578947368 | Daile: 10.0 | Donnie: 10.0 | Marlyn: 10.0 | Elenore: 10.0 | Shelby: 10.0
Runde18,2301.0,16,True,Donnie: positive | Robinia: positive | Franny: positive | Zonda: positive | Shelby: positive,Donnie: 10.0 | Robinia: 9.181818181818182 | Franny: 10.0 | Zonda: 9.357142857142858 | Shelby: 10.0
Runde19,2438.75,4,True,Dorolice: positive | Cthrine: positive | Bambi: positive | Pammy: positive | Marlyn: positive | Robinia: positive | Franny: positive,Dorolice: 10.0 | Cthrine: 10.0 | Bambi: 6.625 | Pammy: 10.0 | Marlyn: 10.0 | Robinia: 9.28 | Franny: 10.0
Runde20,2591.0,12,True,Dorolice: positive | Joice: positive | Donnie: positive | Pammy: positive | Celestia: positive | Marlyn: positive | Ethyl: positive | Elenore: positive,Dorolice: 10.0 | Joice: 10.0 | Donnie: 10.0 | Pammy: 10.0 | Celestia: 10.0 | Marlyn: 10.0 | Ethyl: 6.538461538461538 | Elenore: 10.0
Runde21,2716.5,8,True,Jacquie: positive | Daile: positive | Pammy: positive | Deloria: positive | Franny: positive,Jacquie: 9.181818181818182 | Daile: 10.0 | Pammy: 10.0 | Deloria: 10.0 | Franny: 10.0
