Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,37.25,3,False,,
Runde2,123.75,8,False,Zonda: positive,Zonda: 10
Runde3,253.0,2,False,Joice: positive | Jacquie: positive | Pammy: positive | Deloria: positive | Franny: positive | Gianina: positive,Joice: 10 | Jacquie: 10 | Pammy: 10 | Deloria: 10 | Franny: 10 | Gianina: 10
Runde4,392.5,3,True,Daile: positive | Lindsay: positive,Daile: 10 | Lindsay: 10
Runde5,541.75,6,True,Jacquie: negative | Daile: negative | Bambi: positive | Pammy: negative | Celestia: positive | Deloria: negative | Franny: positive | Zonda: negative | Gianina: negative | Defector: negative,Jacquie: 5.5 | Daile: 5.5 | Bambi: 10 | Pammy: 5.5 | Celestia: 10 | Deloria: 5.5 | Franny: 10.0 | Zonda: 5.5 | Gianina: 5.5 | Defector: 1
Runde6,685.25,2,True,Deloria: negative | Elenore: negative,Deloria: 4.857142857142857 | Elenore: 1
Runde7,821.0,6,True,Celestia: negative | Elenore: negative | Zonda: negative | Shelby: negative | Dawna: negative | Gianina: negative,Celestia: 5.5 | Elenore: 1.0 | Zonda: 4.857142857142857 | Shelby: 1 | Dawna: 1 | Gianina: 4.857142857142857
Runde8,1015.25,0,True,Dorolice: negative | Joice: negative | Cthrine: negative | Pammy: negative | Celestia: negative | Elenore: negative | Lindsay: negative | Dawna: negative | Gianina: negative,Dorolice: 1 | Joice: 5.5 | Cthrine: 1 | Pammy: 4.857142857142857 | Celestia: 4.857142857142857 | Elenore: 1.0 | Lindsay: 5.5 | Dawna: 1.0 | Gianina: 4.6
Runde9,1171.0,10,True,Celestia: negative | Elenore: negative | Franny: negative | Shelby: negative | Gianina: negative | Defector: negative,Celestia: 4.6 | Elenore: 1.0 | Franny: 7.428571428571429 | Shelby: 1.0 | Gianina: 4.461538461538462 | Defector: 1.0
Runde10,1341.0,19,True,Dorolice: negative | Cthrine: negative | Daile: negative | Ethyl: negative | Deloria: negative | Elenore: negative | Lindsay: negative | Shelby: negative | Defector: negative,Dorolice: 1.0 | Cthrine: 1.0 | Daile: 4.857142857142857 | Ethyl: 1 | Deloria: 4.6 | Elenore: 1.0 | Lindsay: 4.857142857142857 | Shelby: 1.0 | Defector: 1.0
Runde11,1488.5,13,True,Dorolice: negative | Joice: negative | Cthrine: negative | Pammy: negative | Deloria: negative | Franny: negative | Shelby: negative | Dawna: negative | Defector: negative,Dorolice: 1.0 | Joice: 4.857142857142857 | Cthrine: 1.0 | Pammy: 4.6 | Deloria: 4.461538461538462 | Franny: 6.4 | Shelby: 1.0 | Dawna: 1.0 | Defector: 1.0
Runde12,1635.75,2,True,Bambi: negative | Deloria: negative | Elenore: negative | Robinia: negative | Lindsay: negative | Zonda: negative | Shelby: negative,Bambi: 5.5 | Deloria: 4.375 | Elenore: 1.0 | Robinia: 1 | Lindsay: 4.6 | Zonda: 4.6 | Shelby: 1.0
Runde13,1787.25,18,True,Dorolice: negative | Daile: negative | Bambi: negative | Celestia: negative | Elenore: negative | Lindsay: negative | Franny: negative | Dawna: negative,Dorolice: 1.0 | Daile: 4.6 | Bambi: 4.857142857142857 | Celestia: 4.461538461538462 | Elenore: 1.0 | Lindsay: 4.461538461538462 | Franny: 5.846153846153846 | Dawna: 1.0
Runde14,1953.75,15,True,Dorolice: negative | Daile: negative | Pammy: negative | Franny: negative | Shelby: negative,Dorolice: 1.0 | Daile: 4.461538461538462 | Pammy: 4.461538461538462 | Franny: 5.5 | Shelby: 1.0
Runde15,2107.75,14,True,Dorolice: negative | Joice: negative | Bambi: negative | Deloria: negative | Robinia: negative | Lindsay: negative | Franny: negative | Zonda: negative | Defector: negative,Dorolice: 1.0 | Joice: 4.6 | Bambi: 4.6 | Deloria: 4.315789473684211 | Robinia: 1.0 | Lindsay: 4.375 | Franny: 5.2631578947368425 | Zonda: 4.461538461538462 | Defector: 1.0
Runde16,2239.0,6,True,Daile: negative | Pammy: negative | Celestia: negative | Ethyl: negative | Deloria: negative | Franny: negative | Defector: negative,Daile: 4.375 | Pammy: 4.375 | Celestia: 4.375 | Ethyl: 1.0 | Deloria: 4.2727272727272725 | Franny: 5.090909090909091 | Defector: 1.0
Runde17,2407.25,2,True,Dorolice: negative | Cthrine: negative | Daile: negative | Pammy: negative | Celestia: negative | Robinia: negative | Lindsay: negative | Franny: negative | Shelby: negative | Gianina: negative,Dorolice: 1.0 | Cthrine: 1.0 | Daile: 4.315789473684211 | Pammy: 4.315789473684211 | Celestia: 4.315789473684211 | Robinia: 1.0 | Lindsay: 4.315789473684211 | Franny: 4.96 | Shelby: 1.0 | Gianina: 4.375
Runde18,2550.0,8,True,Joice: negative | Celestia: negative | Ethyl: negative | Robinia: negative | Franny: negative | Shelby: negative | Gianina: negative | Defector: negative,Joice: 4.461538461538462 | Celestia: 4.2727272727272725 | Ethyl: 1.0 | Robinia: 1.0 | Franny: 4.857142857142857 | Shelby: 1.0 | Gianina: 4.315789473684211 | Defector: 1.0
