Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,37.25,3,False,,
Runde2,125.75,6,False,Gianina: positive,Gianina: 10
Runde3,241.0,16,False,Jacquie: positive | Deloria: positive | Franny: positive | Dawna: positive | Gianina: positive,Jacquie: 10 | Deloria: 10 | Franny: 10 | Dawna: 10 | Gianina: 10.0
Runde4,384.5,5,False,Joice: positive | Deloria: positive | Elenore: positive | Robinia: negative | Franny: positive | Gianina: positive | Defector: negative,Joice: 10 | Deloria: 10.0 | Elenore: 10 | Robinia: 1 | Franny: 10.0 | Gianina: 10.0 | Defector: 1
Runde5,530.75,6,True,Dorolice: positive | Donnie: positive | Ethyl: positive | Robinia: positive | Lindsay: positive | Franny: positive | Zonda: positive | Shelby: positive | Gianina: positive,Dorolice: 10 | Donnie: 10 | Ethyl: 10 | Robinia: 5.5 | Lindsay: 10 | Franny: 10.0 | Zonda: 10 | Shelby: 10 | Gianina: 10.0
Runde6,659.25,17,True,Dorolice: positive | Daile: positive | Bambi: negative | Lindsay: positive | Dawna: positive,Dorolice: 10.0 | Daile: 10 | Bambi: 1 | Lindsay: 10.0 | Dawna: 10.0
Runde7,777.0,12,True,Franny: positive | Gianina: positive,Franny: 10.0 | Gianina: 10.0
Runde8,937.25,16,True,Jacquie: positive | Donnie: positive | Deloria: positive | Robinia: positive | Franny: positive | Zonda: positive | Dawna: positive,Jacquie: 10.0 | Donnie: 10.0 | Deloria: 10.0 | Robinia: 6.142857142857143 | Franny: 10.0 | Zonda: 10.0 | Dawna: 10.0
Runde9,1071.0,14,True,Joice: positive | Jacquie: positive | Cthrine: positive | Bambi: positive | Deloria: positive | Elenore: positive | Franny: positive | Shelby: positive | Gianina: positive,Joice: 10.0 | Jacquie: 10.0 | Cthrine: 10 | Bambi: 5.5 | Deloria: 10.0 | Elenore: 10.0 | Franny: 10.0 | Shelby: 10.0 | Gianina: 10.0
Runde10,1229.0,10,True,Daile: positive | Donnie: positive | Celestia: positive | Marlyn: positive | Elenore: positive | Zonda: positive,Daile: 10.0 | Donnie: 10.0 | Celestia: 10 | Marlyn: 10 | Elenore: 10.0 | Zonda: 10.0
Runde11,1363.5,5,True,Dorolice: positive | Jacquie: positive | Daile: positive | Bambi: positive | Ethyl: positive | Elenore: positive,Dorolice: 10.0 | Jacquie: 10.0 | Daile: 10.0 | Bambi: 6.142857142857143 | Ethyl: 10.0 | Elenore: 10.0
Runde12,1488.75,0,True,Dorolice: positive | Joice: positive | Cthrine: positive | Donnie: positive | Bambi: positive | Marlyn: positive | Gianina: positive,Dorolice: 10.0 | Joice: 10.0 | Cthrine: 10.0 | Donnie: 10.0 | Bambi: 6.4 | Marlyn: 10.0 | Gianina: 10.0
Runde13,1629.25,5,True,Donnie: positive | Celestia: positive | Franny: positive | Shelby: positive | Dawna: positive,Donnie: 10.0 | Celestia: 10.0 | Franny: 10.0 | Shelby: 10.0 | Dawna: 10.0
Runde14,1779.75,7,True,Cthrine: positive | Donnie: positive | Bambi: positive | Elenore: positive | Robinia: positive | Franny: positive,Cthrine: 10.0 | Donnie: 10.0 | Bambi: 6.538461538461538 | Elenore: 10.0 | Robinia: 6.4 | Franny: 10.0
Runde15,1922.75,1,True,Jacquie: positive | Cthrine: positive | Daile: positive | Marlyn: positive | Robinia: positive | Lindsay: positive | Zonda: positive | Dawna: positive,Jacquie: 10.0 | Cthrine: 10.0 | Daile: 10.0 | Marlyn: 10.0 | Robinia: 6.538461538461538 | Lindsay: 10.0 | Zonda: 10.0 | Dawna: 10.0
Runde16,2026.0,10,True,Joice: positive | Jacquie: positive | Cthrine: positive | Robinia: positive | Dawna: positive | Gianina: positive,Joice: 10.0 | Jacquie: 10.0 | Cthrine: 10.0 | Robinia: 6.625 | Dawna: 10.0 | Gianina: 10.0
Runde17,2168.25,4,True,Donnie: positive | Marlyn: positive | Deloria: positive | Elenore: positive | Franny: positive,Donnie: 10.0 | Marlyn: 10.0 | Deloria: 10.0 | Elenore: 10.0 | Franny: 10.0
Runde18,2290.0,5,True,Joice: positive | Daile: positive | Donnie: positive | Bambi: positive | Deloria: positive | Franny: positive | Shelby: positive | Dawna: positive | Gianina: positive,Joice: 10.0 | Daile: 10.0 | Donnie: 10.0 | Bambi: 6.625 | Deloria: 10.0 | Franny: 10.0 | Shelby: 10.0 | Dawna: 10.0 | Gianina: 10.0
Runde19,2426.75,5,True,Jacquie: positive | Bambi: positive | Marlyn: positive | Ethyl: positive | Robinia: positive | Shelby: positive,Jacquie: 10.0 | Bambi: 6.684210526315789 | Marlyn: 10.0 | Ethyl: 10.0 | Robinia: 6.684210526315789 | Shelby: 10.0
Runde20,2581.0,10,True,Dorolice: positive | Joice: positive | Bambi: positive | Ethyl: positive | Elenore: positive | Franny: positive,Dorolice: 10.0 | Joice: 10.0 | Bambi: 6.7272727272727275 | Ethyl: 10.0 | Elenore: 10.0 | Franny: 10.0
Runde21,2705.5,9,True,Joice: positive | Cthrine: positive | Celestia: positive | Robinia: positive,Joice: 10.0 | Cthrine: 10.0 | Celestia: 10.0 | Robinia: 6.7272727272727275
