Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,7.75,1,False,,
Runde2,7.0,3,False,Casie: positive,Casie: 10
Runde3,10.75,6,False,Casie: negative,Casie: 5.5
Runde4,10.75,0,False,Casie: positive,Casie: 7.428571428571429
Runde5,11.75,2,False,,
Runde6,14.25,2,False,,
Runde7,14.25,0,False,Casie: positive,Casie: 8.2
Runde8,18.75,0,False,,
Runde9,19.75,5,False,Casie: positive,Casie: 8.615384615384615
Runde10,15.0,19,False,,
Runde11,17.25,3,False,,
Runde12,16.0,5,False,,
Runde13,20.0,2,False,,
Runde14,23.75,12,False,Casie: negative,Casie: 7.75
Runde15,26.5,16,False,Casie: positive,Casie: 8.105263157894736
Runde16,24.75,7,False,Casie: positive,Casie: 8.363636363636363
Runde17,25.75,11,False,,
Runde18,27.0,4,False,,
Runde19,34.0,2,False,,
Runde20,42.0,1,False,Casie: positive,Casie: 8.56
Runde21,49.5,0,False,Casie: positive,Casie: 8.714285714285714
Runde22,52.5,0,False,,
Runde23,58.5,12,False,,
Runde24,62.25,15,False,,
Runde25,61.75,20,False,Casie: positive,Casie: 8.838709677419354
Runde26,,,False,,
