Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,5.25,2,False,,
Runde2,6.75,3,False,,
Runde3,7.5,3,False,Emilia: positive,Emilia: 10
Runde4,7.25,7,False,Emilia: positive,Emilia: 10.0
Runde5,12.25,7,False,,
Runde6,19.5,1,False,Emilia: positive,Emilia: 10.0
Runde7,24.25,17,False,,
Runde8,33.0,1,False,,
Runde9,35.0,13,False,,
Runde10,49.0,4,False,Emilia: positive,Emilia: 10.0
Runde11,50.0,5,False,,
Runde12,56.75,0,False,,
Runde13,55.75,13,False,Emilia: positive,Emilia: 10.0
Runde14,61.25,11,False,,
Runde15,64.25,6,False,Emilia: positive,Emilia: 10.0
Runde16,62.75,6,False,Emilia: positive,Emilia: 10.0
Runde17,74.0,0,False,,
Runde18,80.25,8,False,,
Runde19,86.25,0,False,,
Runde20,86.25,0,False,,
Runde21,85.75,2,False,,
Runde22,84.25,6,False,,
Runde23,84.25,9,False,,
Runde24,81.5,11,False,,
Runde25,86.5,4,False,,
Runde26,86.25,7,False,,
Runde27,91.5,18,False,,
Runde28,94.0,11,False,,
Runde29,103.0,0,False,,
Runde30,113.5,0,False,Emilia: positive,Emilia: 10.0
Runde31,124.25,8,False,Emilia: positive,Emilia: 10.0
Runde32,122.5,16,False,,
Runde33,117.75,19,False,,
Runde34,118.75,2,False,,
Runde35,129.25,9,False,,
Runde36,133.25,20,False,Emilia: positive,Emilia: 10.0
Runde37,140.75,3,False,Emilia: positive,Emilia: 10.0
Runde38,143.0,6,False,,
Runde39,142.0,7,False,Emilia: positive,Emilia: 10.0
Runde40,146.5,9,False,,
Runde41,,,False,,
