Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,4.75,1,False,,
Runde2,6.25,0,False,,
Runde3,7.25,2,False,,
Runde4,8.5,1,False,,
Runde5,8.0,8,False,,
Runde6,8.25,8,False,Diannne: positive,Diannne: 10
Runde7,18.25,5,False,,
Runde8,22.0,12,False,,
Runde9,27.5,8,False,,
Runde10,42.0,2,False,Diannne: positive,Diannne: 10.0
Runde11,45.75,6,False,Diannne: positive,Diannne: 10.0
Runde12,42.75,12,False,Diannne: positive,Diannne: 10.0
Runde13,44.0,16,False,,
Runde14,47.25,14,False,,
Runde15,55.25,1,False,Diannne: positive,Diannne: 10.0
Runde16,52.25,12,False,Diannne: positive,Diannne: 10.0
Runde17,62.25,20,False,,
Runde18,72.75,3,False,Diannne: positive,Diannne: 10.0
Runde19,78.5,4,False,Diannne: positive,Diannne: 10.0
Runde20,88.75,1,False,,
Runde21,87.25,15,False,Diannne: positive,Diannne: 10.0
Runde22,92.5,0,False,,
Runde23,101.0,2,False,,
Runde24,96.5,18,False,Diannne: positive,Diannne: 10.0
Runde25,91.5,20,False,,
Runde26,86.75,19,False,,
Runde27,94.0,4,False,,
Runde28,94.5,1,False,,
Runde29,104.25,0,False,,
Runde30,103.25,10,False,,
Runde31,101.75,9,False,,
Runde32,100.75,16,False,,
Runde33,113.5,6,False,,
Runde34,115.0,9,False,Diannne: positive,Diannne: 10.0
Runde35,117.25,9,False,,
Runde36,123.5,2,False,Diannne: positive,Diannne: 10.0
Runde37,133.5,8,False,,
Runde38,134.5,2,False,Diannne: positive,Diannne: 10.0
Runde39,141.25,9,False,,
Runde40,140.5,15,False,,
Runde41,,,False,,
