Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,14.25,0,False,,
Runde2,36.0,1,False,Torrie: positive | Noelyn: positive,Torrie: 10 | Noelyn: 10
Runde3,53.0,12,False,Cate: positive | Cary: positive,Cate: 10 | Cary: 10
Runde4,81.5,0,False,Marjory: negative | Bobbie: negative | Harriette: negative | Cate: negative | Noelyn: negative | Cyndia: positive | Laraine: negative | Darell: negative | Timmi: negative | Defector: negative,Marjory: 1 | Bobbie: 1 | Harriette: 1 | Cate: 5.5 | Noelyn: 5.5 | Cyndia: 10 | Laraine: 1 | Darell: 1 | Timmi: 1 | Defector: 1
Runde5,103.0,10,False,Aidan: positive | Terrye: positive | Darell: positive,Aidan: 10 | Terrye: 10 | Darell: 5.5
Runde6,133.5,10,False,Bobbie: positive | Noelyn: positive | Cyndia: negative | Corina: negative | Darell: negative,Bobbie: 5.5 | Noelyn: 7.428571428571429 | Cyndia: 5.5 | Corina: 1 | Darell: 3.5714285714285716
Runde7,159.75,17,False,Bobbie: positive | Ericha: positive | Cate: positive | Laraine: positive | Cary: positive | Timmi: negative | Defector: negative,Bobbie: 6.142857142857143 | Ericha: 10 | Cate: 7.428571428571429 | Laraine: 5.5 | Cary: 10.0 | Timmi: 1.0 | Defector: 1.0
Runde8,197.25,14,False,Torrie: positive | Harriette: positive | Cate: positive | Cyndia: negative | Laraine: negative | Cary: positive | Timmi: positive,Torrie: 10.0 | Harriette: 5.5 | Cate: 8.2 | Cyndia: 4.857142857142857 | Laraine: 3.5714285714285716 | Cary: 10.0 | Timmi: 3.5714285714285716
Runde9,241.25,0,False,Harriette: positive | Ericha: positive | Noelyn: positive | Darell: positive | Cary: positive,Harriette: 6.142857142857143 | Ericha: 10.0 | Noelyn: 8.2 | Darell: 4.6 | Cary: 10.0
Runde10,277.25,7,False,Marjory: positive | Aidan: positive | Noelyn: positive | Corina: positive,Marjory: 5.5 | Aidan: 10.0 | Noelyn: 8.615384615384615 | Corina: 5.5
