Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,12.25,2,False,,
Runde2,32.0,3,False,Serena: positive | Marjory: positive,Serena: 10 | Marjory: 10
Runde3,57.0,4,False,Bobbie: positive | Cyndia: positive,Bobbie: 10 | Cyndia: 10
Runde4,81.5,4,False,Terrye: positive | Allx: positive | Malorie: positive | Defector: negative,Terrye: 10 | Allx: 10 | Malorie: 10 | Defector: 1
Runde5,102.0,11,False,Bobbie: negative | Terrye: positive | Corina: negative | Darell: positive | Cary: negative | Malorie: negative | Defector: negative,Bobbie: 5.5 | Terrye: 10.0 | Corina: 1 | Darell: 10 | Cary: 1 | Malorie: 5.5 | Defector: 1.0
Runde6,128.5,14,False,Laraine: negative | Corina: negative | Darell: negative | Defector: negative,Laraine: 1 | Corina: 1.0 | Darell: 5.5 | Defector: 1.0
Runde7,164.75,7,False,Torrie: positive | Aidan: positive | Terrye: positive | Laraine: positive | Cary: positive | Defector: negative,Torrie: 10 | Aidan: 10 | Terrye: 10.0 | Laraine: 5.5 | Cary: 5.5 | Defector: 1.0
Runde8,212.25,4,False,Serena: positive | Torrie: positive | Harriette: positive | Noelyn: positive | Missie: positive | Darell: positive | Cary: positive | Timmi: positive,Serena: 10.0 | Torrie: 10.0 | Harriette: 10 | Noelyn: 10 | Missie: 10 | Darell: 7.428571428571429 | Cary: 6.142857142857143 | Timmi: 10
Runde9,253.25,3,False,Marjory: positive | Harriette: positive | Cyndia: positive | Corina: positive | Cary: positive | Allx: positive | Timmi: positive,Marjory: 10.0 | Harriette: 10.0 | Cyndia: 10.0 | Corina: 3.5714285714285716 | Cary: 6.4 | Allx: 10.0 | Timmi: 10.0
Runde10,283.25,13,False,Serena: negative | Torrie: negative | Cyndia: positive | Darell: positive | Allx: negative | Malorie: negative,Serena: 7.428571428571429 | Torrie: 7.428571428571429 | Cyndia: 10.0 | Darell: 8.2 | Allx: 7.428571428571429 | Malorie: 4.857142857142857
Runde11,315.75,11,False,Torrie: negative | Aidan: negative | Cate: negative | Missie: negative | Laraine: negative | Allx: negative | Malorie: negative | Defector: negative,Torrie: 6.4 | Aidan: 5.5 | Cate: 1 | Missie: 5.5 | Laraine: 3.5714285714285716 | Allx: 6.4 | Malorie: 4.6 | Defector: 1.0
Runde12,348.0,7,False,Marjory: positive | Ericha: negative | Aidan: positive | Cyndia: negative | Laraine: positive | Corina: negative | Malorie: positive,Marjory: 10.0 | Ericha: 1 | Aidan: 7.428571428571429 | Cyndia: 8.2 | Laraine: 4.6 | Corina: 2.8 | Malorie: 5.846153846153846
Runde13,377.75,5,False,Serena: positive | Marjory: negative | Ericha: positive | Noelyn: positive | Cyndia: negative | Laraine: negative | Timmi: positive | Defector: negative,Serena: 8.2 | Marjory: 8.2 | Ericha: 5.5 | Noelyn: 10.0 | Cyndia: 7.230769230769231 | Laraine: 3.769230769230769 | Timmi: 10.0 | Defector: 1.0
Runde14,414.0,2,False,Bobbie: positive | Ericha: positive | Cate: negative | Cyndia: positive | Defector: negative,Bobbie: 7.428571428571429 | Ericha: 6.142857142857143 | Cate: 1.0 | Cyndia: 7.75 | Defector: 1.0
Runde15,442.75,13,False,Marjory: positive | Torrie: negative | Cate: positive | Corina: positive | Malorie: positive,Marjory: 8.615384615384615 | Torrie: 5.846153846153846 | Cate: 3.5714285714285716 | Corina: 3.769230769230769 | Malorie: 6.625
Runde16,472.5,10,False,Serena: negative | Marjory: negative | Aidan: negative | Terrye: negative | Cate: negative | Cyndia: negative | Laraine: negative | Malorie: negative,Serena: 7.230769230769231 | Marjory: 7.75 | Aidan: 6.4 | Terrye: 8.2 | Cate: 2.8 | Cyndia: 7.157894736842105 | Laraine: 3.25 | Malorie: 6.2105263157894735
Runde17,506.0,12,False,Harriette: negative | Cyndia: positive | Missie: negative | Timmi: positive | Malorie: negative,Harriette: 7.428571428571429 | Cyndia: 7.545454545454546 | Missie: 4.857142857142857 | Timmi: 10.0 | Malorie: 5.909090909090909
Runde18,537.0,9,False,Terrye: positive | Cyndia: positive | Darell: positive | Timmi: positive,Terrye: 8.615384615384615 | Cyndia: 7.84 | Darell: 8.615384615384615 | Timmi: 10.0
Runde19,571.75,7,False,Serena: positive | Bobbie: positive | Harriette: positive | Aidan: positive | Cate: positive | Noelyn: positive | Cyndia: positive | Corina: positive | Timmi: positive | Malorie: positive,Serena: 7.75 | Bobbie: 8.2 | Harriette: 8.2 | Aidan: 7.230769230769231 | Cate: 3.769230769230769 | Noelyn: 10.0 | Cyndia: 8.071428571428571 | Corina: 4.375 | Timmi: 10.0 | Malorie: 6.4
Runde20,612.5,10,False,Serena: positive | Marjory: positive | Ericha: positive | Cate: positive | Noelyn: positive | Cyndia: positive | Darell: positive | Timmi: positive | Malorie: positive,Serena: 8.105263157894736 | Marjory: 8.105263157894736 | Ericha: 6.4 | Cate: 4.375 | Noelyn: 10.0 | Cyndia: 8.258064516129032 | Darell: 8.875 | Timmi: 10.0 | Malorie: 6.785714285714286
Runde21,654.75,3,False,Noelyn: positive | Missie: positive | Allx: positive,Noelyn: 10.0 | Missie: 6.4 | Allx: 7.230769230769231
Runde22,697.75,9,False,Marjory: positive | Bobbie: positive | Ericha: positive | Aidan: positive | Missie: positive | Laraine: positive | Timmi: positive,Marjory: 8.363636363636363 | Bobbie: 8.615384615384615 | Ericha: 6.538461538461538 | Aidan: 7.75 | Missie: 7.230769230769231 | Laraine: 3.8421052631578947 | Timmi: 10.0
Runde23,735.5,5,False,Serena: positive | Harriette: positive | Aidan: positive | Terrye: positive | Cate: positive | Laraine: positive | Corina: positive | Malorie: negative,Serena: 8.363636363636363 | Harriette: 8.615384615384615 | Aidan: 8.105263157894736 | Terrye: 8.875 | Cate: 4.7894736842105265 | Laraine: 4.2727272727272725 | Corina: 4.7894736842105265 | Malorie: 6.516129032258065
Runde24,758.5,11,False,Torrie: negative | Bobbie: negative | Laraine: negative | Defector: negative,Torrie: 5.5 | Bobbie: 7.75 | Laraine: 3.88 | Defector: 1.0
Runde25,,,False,,
