Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,13.25,1,False,,
Runde2,26.0,10,False,Serena: positive | Marjory: positive,Serena: 10 | Marjory: 10
Runde3,46.0,9,False,Harriette: positive | Timmi: positive,Harriette: 10 | Timmi: 10
Runde4,72.5,2,False,Serena: positive | Ericha: positive | Aidan: positive | Missie: positive | Malorie: positive,Serena: 10.0 | Ericha: 10 | Aidan: 10 | Missie: 10 | Malorie: 10
Runde5,100.0,4,False,Marjory: positive | Aidan: positive | Terrye: positive | Cyndia: positive | Timmi: positive,Marjory: 10.0 | Aidan: 10.0 | Terrye: 10 | Cyndia: 10 | Timmi: 10.0
Runde6,140.5,0,False,Serena: positive | Marjory: positive | Ericha: positive | Timmi: positive,Serena: 10.0 | Marjory: 10.0 | Ericha: 10.0 | Timmi: 10.0
Runde7,177.75,6,False,Torrie: positive | Cary: positive | Allx: positive,Torrie: 10 | Cary: 10 | Allx: 10
Runde8,211.25,18,False,Harriette: positive | Terrye: negative | Cyndia: negative | Allx: positive | Malorie: negative,Harriette: 10.0 | Terrye: 5.5 | Cyndia: 5.5 | Allx: 10.0 | Malorie: 5.5
Runde9,244.25,11,False,Torrie: negative | Bobbie: negative | Aidan: negative | Terrye: negative | Missie: negative | Timmi: negative | Cher: negative | Defector: negative,Torrie: 5.5 | Bobbie: 1 | Aidan: 7.428571428571429 | Terrye: 4.857142857142857 | Missie: 5.5 | Timmi: 8.2 | Cher: 1 | Defector: 1
Runde10,284.25,3,False,Harriette: negative | Terrye: positive | Noelyn: positive | Cyndia: positive | Missie: negative | Laraine: positive | Allx: negative | Cher: negative | Malorie: negative,Harriette: 7.428571428571429 | Terrye: 6.4 | Noelyn: 10 | Cyndia: 7.428571428571429 | Missie: 4.857142857142857 | Laraine: 10 | Allx: 7.428571428571429 | Cher: 1.0 | Malorie: 4.857142857142857
Runde11,327.75,0,False,Serena: positive | Marjory: positive | Harriette: positive | Ericha: positive | Cyndia: positive,Serena: 10.0 | Marjory: 10.0 | Harriette: 8.2 | Ericha: 10.0 | Cyndia: 8.2
Runde12,358.0,9,False,Serena: negative | Marjory: positive | Ericha: negative | Cate: negative | Allx: negative,Serena: 8.615384615384615 | Marjory: 10.0 | Ericha: 8.2 | Cate: 1 | Allx: 6.4
