Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,11.25,3,False,,
Runde2,31.0,3,False,Torrie: positive,Torrie: 10
Runde3,60.0,0,False,Bobbie: positive | Cate: positive | Cyndia: positive | Cary: positive | Timmi: positive,Bobbie: 10 | Cate: 10 | Cyndia: 10 | Cary: 10 | Timmi: 10
Runde4,74.5,14,False,Cyndia: positive | Corina: positive | Allx: positive,Cyndia: 10.0 | Corina: 10 | Allx: 10
Runde5,105.0,1,False,Serena: negative | Ericha: negative | Terrye: positive | Cate: negative | Cary: negative | Allx: negative | Malorie: negative | Defector: negative,Serena: 1 | Ericha: 1 | Terrye: 10 | Cate: 5.5 | Cary: 5.5 | Allx: 5.5 | Malorie: 1 | Defector: 1
Runde6,136.5,9,False,Serena: positive | Bobbie: positive | Noelyn: positive | Cary: positive | Allx: positive | Timmi: positive | Cher: positive,Serena: 5.5 | Bobbie: 10.0 | Noelyn: 10 | Cary: 7.428571428571429 | Allx: 7.428571428571429 | Timmi: 10.0 | Cher: 10
Runde7,171.75,8,False,Serena: negative | Bobbie: positive | Harriette: negative | Ericha: positive | Missie: negative | Corina: negative | Cher: positive | Defector: negative,Serena: 3.5714285714285716 | Bobbie: 10.0 | Harriette: 1 | Ericha: 5.5 | Missie: 1 | Corina: 5.5 | Cher: 10.0 | Defector: 1.0
Runde8,218.25,5,False,Harriette: positive | Cate: positive | Cyndia: negative | Laraine: negative | Cary: positive | Malorie: negative | Defector: negative,Harriette: 5.5 | Cate: 7.428571428571429 | Cyndia: 7.428571428571429 | Laraine: 1 | Cary: 8.2 | Malorie: 1.0 | Defector: 1.0
Runde9,243.25,19,False,Torrie: negative | Bobbie: negative | Laraine: positive | Corina: positive | Cher: negative | Defector: negative,Torrie: 5.5 | Bobbie: 8.2 | Laraine: 5.5 | Corina: 7.428571428571429 | Cher: 7.428571428571429 | Defector: 1.0
Runde10,279.25,7,False,Serena: negative | Marjory: negative | Bobbie: negative | Harriette: negative | Ericha: positive | Aidan: negative | Missie: negative | Cary: negative | Allx: negative | Cher: negative,Serena: 2.8 | Marjory: 1 | Bobbie: 7.230769230769231 | Harriette: 3.5714285714285716 | Ericha: 6.142857142857143 | Aidan: 1 | Missie: 1.0 | Cary: 7.230769230769231 | Allx: 6.4 | Cher: 6.4
Runde11,315.75,7,False,Serena: positive | Bobbie: positive | Harriette: positive | Ericha: positive | Terrye: positive | Cate: positive | Cyndia: positive,Serena: 3.769230769230769 | Bobbie: 7.75 | Harriette: 4.6 | Ericha: 6.4 | Terrye: 10.0 | Cate: 8.2 | Cyndia: 8.2
Runde12,353.0,2,False,Marjory: positive | Bobbie: positive | Harriette: positive | Aidan: positive | Terrye: positive | Laraine: positive | Cher: positive,Marjory: 5.5 | Bobbie: 8.105263157894736 | Harriette: 5.153846153846154 | Aidan: 5.5 | Terrye: 10.0 | Laraine: 6.142857142857143 | Cher: 7.230769230769231
Runde13,381.75,6,False,Torrie: positive | Ericha: positive | Noelyn: positive | Laraine: negative | Malorie: positive,Torrie: 7.428571428571429 | Ericha: 6.538461538461538 | Noelyn: 10.0 | Laraine: 4.6 | Malorie: 3.5714285714285716
Runde14,412.0,8,False,Serena: negative | Noelyn: negative | Corina: positive | Cary: negative | Allx: negative | Timmi: positive | Defector: negative,Serena: 3.25 | Noelyn: 7.428571428571429 | Corina: 8.2 | Cary: 6.625 | Allx: 5.846153846153846 | Timmi: 10.0 | Defector: 1.0
Runde15,443.75,10,False,Torrie: negative | Cyndia: negative | Corina: positive | Cher: negative,Torrie: 6.4 | Cyndia: 7.230769230769231 | Corina: 8.615384615384615 | Cher: 6.625
Runde16,472.5,11,False,Serena: negative | Ericha: negative | Cate: negative | Cyndia: negative | Laraine: negative | Malorie: negative | Defector: negative,Serena: 2.8947368421052633 | Ericha: 5.5 | Cate: 7.230769230769231 | Cyndia: 6.625 | Laraine: 3.769230769230769 | Malorie: 2.8 | Defector: 1.0
Runde17,507.0,11,False,Harriette: negative | Missie: negative | Timmi: positive | Defector: negative,Harriette: 4.375 | Missie: 1.0 | Timmi: 10.0 | Defector: 1.0
Runde18,545.0,2,False,Serena: positive | Bobbie: positive | Laraine: positive | Cher: positive | Defector: negative,Serena: 3.4545454545454546 | Bobbie: 8.363636363636363 | Laraine: 4.375 | Cher: 7.157894736842105 | Defector: 1.0
Runde19,577.75,9,False,Bobbie: positive | Harriette: positive | Cyndia: positive | Missie: positive | Malorie: positive,Bobbie: 8.56 | Harriette: 4.7894736842105265 | Cyndia: 7.157894736842105 | Missie: 2.8 | Malorie: 3.769230769230769
Runde20,610.5,18,False,Malorie: positive,Malorie: 4.375
Runde21,651.75,4,False,Ericha: positive | Cyndia: positive,Ericha: 5.7368421052631575 | Cyndia: 7.545454545454546
Runde22,694.75,9,False,Corina: positive,Corina: 8.875
Runde23,730.5,7,False,Harriette: positive | Ericha: positive | Terrye: positive | Noelyn: positive | Corina: positive,Harriette: 5.090909090909091 | Ericha: 5.909090909090909 | Terrye: 10.0 | Noelyn: 8.2 | Corina: 9.052631578947368
Runde24,756.5,8,False,Terrye: positive | Cate: positive | Missie: positive,Terrye: 10.0 | Cate: 7.75 | Missie: 3.769230769230769
Runde25,,,False,,
