Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,3.75,2,False,,
Runde2,3.5,1,False,,
Runde3,3.5,1,False,Nikki: positive,Nikki: 10.0
Runde4,3.75,0,False,Nikki: positive,Nikki: 10.0
Runde5,3.75,0,False,,
Runde6,1.5,3,False,,
Runde7,1.5,0,False,Nikki: ,Nikki: 9.0
Runde8,1.5,0,False,Nikki: negative,Nikki: 7.125
Runde9,0.75,1,False,Nikki: negative | Defector: negative,Nikki: 5.020408163265306 | Defector: 1.0
Runde10,0.75,0,False,Nikki: negative | Defector: negative,Nikki: 4.609756097560975 | Defector: 1.0
Runde11,0.75,0,False,Nikki: negative | Defector: negative,Nikki: 4.2304147465437785 | Defector: 1.0
Runde12,0.75,0,False,Nikki: negative | Defector: negative,Nikki: 4.174825174825175 | Defector: 1.0
Runde13,1.0,0,False,Nikki: negative | Defector: negative,Nikki: 4.123152709359606 | Defector: 1.0
Runde14,1.0,0,False,Nikki:  | Defector: negative,Nikki: 4.392070484581498 | Defector: 1.0
Runde15,1.0,0,False,Nikki: negative | Defector: negative,Nikki: 4.384449244060475 | Defector: 1.0
Runde16,1.0,0,False,Nikki:  | Defector: negative,Nikki: 4.381974248927039 | Defector: 1.0
Runde17,1.0,0,False,Nikki: negative | Defector: negative,Nikki: 4.365503080082136 | Defector: 1.0
Runde18,0.5,1,False,Nikki: negative | Defector: negative,Nikki: 4.348336594911937 | Defector: 1.0
Runde19,0.5,0,False,Nikki:  | Defector: negative,Nikki: 4.401529636711281 | Defector: 1.0
Runde20,0.5,0,False,Nikki: negative | Defector: negative,Nikki: 4.379746835443038 | Defector: 1.0
Runde21,0.5,0,False,Nikki: negative | Defector: negative,Nikki: 4.360205831903945 | Defector: 1.0
Runde22,0.5,0,False,Nikki: negative | Defector: negative,Nikki: 4.244470314318976 | Defector: 1.0
Runde23,0.5,0,False,Nikki: negative | Defector: negative,Nikki: 4.19811320754717 | Defector: 1.0
Runde24,0.5,0,False,Nikki:  | Defector: negative,Nikki: 4.196998123827392 | Defector: 1.0
Runde25,0.5,0,False,Nikki: negative | Defector: negative,Nikki: 4.189018901890189 | Defector: 1.0
Runde26,,,False,,
