Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,5.25,0,False,,
Runde2,4.0,3,False,,
Runde3,6.25,0,False,,
Runde4,5.75,3,False,,
Runde5,6.5,1,False,Enrichetta: ,Enrichetta: 5
Runde6,6.5,3,False,Kendra: positive | Enrichetta:  | Lorelei: positive,Kendra: 10 | Enrichetta: 5.0 | Lorelei: 10
Runde7,6.25,3,False,Lorelei: positive,Lorelei: 10.0
Runde8,8.5,2,False,Lorelei: positive,Lorelei: 10.0
Runde9,9.75,5,False,Kendra: positive | Enrichetta: positive,Kendra: 10.0 | Enrichetta: 6.428571428571429
Runde10,7.75,8,False,Lorelei: positive | Beryle: positive,Lorelei: 10.0 | Beryle: 10
Runde11,11.5,3,False,Enrichetta: positive,Enrichetta: 7.0
Runde12,15.75,2,False,Lorelei: positive | Beryle: positive,Lorelei: 10.0 | Beryle: 10.0
Runde13,15.75,8,False,Kendra: positive,Kendra: 10.0
Runde14,18.0,8,False,Enrichetta: positive | Beryle: positive,Enrichetta: 7.3076923076923075 | Beryle: 10.0
Runde15,19.5,11,False,,
Runde16,21.75,5,False,Beryle: positive,Beryle: 10.0
Runde17,28.75,2,False,Kendra: positive,Kendra: 10.0
Runde18,24.0,13,False,Kendra: positive | Lorelei: positive | Beryle: positive,Kendra: 10.0 | Lorelei: 10.0 | Beryle: 10.0
Runde19,27.0,13,False,,
Runde20,30.5,3,False,Enrichetta: positive | Lorelei: positive,Enrichetta: 7.5 | Lorelei: 10.0
Runde21,27.75,13,False,Beryle: positive,Beryle: 10.0
Runde22,30.0,10,False,,
Runde23,35.0,3,False,,
Runde24,31.0,17,False,Lorelei: positive,Lorelei: 10.0
Runde25,,,False,,
