Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,16.0,2,False,,
Runde2,56.5,2,False,Judy: positive,Judy: 10
Runde3,125.0,1,False,Effie: positive | Ninnetta: positive | Dorotea: positive | Judy: positive | Starr: positive,Effie: 10 | Ninnetta: 10 | Dorotea: 10 | Judy: 10.0 | Starr: 10
Runde4,181.5,3,False,Ailsun: positive | Sonnnie: negative | Anastassia: positive | Ninnetta: negative | Defector: negative,Ailsun: 10 | Sonnnie: 1 | Anastassia: 10 | Ninnetta: 5.5 | Defector: 1
Runde5,239.0,16,False,Effie: negative | Arielle: negative | Ailsun: negative | Sonnnie: negative | Anastassia: negative | Ninnetta: negative | Dorotea: negative | Judy: negative | Starr: negative | Kelli: negative | Defector: negative,Effie: 5.5 | Arielle: 1 | Ailsun: 5.5 | Sonnnie: 1.0 | Anastassia: 5.5 | Ninnetta: 4.857142857142857 | Dorotea: 5.5 | Judy: 7.428571428571429 | Starr: 5.5 | Kelli: 1 | Defector: 1.0
Runde6,282.0,12,False,Effie: negative | Arielle: negative | Alexis: negative | Sonnnie: negative | Anastassia: negative | Kora: negative | Ninnetta: negative,Effie: 4.857142857142857 | Arielle: 1.0 | Alexis: 1 | Sonnnie: 1.0 | Anastassia: 4.857142857142857 | Kora: 1 | Ninnetta: 4.6
Runde7,331.5,14,False,Effie: negative | Arielle: negative | Ailsun: negative | Sonnnie: negative | Kora: negative | Gaye: negative | Dorotea: negative,Effie: 4.6 | Arielle: 1.0 | Ailsun: 4.857142857142857 | Sonnnie: 1.0 | Kora: 1.0 | Gaye: 1 | Dorotea: 4.857142857142857
Runde8,372.5,11,False,Arielle: negative | Kora: positive | Gaye: negative,Arielle: 1.0 | Kora: 3.5714285714285716 | Gaye: 1.0
Runde9,431.0,5,False,Anastassia: negative | Kelli: positive,Anastassia: 4.6 | Kelli: 5.5
Runde10,480.5,16,False,Sonnnie: positive | Judy: positive,Sonnnie: 2.3846153846153846 | Judy: 8.2
