Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,20.0,0,False,,
Runde2,88.5,8,False,,
Runde3,124.0,8,False,Binnie: positive | Demetria: positive | Druci: positive | Dennie: positive,Binnie: 10 | Demetria: 10 | Druci: 10 | Dennie: 10
Runde4,193.5,4,False,Kalie: negative | Mab: negative | Defector: negative,Kalie: 1 | Mab: 1 | Defector: 1
Runde5,275.5,4,False,Elva: positive | Margaux: positive | Druci: positive | Sophronia: positive,Elva: 10 | Margaux: 10 | Druci: 10.0 | Sophronia: 10
Runde6,352.0,8,False,Binnie: negative | Josey: positive | Kalie: positive | Dennie: positive | Ruthanne: negative | Mab: positive | Defector: negative,Binnie: 5.5 | Josey: 10 | Kalie: 5.5 | Dennie: 10.0 | Ruthanne: 1 | Mab: 5.5 | Defector: 1.0
Runde7,426.5,9,False,Noreen: positive | Binnie: negative | Elva: negative | Margaux: negative | Demetria: negative | Kalie: negative | Corly: positive | Filia: negative | Defector: negative,Noreen: 10 | Binnie: 4.857142857142857 | Elva: 5.5 | Margaux: 5.5 | Demetria: 5.5 | Kalie: 3.5714285714285716 | Corly: 10 | Filia: 1 | Defector: 1.0
Runde8,498.0,5,False,Sophronia: negative | Mab: negative | Defector: negative,Sophronia: 5.5 | Mab: 3.5714285714285716 | Defector: 1.0
Runde9,564.0,17,False,Margaux: negative | Kalie: negative | Druci: negative | Sophronia: positive | Defector: negative,Margaux: 4.857142857142857 | Kalie: 2.8 | Druci: 7.428571428571429 | Sophronia: 7.428571428571429 | Defector: 1.0
Runde10,654.0,1,False,Kalie: negative | Druci: positive | Corly: negative | Dennie: negative | Brittne: negative | Ruthanne: negative | Mab: negative | Filia: negative,Kalie: 2.3846153846153846 | Druci: 8.2 | Corly: 5.5 | Dennie: 7.428571428571429 | Brittne: 1 | Ruthanne: 1.0 | Mab: 2.8 | Filia: 1.0
Runde11,743.0,2,False,Binnie: positive,Binnie: 6.4
Runde12,840.0,12,False,Elva: negative | Josey: negative | Kalie: negative | Tiffi: negative | Arlyne: negative | Ruthanne: negative,Elva: 4.857142857142857 | Josey: 5.5 | Kalie: 2.125 | Tiffi: 1 | Arlyne: 1 | Ruthanne: 1.0
