Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,15.0,5,False,,
Runde2,76.5,15,False,Kalie: positive,Kalie: 10
Runde3,113.0,7,False,Janene: positive | Demetria: positive | Kalie: positive | Druci: positive | Corly: positive,Janene: 10 | Demetria: 10 | Kalie: 10.0 | Druci: 10 | Corly: 10
Runde4,185.5,1,False,Laurella: positive | Dennie: positive | Brittne: positive,Laurella: 10 | Dennie: 10 | Brittne: 10
Runde5,270.5,1,False,Elva: positive | Druci: positive | Tiffi: positive | Arlyne: positive | Dennie: positive | Filia: positive,Elva: 10 | Druci: 10.0 | Tiffi: 10 | Arlyne: 10 | Dennie: 10.0 | Filia: 10
Runde6,344.0,11,False,Noreen: positive | Demetria: positive | Tiffi: positive | Dennie: positive,Noreen: 10 | Demetria: 10.0 | Tiffi: 10.0 | Dennie: 10.0
Runde7,412.5,15,False,Binnie: negative | Druci: positive | Corly: positive | Dennie: negative | Brittne: positive | Defector: negative,Binnie: 1 | Druci: 10.0 | Corly: 10.0 | Dennie: 8.2 | Brittne: 10.0 | Defector: 1
Runde8,478.0,11,False,Maggie: positive | Margaux: positive | Druci: positive | Tiffi: positive | Brittne: positive,Maggie: 10 | Margaux: 10 | Druci: 10.0 | Tiffi: 10.0 | Brittne: 10.0
Runde9,555.0,6,False,Maggie: positive | Elva: positive | Tiffi: positive | Laurella: positive | Arlyne: positive | Sophronia: positive | Dennie: positive | Brittne: positive,Maggie: 10.0 | Elva: 10.0 | Tiffi: 10.0 | Laurella: 10.0 | Arlyne: 10.0 | Sophronia: 10 | Dennie: 8.615384615384615 | Brittne: 10.0
Runde10,638.0,8,False,Kalie: positive | Druci: positive | Arlyne: positive | Sophronia: positive,Kalie: 10.0 | Druci: 10.0 | Arlyne: 10.0 | Sophronia: 10.0
Runde11,721.0,8,False,Janene: positive | Binnie: positive | Margaux: positive | Druci: positive | Corly: positive | Sophronia: positive | Brittne: positive | Filia: positive,Janene: 10.0 | Binnie: 5.5 | Margaux: 10.0 | Druci: 10.0 | Corly: 10.0 | Sophronia: 10.0 | Brittne: 10.0 | Filia: 10.0
Runde12,817.0,13,False,Janene: positive | Noreen: positive | Binnie: positive | Margaux: positive | Druci: positive | Corly: positive | Dennie: positive,Janene: 10.0 | Noreen: 10.0 | Binnie: 6.142857142857143 | Margaux: 10.0 | Druci: 10.0 | Corly: 10.0 | Dennie: 8.875
Runde13,914.5,3,False,Janene: positive | Noreen: positive | Binnie: positive | Elva: positive | Margaux: positive | Arlyne: positive | Sophronia: positive | Mab: positive,Janene: 10.0 | Noreen: 10.0 | Binnie: 6.4 | Elva: 10.0 | Margaux: 10.0 | Arlyne: 10.0 | Sophronia: 10.0 | Mab: 10
Runde14,1001.5,0,False,Maggie: positive | Binnie: positive | Margaux: positive | Josey: positive | Druci: positive | Tiffi: positive | Laurella: positive | Arlyne: positive | Filia: positive,Maggie: 10.0 | Binnie: 6.538461538461538 | Margaux: 10.0 | Josey: 10 | Druci: 10.0 | Tiffi: 10.0 | Laurella: 10.0 | Arlyne: 10.0 | Filia: 10.0
Runde15,1073.5,11,False,Binnie: positive | Elva: positive | Margaux: positive | Josey: positive | Demetria: positive | Kalie: positive | Druci: positive | Sophronia: positive | Brittne: positive | Mab: positive,Binnie: 6.625 | Elva: 10.0 | Margaux: 10.0 | Josey: 10.0 | Demetria: 10.0 | Kalie: 10.0 | Druci: 10.0 | Sophronia: 10.0 | Brittne: 10.0 | Mab: 10.0
Runde16,1136.5,8,False,Binnie: positive | Kalie: negative | Tiffi: negative | Corly: negative | Brittne: negative | Defector: negative,Binnie: 6.684210526315789 | Kalie: 8.615384615384615 | Tiffi: 8.875 | Corly: 8.615384615384615 | Brittne: 9.052631578947368 | Defector: 1.0
Runde17,1222.5,0,False,Kalie: positive | Tiffi: positive | Dennie: positive | Mab: positive | Defector: negative,Kalie: 8.875 | Tiffi: 9.052631578947368 | Dennie: 9.052631578947368 | Mab: 10.0 | Defector: 1.0
Runde18,1294.5,14,False,Demetria: positive | Arlyne: positive | Brittne: positive,Demetria: 10.0 | Arlyne: 10.0 | Brittne: 9.181818181818182
Runde19,1388.0,1,False,Noreen: negative | Margaux: negative | Josey: negative | Laurella: negative | Corly: negative | Arlyne: positive | Brittne: negative,Noreen: 8.2 | Margaux: 9.052631578947368 | Josey: 7.428571428571429 | Laurella: 8.2 | Corly: 7.75 | Arlyne: 10.0 | Brittne: 8.56
Runde20,1477.0,12,False,Elva: negative | Josey: negative | Tiffi: positive | Corly: positive | Mab: positive | Defector: negative,Elva: 8.615384615384615 | Josey: 6.4 | Tiffi: 9.181818181818182 | Corly: 8.105263157894736 | Mab: 10.0 | Defector: 1.0
Runde21,1557.5,8,False,Janene: negative | Maggie: negative | Demetria: negative | Kalie: negative | Druci: negative | Sophronia: negative | Dennie: negative | Brittne: negative | Mab: negative | Filia: negative | Defector: negative,Janene: 8.615384615384615 | Maggie: 8.2 | Demetria: 8.615384615384615 | Kalie: 8.105263157894736 | Druci: 9.357142857142858 | Sophronia: 8.875 | Dennie: 8.363636363636363 | Brittne: 8.071428571428571 | Mab: 8.615384615384615 | Filia: 8.2 | Defector: 1.0
Runde22,1638.0,10,False,Noreen: negative | Binnie: negative | Elva: negative | Margaux: negative | Josey: negative | Demetria: negative | Kalie: negative | Laurella: negative | Corly: negative | Defector: negative,Noreen: 7.230769230769231 | Binnie: 5.909090909090909 | Elva: 7.75 | Margaux: 8.363636363636363 | Josey: 5.846153846153846 | Demetria: 7.75 | Kalie: 7.545454545454546 | Laurella: 7.230769230769231 | Corly: 7.545454545454546 | Defector: 1.0
Runde23,1716.0,11,False,Janene: negative | Noreen: negative | Kalie: positive | Tiffi: negative | Sophronia: positive,Janene: 7.75 | Noreen: 6.625 | Kalie: 7.84 | Tiffi: 8.56 | Sophronia: 9.052631578947368
Runde24,1787.0,6,False,Janene: positive | Maggie: negative | Margaux: negative | Josey: positive | Druci: negative | Laurella: negative | Corly: negative | Sophronia: negative | Dennie: negative | Brittne: negative,Janene: 8.105263157894736 | Maggie: 7.230769230769231 | Margaux: 7.84 | Josey: 6.625 | Druci: 8.838709677419354 | Laurella: 6.625 | Corly: 7.12 | Sophronia: 8.363636363636363 | Dennie: 7.84 | Brittne: 7.67741935483871
Runde25,,,False,,
