Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,7.5,0,False,,
Runde2,11.0,0,False,,
Runde3,16.0,0,False,,
Runde4,17.5,0,False,,
Runde5,18.0,0,False,,
Runde6,20.5,0,False,,
Runde7,22.5,0,False,,
Runde8,25.0,0,False,,
Runde9,28.0,0,False,,
Runde10,31.5,0,False,,
Runde11,34.5,0,False,,
Runde12,37.0,0,False,,
Runde13,39.5,0,False,,
Runde14,42.5,0,False,,
Runde15,44.0,0,False,,
Runde16,45.0,0,False,,
Runde17,45.5,0,False,,
Runde18,45.5,0,False,,
Runde19,48.5,0,False,,
Runde20,53.0,0,False,,
Runde21,56.5,0,False,,
Runde22,56.5,0,False,,
Runde23,60.0,0,False,,
Runde24,61.0,0,False,,
Runde25,61.0,0,False,,
Runde26,65.0,0,False,,
Runde27,66.5,0,False,,
Runde28,68.0,0,False,,
Runde29,69.5,0,False,,
Runde30,70.5,0,False,,
Runde31,73.0,0,False,,
Runde32,,,False,,
