Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,3.0,4,False,,
Runde2,5.5,0,False,,
Runde3,5.5,0,False,Marji: positive,Marji: 10
Runde4,7.5,0,False,Marji: ,Marji: 7.5
Runde5,6.5,4,False,Marji: positive,Marji: 8.571428571428571
Runde6,6.0,1,False,Marji:  | Defector: negative,Marji: 8.461538461538462 | Defector: 1
Runde7,6.0,3,False,Marji: ,Marji: 8.125
Runde8,6.5,3,False,,
Runde9,7.0,2,False,Marji: positive,Marji: 8.421052631578947
Runde10,3.5,7,False,Marji: ,Marji: 8.636363636363637
Runde11,4.0,0,False,Marji: ,Marji: 8.4
Runde12,4.5,0,False,Marji: negative,Marji: 7.548387096774194
Runde13,5.0,0,False,Marji: negative | Defector: negative,Marji: 7.235294117647059 | Defector: 1.0
Runde14,7.0,1,False,,
Runde15,7.0,2,False,Marji: ,Marji: 7.1891891891891895
Runde16,6.5,3,False,Marji: positive,Marji: 7.4
Runde17,4.5,4,False,,
Runde18,4.5,0,False,Marji: ,Marji: 7.304347826086956
Runde19,7.0,0,False,Marji: negative,Marji: 7.076923076923077
Runde20,7.5,0,False,Marji: ,Marji: 7.054545454545455
Runde21,6.5,4,False,,
Runde22,6.0,2,False,Marji: positive,Marji: 7.206896551724138
Runde23,7.5,0,False,,
Runde24,7.5,0,False,,
Runde25,,,False,,
