Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,7.0,2,False,,
Runde2,17.0,0,False,Rosanne: positive | Ricky: positive,Rosanne: 10 | Ricky: 10
Runde3,21.5,11,False,Lauri: positive,Lauri: 10
Runde4,32.5,0,False,,
Runde5,49.5,0,False,Ricky: positive,Ricky: 10.0
Runde6,58.5,18,False,Rosanne: positive,Rosanne: 10.0
Runde7,64.0,17,False,Rosanne: negative,Rosanne: 7.428571428571429
Runde8,74.5,6,False,Defector: negative,Defector: 1
Runde9,90.0,0,False,Rosanne: positive | Jehanna: positive,Rosanne: 8.2 | Jehanna: 10
Runde10,108.0,11,False,Lauri: positive,Lauri: 10.0
Runde11,123.5,6,False,Rosanne: positive | Jehanna: positive,Rosanne: 8.615384615384615 | Jehanna: 10.0
Runde12,133.0,11,False,Rosanne: positive | Ricky: positive | Lauri: positive,Rosanne: 8.875 | Ricky: 10.0 | Lauri: 10.0
Runde13,145.0,5,False,Ricky: positive | Lauri: positive,Ricky: 10.0 | Lauri: 10.0
Runde14,153.5,3,False,Jehanna: positive,Jehanna: 10.0
Runde15,163.0,14,False,,
Runde16,173.5,1,False,Rosanne: positive | Lauri: positive,Rosanne: 9.052631578947368 | Lauri: 10.0
Runde17,180.5,9,False,Jehanna: positive | Lauri: positive,Jehanna: 10.0 | Lauri: 10.0
Runde18,197.0,3,False,Lauri: positive,Lauri: 10.0
Runde19,203.5,6,False,Ricky: positive,Ricky: 10.0
Runde20,217.0,0,False,Rosanne: positive | Lauri: positive,Rosanne: 9.181818181818182 | Lauri: 10.0
Runde21,217.0,3,False,Ricky: positive | Jehanna: positive,Ricky: 10.0 | Jehanna: 10.0
Runde22,228.0,2,False,,
Runde23,243.0,2,False,,
Runde24,265.5,3,False,Jehanna: positive,Jehanna: 10.0
Runde25,,,False,,
