Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,7.0,2,False,,
Runde2,12.0,5,False,Ricky: positive | Dorry: positive,Ricky: 10 | Dorry: 10
Runde3,23.5,4,False,Jehanna: positive,Jehanna: 10
Runde4,30.5,4,False,Lauri: positive | Dorry: positive,Lauri: 10 | Dorry: 10.0
Runde5,29.5,18,False,Ricky: positive,Ricky: 10.0
Runde6,51.5,5,False,Lauri: positive,Lauri: 10.0
Runde7,67.0,7,False,Lauri: positive,Lauri: 10.0
Runde8,68.5,15,False,Jehanna: positive | Lauri: positive,Jehanna: 10.0 | Lauri: 10.0
Runde9,73.0,11,False,Jehanna: positive,Jehanna: 10.0
Runde10,91.0,11,False,Lauri: positive,Lauri: 10.0
Runde11,107.5,5,False,Ricky: positive,Ricky: 10.0
Runde12,127.0,1,False,Ricky: positive | Lauri: positive | Dorry: positive,Ricky: 10.0 | Lauri: 10.0 | Dorry: 10.0
Runde13,143.0,1,False,Jehanna: positive | Dorry: positive,Jehanna: 10.0 | Dorry: 10.0
Runde14,139.5,15,False,Jehanna: positive,Jehanna: 10.0
Runde15,152.0,11,False,,
Runde16,156.5,7,False,Lauri: positive | Dorry: positive,Lauri: 10.0 | Dorry: 10.0
Runde17,170.5,2,False,Lauri: positive,Lauri: 10.0
Runde18,190.0,0,False,,
Runde19,193.5,9,False,Jehanna: positive,Jehanna: 10.0
Runde20,204.0,3,False,Dorry: positive,Dorry: 10.0
Runde21,207.0,0,False,,
Runde22,220.0,0,False,,
Runde23,236.0,1,False,Ricky: positive,Ricky: 10.0
Runde24,242.5,19,False,Ricky: positive | Jehanna: positive,Ricky: 10.0 | Jehanna: 10.0
Runde25,,,False,,
