Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,34.75,1,False,,
Runde2,196.25,2,False,Doroteya: positive,Doroteya: 10
Runde3,317.5,16,False,Myrah: positive | Arabel: positive | Delinda: positive | Jenifer: positive | Marinna: positive | Emmalynne: positive | Issy: positive,Myrah: 10 | Arabel: 10 | Delinda: 10 | Jenifer: 10 | Marinna: 10 | Emmalynne: 10 | Issy: 10
Runde4,447.75,4,False,Myrah: negative | Arabel: negative | Wrennie: negative | Diann: negative | Doroteya: negative | Marinna: negative | Issy: negative,Myrah: 5.5 | Arabel: 5.5 | Wrennie: 1 | Diann: 1 | Doroteya: 5.5 | Marinna: 5.5 | Issy: 5.5
Runde5,564.25,2,False,Effie: negative | Tierney: negative | Georgette: positive | Issy: negative,Effie: 1 | Tierney: 1 | Georgette: 10 | Issy: 4.857142857142857
Runde6,679.75,6,False,Nichole: negative | Effie: negative | Elfie: negative | Laverna: negative | Jenifer: negative | Georgette: negative,Nichole: 1 | Effie: 1.0 | Elfie: 1 | Laverna: 1 | Jenifer: 5.5 | Georgette: 5.5
Runde7,796.0,12,False,Myrah: negative | Effie: negative | Tierney: negative | Wrennie: negative | Ingunna: negative | Diann: negative | Doroteya: negative | Brianne: negative | Zsa Zsa: negative | Defector: negative,Myrah: 4.857142857142857 | Effie: 1.0 | Tierney: 1.0 | Wrennie: 1.0 | Ingunna: 1 | Diann: 1.0 | Doroteya: 4.857142857142857 | Brianne: 1 | Zsa Zsa: 1 | Defector: 1
Runde8,922.5,13,False,Arabel: negative | Effie: negative | Tierney: negative | Wrennie: negative | Delinda: negative | Elfie: negative | Georgette: negative | Brianne: negative | Marinna: negative,Arabel: 4.857142857142857 | Effie: 1.0 | Tierney: 1.0 | Wrennie: 1.0 | Delinda: 5.5 | Elfie: 1.0 | Georgette: 4.857142857142857 | Brianne: 1.0 | Marinna: 4.857142857142857
Runde9,1071.25,2,False,Tierney: negative | Elfie: negative | Laverna: negative | Jenifer: negative | Diann: negative | Brianne: negative | Emmalynne: negative | Zsa Zsa: negative | Issy: negative | Defector: negative,Tierney: 1.0 | Elfie: 1.0 | Laverna: 1.0 | Jenifer: 4.857142857142857 | Diann: 1.0 | Brianne: 1.0 | Emmalynne: 5.5 | Zsa Zsa: 1.0 | Issy: 4.6 | Defector: 1.0
Runde10,1224.25,3,False,Nichole: negative | Effie: negative | Georgette: negative | Marinna: negative | Emmalynne: negative,Nichole: 1.0 | Effie: 1.0 | Georgette: 4.6 | Marinna: 4.6 | Emmalynne: 4.857142857142857
Runde11,1379.5,3,False,Nichole: negative | Laverna: negative | Marinna: negative,Nichole: 1.0 | Laverna: 1.0 | Marinna: 4.461538461538462
Runde12,1482.25,6,False,Myrah: negative | Arabel: negative | Delinda: negative | Laverna: negative | Ingunna: negative | Georgette: negative | Emmalynne: negative | Zsa Zsa: negative | Issy: negative,Myrah: 4.6 | Arabel: 4.6 | Delinda: 4.857142857142857 | Laverna: 1.0 | Ingunna: 1.0 | Georgette: 4.461538461538462 | Emmalynne: 4.6 | Zsa Zsa: 1.0 | Issy: 4.461538461538462
Runde13,1604.0,14,False,Effie: negative | Tierney: negative | Wrennie: negative | Delinda: negative | Ingunna: negative | Emmalynne: negative | Issy: negative,Effie: 1.0 | Tierney: 1.0 | Wrennie: 1.0 | Delinda: 4.6 | Ingunna: 1.0 | Emmalynne: 4.461538461538462 | Issy: 4.375
Runde14,1752.75,2,False,Myrah: negative | Arabel: negative | Nichole: negative | Wrennie: negative | Delinda: negative | Elfie: negative | Laverna: negative | Ingunna: negative | Doroteya: negative | Georgette: negative | Zsa Zsa: negative | Issy: negative | Defector: negative,Myrah: 4.461538461538462 | Arabel: 4.461538461538462 | Nichole: 1.0 | Wrennie: 1.0 | Delinda: 4.461538461538462 | Elfie: 1.0 | Laverna: 1.0 | Ingunna: 1.0 | Doroteya: 4.6 | Georgette: 4.375 | Zsa Zsa: 1.0 | Issy: 4.315789473684211 | Defector: 1.0
Runde15,1908.5,13,False,Wrennie: negative | Brianne: negative | Marinna: negative | Issy: negative,Wrennie: 1.0 | Brianne: 1.0 | Marinna: 4.375 | Issy: 4.2727272727272725
Runde16,2001.75,11,False,Myrah: negative | Wrennie: negative | Delinda: negative | Elfie: negative | Laverna: negative | Ingunna: negative | Marinna: negative | Defector: negative,Myrah: 4.375 | Wrennie: 1.0 | Delinda: 4.375 | Elfie: 1.0 | Laverna: 1.0 | Ingunna: 1.0 | Marinna: 4.315789473684211 | Defector: 1.0
Runde17,2115.25,11,False,Myrah: negative | Nichole: negative | Tierney: negative | Jenifer: negative | Georgette: negative | Emmalynne: negative | Zsa Zsa: negative | Issy: negative,Myrah: 4.315789473684211 | Nichole: 1.0 | Tierney: 1.0 | Jenifer: 4.6 | Georgette: 4.315789473684211 | Emmalynne: 4.375 | Zsa Zsa: 1.0 | Issy: 4.24
Runde18,2253.75,13,False,Arabel: negative | Nichole: negative | Effie: negative | Tierney: negative | Wrennie: negative | Jenifer: negative | Doroteya: negative | Emmalynne: negative | Issy: negative,Arabel: 4.375 | Nichole: 1.0 | Effie: 1.0 | Tierney: 1.0 | Wrennie: 1.0 | Jenifer: 4.461538461538462 | Doroteya: 4.461538461538462 | Emmalynne: 4.315789473684211 | Issy: 4.214285714285714
Runde19,2373.75,3,False,Arabel: negative | Wrennie: negative | Elfie: negative | Emmalynne: negative,Arabel: 4.315789473684211 | Wrennie: 1.0 | Elfie: 1.0 | Emmalynne: 4.2727272727272725
Runde20,2511.75,9,False,Elfie: negative | Ingunna: negative | Jenifer: negative | Diann: negative | Brianne: negative | Marinna: negative | Emmalynne: negative | Issy: negative,Elfie: 1.0 | Ingunna: 1.0 | Jenifer: 4.375 | Diann: 1.0 | Brianne: 1.0 | Marinna: 4.2727272727272725 | Emmalynne: 4.24 | Issy: 4.193548387096774
Runde21,2650.25,10,False,Myrah: negative | Nichole: negative | Tierney: negative | Delinda: negative | Elfie: negative | Laverna: negative | Jenifer: negative | Doroteya: negative | Georgette: negative | Brianne: negative | Marinna: negative | Emmalynne: negative,Myrah: 4.2727272727272725 | Nichole: 1.0 | Tierney: 1.0 | Delinda: 4.315789473684211 | Elfie: 1.0 | Laverna: 1.0 | Jenifer: 4.315789473684211 | Doroteya: 4.375 | Georgette: 4.2727272727272725 | Brianne: 1.0 | Marinna: 4.24 | Emmalynne: 4.214285714285714
Runde22,2796.5,0,False,Nichole: negative | Wrennie: negative | Jenifer: negative | Diann: negative | Doroteya: negative | Zsa Zsa: negative | Defector: negative,Nichole: 1.0 | Wrennie: 1.0 | Jenifer: 4.2727272727272725 | Diann: 1.0 | Doroteya: 4.315789473684211 | Zsa Zsa: 1.0 | Defector: 1.0
Runde23,2932.5,17,False,Arabel: negative | Nichole: negative | Wrennie: negative | Elfie: negative | Jenifer: negative | Diann: negative | Doroteya: negative | Brianne: negative | Marinna: negative | Issy: negative | Defector: negative,Arabel: 4.2727272727272725 | Nichole: 1.0 | Wrennie: 1.0 | Elfie: 1.0 | Jenifer: 4.24 | Diann: 1.0 | Doroteya: 4.2727272727272725 | Brianne: 1.0 | Marinna: 4.214285714285714 | Issy: 4.176470588235294 | Defector: 1.0
Runde24,3045.25,5,False,Wrennie: negative | Delinda: negative | Laverna: negative | Jenifer: negative | Georgette: negative | Marinna: negative | Emmalynne: negative | Issy: negative | Defector: negative,Wrennie: 1.0 | Delinda: 4.2727272727272725 | Laverna: 1.0 | Jenifer: 4.214285714285714 | Georgette: 4.24 | Marinna: 4.193548387096774 | Emmalynne: 4.193548387096774 | Issy: 4.162162162162162 | Defector: 1.0
Runde25,,,False,,
