Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,35.75,0,False,,
Runde2,180.25,19,False,Doroteya: positive | Brianne: positive,Doroteya: 10 | Brianne: 10
Runde3,299.5,18,False,Myrah: positive | Arabel: positive | Delinda: positive | Jenifer: positive | Diann: positive | Georgette: positive,Myrah: 10 | Arabel: 10 | Delinda: 10 | Jenifer: 10 | Diann: 10 | Georgette: 10
Runde4,423.75,10,False,Myrah: positive | Effie: positive | Tierney: positive | Wrennie: positive | Ingunna: positive | Marinna: positive,Myrah: 10.0 | Effie: 10 | Tierney: 10 | Wrennie: 10 | Ingunna: 10 | Marinna: 10
Runde5,540.25,2,False,Myrah: positive | Effie: positive | Delinda: positive | Elfie: positive | Ingunna: positive | Georgette: positive | Brianne: positive | Marinna: positive,Myrah: 10.0 | Effie: 10.0 | Delinda: 10.0 | Elfie: 10 | Ingunna: 10.0 | Georgette: 10.0 | Brianne: 10.0 | Marinna: 10.0
Runde6,649.75,12,False,Myrah: positive | Ingunna: positive | Doroteya: positive,Myrah: 10.0 | Ingunna: 10.0 | Doroteya: 10.0
Runde7,760.0,18,False,Myrah: positive | Arabel: positive | Tierney: positive | Wrennie: positive | Ingunna: positive | Cherye: positive,Myrah: 10.0 | Arabel: 10.0 | Tierney: 10.0 | Wrennie: 10.0 | Ingunna: 10.0 | Cherye: 10
Runde8,887.5,12,False,Myrah: positive | Tierney: positive | Laverna: positive | Cherye: positive | Zsa Zsa: positive | Issy: positive,Myrah: 10.0 | Tierney: 10.0 | Laverna: 10 | Cherye: 10.0 | Zsa Zsa: 10 | Issy: 10
Runde9,1032.25,6,False,Nichole: positive | Effie: positive | Elfie: positive | Ingunna: positive | Jenifer: positive,Nichole: 10 | Effie: 10.0 | Elfie: 10.0 | Ingunna: 10.0 | Jenifer: 10.0
Runde10,1182.25,6,False,Myrah: positive | Arabel: positive | Tierney: positive | Laverna: positive | Ingunna: positive | Diann: positive | Georgette: positive | Brianne: positive | Zsa Zsa: positive | Issy: positive,Myrah: 10.0 | Arabel: 10.0 | Tierney: 10.0 | Laverna: 10.0 | Ingunna: 10.0 | Diann: 10.0 | Georgette: 10.0 | Brianne: 10.0 | Zsa Zsa: 10.0 | Issy: 10.0
Runde11,1328.5,12,False,Nichole: positive | Tierney: positive | Elfie: positive | Jenifer: positive | Diann: positive | Brianne: positive | Marinna: positive | Issy: positive,Nichole: 10.0 | Tierney: 10.0 | Elfie: 10.0 | Jenifer: 10.0 | Diann: 10.0 | Brianne: 10.0 | Marinna: 10.0 | Issy: 10.0
Runde12,1430.25,7,False,Nichole: positive | Effie: positive | Tierney: positive | Doroteya: positive,Nichole: 10.0 | Effie: 10.0 | Tierney: 10.0 | Doroteya: 10.0
Runde13,1550.0,16,False,Effie: positive | Tierney: positive | Delinda: positive | Laverna: positive | Cherye: positive | Doroteya: positive | Georgette: positive,Effie: 10.0 | Tierney: 10.0 | Delinda: 10.0 | Laverna: 10.0 | Cherye: 10.0 | Doroteya: 10.0 | Georgette: 10.0
Runde14,1689.75,11,False,Myrah: positive | Nichole: positive | Delinda: positive | Laverna: positive | Ingunna: positive | Jenifer: positive | Doroteya: positive | Georgette: positive | Issy: positive,Myrah: 10.0 | Nichole: 10.0 | Delinda: 10.0 | Laverna: 10.0 | Ingunna: 10.0 | Jenifer: 10.0 | Doroteya: 10.0 | Georgette: 10.0 | Issy: 10.0
Runde15,1839.5,19,False,Arabel: positive | Nichole: positive | Effie: positive | Laverna: positive | Georgette: positive | Marinna: positive | Issy: positive,Arabel: 10.0 | Nichole: 10.0 | Effie: 10.0 | Laverna: 10.0 | Georgette: 10.0 | Marinna: 10.0 | Issy: 10.0
Runde16,1943.75,0,False,Arabel: positive | Nichole: positive | Effie: positive | Elfie: positive | Laverna: positive | Ingunna: positive | Jenifer: positive | Doroteya: positive | Marinna: positive,Arabel: 10.0 | Nichole: 10.0 | Effie: 10.0 | Elfie: 10.0 | Laverna: 10.0 | Ingunna: 10.0 | Jenifer: 10.0 | Doroteya: 10.0 | Marinna: 10.0
Runde17,2057.25,11,False,Nichole: positive | Wrennie: positive | Elfie: positive | Laverna: positive | Doroteya: positive,Nichole: 10.0 | Wrennie: 10.0 | Elfie: 10.0 | Laverna: 10.0 | Doroteya: 10.0
Runde18,2197.75,11,False,Myrah: positive | Tierney: positive | Wrennie: positive | Cherye: positive | Georgette: positive,Myrah: 10.0 | Tierney: 10.0 | Wrennie: 10.0 | Cherye: 10.0 | Georgette: 10.0
Runde19,2311.75,9,False,Arabel: positive | Effie: positive | Laverna: positive | Ingunna: positive | Diann: positive | Cherye: positive | Georgette: positive | Zsa Zsa: positive | Issy: positive,Arabel: 10.0 | Effie: 10.0 | Laverna: 10.0 | Ingunna: 10.0 | Diann: 10.0 | Cherye: 10.0 | Georgette: 10.0 | Zsa Zsa: 10.0 | Issy: 10.0
Runde20,2453.75,5,False,Myrah: positive | Nichole: positive | Wrennie: positive | Diann: positive | Issy: positive,Myrah: 10.0 | Nichole: 10.0 | Wrennie: 10.0 | Diann: 10.0 | Issy: 10.0
Runde21,2584.25,18,False,Myrah: positive | Tierney: positive | Laverna: positive | Jenifer: positive | Brianne: positive | Zsa Zsa: positive | Issy: positive,Myrah: 10.0 | Tierney: 10.0 | Laverna: 10.0 | Jenifer: 10.0 | Brianne: 10.0 | Zsa Zsa: 10.0 | Issy: 10.0
Runde22,2716.5,14,False,Arabel: positive | Ingunna: positive | Brianne: positive | Marinna: positive | Zsa Zsa: positive,Arabel: 10.0 | Ingunna: 10.0 | Brianne: 10.0 | Marinna: 10.0 | Zsa Zsa: 10.0
Runde23,2858.5,11,False,Nichole: positive | Elfie: positive | Doroteya: positive | Georgette: positive | Brianne: positive | Zsa Zsa: positive,Nichole: 10.0 | Elfie: 10.0 | Doroteya: 10.0 | Georgette: 10.0 | Brianne: 10.0 | Zsa Zsa: 10.0
Runde24,2972.25,4,False,Arabel: positive | Nichole: positive | Elfie: positive | Jenifer: positive | Doroteya: positive | Marinna: positive | Issy: positive,Arabel: 10.0 | Nichole: 10.0 | Elfie: 10.0 | Jenifer: 10.0 | Doroteya: 10.0 | Marinna: 10.0 | Issy: 10.0
Runde25,,,False,,
