Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,35.75,0,False,,
Runde2,190.25,9,False,Doroteya: positive,Doroteya: 10
Runde3,325.5,2,False,Myrah: positive | Effie: positive | Ingunna: positive | Jenifer: positive | Georgette: positive | Emmalynne: positive | Zsa Zsa: positive | Issy: positive,Myrah: 10 | Effie: 10 | Ingunna: 10 | Jenifer: 10 | Georgette: 10 | Emmalynne: 10 | Zsa Zsa: 10 | Issy: 10
Runde4,450.75,9,False,Arabel: negative | Nichole: negative | Delinda: positive | Elfie: negative | Doroteya: negative | Brianne: negative,Arabel: 1 | Nichole: 1 | Delinda: 10 | Elfie: 1 | Doroteya: 5.5 | Brianne: 1
Runde5,569.25,0,False,Arabel: negative | Effie: negative | Tierney: negative | Jenifer: negative | Diann: negative | Cherye: negative | Zsa Zsa: negative | Issy: negative | Defector: negative,Arabel: 1.0 | Effie: 5.5 | Tierney: 1 | Jenifer: 5.5 | Diann: 1 | Cherye: 1 | Zsa Zsa: 5.5 | Issy: 5.5 | Defector: 1
Runde6,684.75,6,False,Arabel: negative | Wrennie: negative | Ingunna: negative | Cherye: negative | Marinna: negative | Emmalynne: negative | Zsa Zsa: negative | Issy: negative | Defector: negative,Arabel: 1.0 | Wrennie: 1 | Ingunna: 5.5 | Cherye: 1.0 | Marinna: 1 | Emmalynne: 5.5 | Zsa Zsa: 4.857142857142857 | Issy: 4.857142857142857 | Defector: 1.0
Runde7,797.0,16,False,Myrah: negative | Effie: negative | Ingunna: negative | Georgette: negative | Brianne: negative | Emmalynne: negative | Defector: negative,Myrah: 5.5 | Effie: 4.857142857142857 | Ingunna: 4.857142857142857 | Georgette: 5.5 | Brianne: 1.0 | Emmalynne: 4.857142857142857 | Defector: 1.0
Runde8,933.5,3,False,Arabel: negative | Tierney: negative | Elfie: negative | Jenifer: negative | Marinna: negative | Zsa Zsa: negative,Arabel: 1.0 | Tierney: 1.0 | Elfie: 1.0 | Jenifer: 4.857142857142857 | Marinna: 1.0 | Zsa Zsa: 4.6
Runde9,1077.25,7,False,Arabel: negative | Delinda: negative | Ingunna: negative | Diann: negative | Cherye: negative | Georgette: negative | Emmalynne: negative | Zsa Zsa: negative | Defector: negative,Arabel: 1.0 | Delinda: 5.5 | Ingunna: 4.6 | Diann: 1.0 | Cherye: 1.0 | Georgette: 4.857142857142857 | Emmalynne: 4.6 | Zsa Zsa: 4.461538461538462 | Defector: 1.0
Runde10,1223.25,10,False,Elfie: negative | Jenifer: negative | Marinna: negative | Issy: negative | Defector: negative,Elfie: 1.0 | Jenifer: 4.6 | Marinna: 1.0 | Issy: 4.6 | Defector: 1.0
Runde11,1381.5,0,False,Myrah: negative | Nichole: negative | Effie: negative | Delinda: negative | Jenifer: negative | Doroteya: negative | Marinna: negative | Emmalynne: negative | Defector: negative,Myrah: 4.857142857142857 | Nichole: 1.0 | Effie: 4.6 | Delinda: 4.857142857142857 | Jenifer: 4.461538461538462 | Doroteya: 4.857142857142857 | Marinna: 1.0 | Emmalynne: 4.461538461538462 | Defector: 1.0
Runde12,1483.25,7,False,Myrah: negative | Arabel: negative | Ingunna: negative | Jenifer: negative | Cherye: negative | Brianne: negative | Issy: negative,Myrah: 4.6 | Arabel: 1.0 | Ingunna: 4.461538461538462 | Jenifer: 4.375 | Cherye: 1.0 | Brianne: 1.0 | Issy: 4.461538461538462
Runde13,1611.0,8,False,Myrah: negative | Arabel: negative | Effie: negative | Tierney: negative | Wrennie: negative | Delinda: negative | Ingunna: negative | Georgette: negative | Brianne: negative | Issy: negative | Defector: negative,Myrah: 4.461538461538462 | Arabel: 1.0 | Effie: 4.461538461538462 | Tierney: 1.0 | Wrennie: 1.0 | Delinda: 4.6 | Ingunna: 4.375 | Georgette: 4.6 | Brianne: 1.0 | Issy: 4.375 | Defector: 1.0
Runde14,1743.75,18,False,Myrah: negative | Arabel: negative | Nichole: negative | Delinda: negative | Elfie: negative | Diann: negative | Cherye: negative | Doroteya: negative | Georgette: negative | Marinna: negative | Issy: negative | Defector: negative,Myrah: 4.375 | Arabel: 1.0 | Nichole: 1.0 | Delinda: 4.461538461538462 | Elfie: 1.0 | Diann: 1.0 | Cherye: 1.0 | Doroteya: 4.6 | Georgette: 4.461538461538462 | Marinna: 1.0 | Issy: 4.315789473684211 | Defector: 1.0
Runde15,1906.5,6,False,Effie: negative | Jenifer: negative | Brianne: negative | Marinna: negative | Emmalynne: negative | Defector: negative,Effie: 4.375 | Jenifer: 4.315789473684211 | Brianne: 1.0 | Marinna: 1.0 | Emmalynne: 4.375 | Defector: 1.0
Runde16,1992.75,18,False,Myrah: negative | Arabel: negative | Nichole: negative | Delinda: negative | Elfie: negative | Doroteya: negative | Issy: negative | Defector: negative,Myrah: 4.315789473684211 | Arabel: 1.0 | Nichole: 1.0 | Delinda: 4.375 | Elfie: 1.0 | Doroteya: 4.461538461538462 | Issy: 4.2727272727272725 | Defector: 1.0
Runde17,2105.25,12,False,Arabel: negative | Delinda: negative | Jenifer: negative | Diann: negative | Doroteya: negative | Georgette: negative | Brianne: negative | Issy: negative,Arabel: 1.0 | Delinda: 4.315789473684211 | Jenifer: 4.2727272727272725 | Diann: 1.0 | Doroteya: 4.375 | Georgette: 4.375 | Brianne: 1.0 | Issy: 4.24
Runde18,2239.75,17,False,Arabel: negative | Nichole: negative | Effie: negative | Wrennie: negative | Ingunna: negative | Jenifer: negative | Diann: negative | Doroteya: negative | Defector: negative,Arabel: 1.0 | Nichole: 1.0 | Effie: 4.315789473684211 | Wrennie: 1.0 | Ingunna: 4.315789473684211 | Jenifer: 4.24 | Diann: 1.0 | Doroteya: 4.315789473684211 | Defector: 1.0
Runde19,2361.75,1,False,Myrah: negative | Tierney: negative | Delinda: negative | Marinna: negative | Emmalynne: negative | Issy: negative | Defector: negative,Myrah: 4.2727272727272725 | Tierney: 1.0 | Delinda: 4.2727272727272725 | Marinna: 1.0 | Emmalynne: 4.315789473684211 | Issy: 4.214285714285714 | Defector: 1.0
Runde20,2503.75,5,False,Ingunna: negative | Jenifer: negative | Georgette: negative | Brianne: negative | Marinna: negative,Ingunna: 4.2727272727272725 | Jenifer: 4.214285714285714 | Georgette: 4.315789473684211 | Brianne: 1.0 | Marinna: 1.0
Runde21,2643.25,9,False,Tierney: negative | Delinda: negative | Diann: negative | Doroteya: negative | Georgette: negative | Marinna: negative | Emmalynne: negative,Tierney: 1.0 | Delinda: 4.24 | Diann: 1.0 | Doroteya: 4.2727272727272725 | Georgette: 4.2727272727272725 | Marinna: 1.0 | Emmalynne: 4.2727272727272725
Runde22,2769.5,20,False,Arabel: negative | Nichole: negative | Tierney: negative | Wrennie: negative | Elfie: negative | Diann: negative | Georgette: negative,Arabel: 1.0 | Nichole: 1.0 | Tierney: 1.0 | Wrennie: 1.0 | Elfie: 1.0 | Diann: 1.0 | Georgette: 4.24
Runde23,2912.5,10,False,Myrah: negative | Arabel: negative | Nichole: negative | Jenifer: negative | Diann: negative | Doroteya: negative | Brianne: negative | Marinna: negative | Issy: negative | Defector: negative,Myrah: 4.24 | Arabel: 1.0 | Nichole: 1.0 | Jenifer: 4.193548387096774 | Diann: 1.0 | Doroteya: 4.24 | Brianne: 1.0 | Marinna: 1.0 | Issy: 4.193548387096774 | Defector: 1.0
Runde24,3018.25,12,False,Delinda: negative | Brianne: negative,Delinda: 4.214285714285714 | Brianne: 1.0
Runde25,,,False,,
