Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,34.75,1,False,,
Runde2,184.25,14,False,Jenifer: positive | Doroteya: positive | Brianne: positive,Jenifer: 10 | Doroteya: 10 | Brianne: 10
Runde3,311.5,10,False,Effie: positive | Delinda: positive | Laverna: positive | Ingunna: positive | Diann: positive | Emmalynne: positive | Zsa Zsa: positive | Issy: positive,Effie: 10 | Delinda: 10 | Laverna: 10 | Ingunna: 10 | Diann: 10 | Emmalynne: 10 | Zsa Zsa: 10 | Issy: 10
Runde4,435.75,10,False,Elfie: negative | Ingunna: positive | Jenifer: negative | Defector: negative,Elfie: 1 | Ingunna: 10.0 | Jenifer: 5.5 | Defector: 1
Runde5,537.25,17,False,Laverna: positive | Brianne: positive | Marinna: positive | Emmalynne: positive | Zsa Zsa: positive,Laverna: 10.0 | Brianne: 10.0 | Marinna: 10 | Emmalynne: 10.0 | Zsa Zsa: 10.0
Runde6,652.75,6,False,Jenifer: positive | Diann: positive | Doroteya: positive | Brianne: positive | Marinna: positive,Jenifer: 7.428571428571429 | Diann: 10.0 | Doroteya: 10.0 | Brianne: 10.0 | Marinna: 10.0
Runde7,765.0,16,False,Arabel: positive | Tierney: positive | Wrennie: positive | Delinda: positive | Ingunna: positive | Diann: positive | Cherye: positive,Arabel: 10 | Tierney: 10 | Wrennie: 10 | Delinda: 10.0 | Ingunna: 10.0 | Diann: 10.0 | Cherye: 10
Runde8,896.5,8,False,Nichole: positive | Emmalynne: positive | Zsa Zsa: positive | Issy: positive,Nichole: 10 | Emmalynne: 10.0 | Zsa Zsa: 10.0 | Issy: 10.0
Runde9,1034.25,13,False,Delinda: positive | Ingunna: positive | Diann: positive | Cherye: positive,Delinda: 10.0 | Ingunna: 10.0 | Diann: 10.0 | Cherye: 10.0
Runde10,1186.25,4,False,Effie: positive | Tierney: positive | Laverna: positive | Ingunna: positive | Diann: positive | Brianne: positive | Emmalynne: positive | Issy: positive,Effie: 10.0 | Tierney: 10.0 | Laverna: 10.0 | Ingunna: 10.0 | Diann: 10.0 | Brianne: 10.0 | Emmalynne: 10.0 | Issy: 10.0
Runde11,1336.5,8,False,Arabel: positive | Nichole: positive | Wrennie: positive | Delinda: positive | Elfie: positive | Diann: positive | Marinna: positive | Zsa Zsa: positive,Arabel: 10.0 | Nichole: 10.0 | Wrennie: 10.0 | Delinda: 10.0 | Elfie: 5.5 | Diann: 10.0 | Marinna: 10.0 | Zsa Zsa: 10.0
Runde12,1445.25,0,False,Effie: positive | Delinda: positive | Brianne: positive | Emmalynne: positive,Effie: 10.0 | Delinda: 10.0 | Brianne: 10.0 | Emmalynne: 10.0
Runde13,1573.0,8,False,Effie: positive | Tierney: positive | Delinda: positive | Elfie: positive | Doroteya: positive | Georgette: positive | Emmalynne: positive | Zsa Zsa: positive | Issy: positive,Effie: 10.0 | Tierney: 10.0 | Delinda: 10.0 | Elfie: 6.142857142857143 | Doroteya: 10.0 | Georgette: 10 | Emmalynne: 10.0 | Zsa Zsa: 10.0 | Issy: 10.0
Runde14,1713.75,10,False,Nichole: positive | Elfie: positive | Laverna: positive | Ingunna: positive | Jenifer: positive | Diann: positive | Georgette: positive | Marinna: positive,Nichole: 10.0 | Elfie: 6.4 | Laverna: 10.0 | Ingunna: 10.0 | Jenifer: 8.2 | Diann: 10.0 | Georgette: 10.0 | Marinna: 10.0
Runde15,1881.5,1,False,Arabel: positive | Elfie: positive | Laverna: positive | Ingunna: positive | Doroteya: positive | Emmalynne: positive | Zsa Zsa: positive | Issy: positive,Arabel: 10.0 | Elfie: 6.538461538461538 | Laverna: 10.0 | Ingunna: 10.0 | Doroteya: 10.0 | Emmalynne: 10.0 | Zsa Zsa: 10.0 | Issy: 10.0
Runde16,1975.75,10,False,Nichole: positive | Wrennie: positive | Delinda: positive | Elfie: positive | Ingunna: positive | Diann: positive | Doroteya: positive | Emmalynne: positive | Zsa Zsa: positive,Nichole: 10.0 | Wrennie: 10.0 | Delinda: 10.0 | Elfie: 6.625 | Ingunna: 10.0 | Diann: 10.0 | Doroteya: 10.0 | Emmalynne: 10.0 | Zsa Zsa: 10.0
Runde17,2092.25,8,False,Effie: positive | Delinda: negative | Elfie: negative | Laverna: positive | Jenifer: negative | Doroteya: negative | Georgette: negative | Brianne: negative | Emmalynne: negative | Zsa Zsa: negative | Issy: negative | Defector: negative,Effie: 10.0 | Delinda: 9.181818181818182 | Elfie: 5.7368421052631575 | Laverna: 10.0 | Jenifer: 7.230769230769231 | Doroteya: 8.875 | Georgette: 7.428571428571429 | Brianne: 8.875 | Emmalynne: 9.28 | Zsa Zsa: 9.181818181818182 | Issy: 8.875 | Defector: 1.0
Runde18,2240.75,3,False,Arabel: positive | Laverna: positive | Diann: positive | Brianne: positive,Arabel: 10.0 | Laverna: 10.0 | Diann: 10.0 | Brianne: 9.052631578947368
Runde19,2347.75,16,False,Arabel: positive | Effie: positive | Wrennie: negative | Elfie: positive | Laverna: positive | Diann: positive | Cherye: positive | Georgette: positive | Brianne: positive | Emmalynne: positive | Defector: negative,Arabel: 10.0 | Effie: 10.0 | Wrennie: 8.2 | Elfie: 5.909090909090909 | Laverna: 10.0 | Diann: 10.0 | Cherye: 10.0 | Georgette: 8.2 | Brianne: 9.181818181818182 | Emmalynne: 9.357142857142858 | Defector: 1.0
Runde20,2480.75,14,False,Arabel: negative | Nichole: negative | Tierney: negative | Laverna: negative | Jenifer: negative | Marinna: negative,Arabel: 8.875 | Nichole: 8.615384615384615 | Tierney: 8.2 | Laverna: 9.28 | Jenifer: 6.625 | Marinna: 8.615384615384615
Runde21,2613.25,16,False,Nichole: positive | Tierney: positive | Wrennie: positive | Brianne: positive | Zsa Zsa: positive,Nichole: 8.875 | Tierney: 8.615384615384615 | Wrennie: 8.615384615384615 | Brianne: 9.28 | Zsa Zsa: 9.28
Runde22,2755.5,4,False,Arabel: positive | Nichole: positive | Tierney: positive | Elfie: positive | Laverna: positive | Ingunna: positive | Cherye: positive | Georgette: positive | Brianne: positive | Emmalynne: positive | Issy: positive,Arabel: 9.052631578947368 | Nichole: 9.052631578947368 | Tierney: 8.875 | Elfie: 6.04 | Laverna: 9.357142857142858 | Ingunna: 10.0 | Cherye: 10.0 | Georgette: 8.615384615384615 | Brianne: 9.357142857142858 | Emmalynne: 9.419354838709678 | Issy: 9.052631578947368
Runde23,2904.5,4,False,Nichole: positive | Effie: positive | Ingunna: positive | Doroteya: positive | Emmalynne: positive | Zsa Zsa: positive,Nichole: 9.181818181818182 | Effie: 10.0 | Ingunna: 10.0 | Doroteya: 9.052631578947368 | Emmalynne: 9.470588235294118 | Zsa Zsa: 9.357142857142858
Runde24,3019.25,3,False,Arabel: positive | Nichole: positive | Wrennie: positive | Elfie: positive | Jenifer: positive | Diann: positive | Brianne: positive | Zsa Zsa: positive | Issy: positive,Arabel: 9.181818181818182 | Nichole: 9.28 | Wrennie: 8.875 | Elfie: 6.142857142857143 | Jenifer: 7.157894736842105 | Diann: 10.0 | Brianne: 9.419354838709678 | Zsa Zsa: 9.419354838709678 | Issy: 9.181818181818182
Runde25,,,False,,
