Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,32.75,3,False,,
Runde2,189.25,7,False,Jenifer: positive,Jenifer: 10
Runde3,321.5,5,False,Arabel: positive | Ingunna: positive | Jenifer: positive | Diann: positive | Issy: positive,Arabel: 10 | Ingunna: 10 | Jenifer: 10.0 | Diann: 10 | Issy: 10
Runde4,446.75,9,False,Laverna: negative | Jenifer: negative,Laverna: 1 | Jenifer: 7.428571428571429
Runde5,556.25,9,False,Myrah: negative | Arabel: negative | Effie: negative | Delinda: negative | Jenifer: negative | Issy: negative | Defector: negative,Myrah: 1 | Arabel: 5.5 | Effie: 1 | Delinda: 1 | Jenifer: 6.4 | Issy: 5.5 | Defector: 1
Runde6,675.75,2,False,Wrennie: negative | Delinda: negative | Ingunna: negative | Cherye: negative | Georgette: negative | Zsa Zsa: negative | Defector: negative,Wrennie: 1 | Delinda: 1.0 | Ingunna: 5.5 | Cherye: 1 | Georgette: 1 | Zsa Zsa: 1 | Defector: 1.0
Runde7,784.0,20,False,Myrah: negative | Effie: negative | Laverna: negative | Jenifer: negative | Doroteya: negative | Zsa Zsa: negative,Myrah: 1.0 | Effie: 1.0 | Laverna: 1.0 | Jenifer: 5.846153846153846 | Doroteya: 1 | Zsa Zsa: 1.0
Runde8,910.5,13,False,Arabel: negative | Wrennie: negative | Elfie: negative | Doroteya: negative | Georgette: negative | Marinna: negative | Zsa Zsa: negative | Defector: negative,Arabel: 4.857142857142857 | Wrennie: 1.0 | Elfie: 1 | Doroteya: 1.0 | Georgette: 1.0 | Marinna: 1 | Zsa Zsa: 1.0 | Defector: 1.0
Runde9,1057.25,4,False,Effie: positive | Tierney: negative | Elfie: positive | Ingunna: positive | Cherye: positive | Issy: negative | Defector: negative,Effie: 3.5714285714285716 | Tierney: 1 | Elfie: 5.5 | Ingunna: 7.428571428571429 | Cherye: 5.5 | Issy: 4.857142857142857 | Defector: 1.0
Runde10,1206.25,7,False,Effie: positive | Diann: positive | Marinna: positive | Zsa Zsa: positive | Issy: positive,Effie: 4.6 | Diann: 10.0 | Marinna: 5.5 | Zsa Zsa: 2.8 | Issy: 6.4
Runde11,1347.5,17,False,Arabel: positive | Tierney: positive | Jenifer: positive | Cherye: negative | Doroteya: negative,Arabel: 6.4 | Tierney: 5.5 | Jenifer: 6.625 | Cherye: 3.5714285714285716 | Doroteya: 1.0
Runde12,1456.25,0,False,Arabel: negative | Effie: positive | Laverna: negative | Ingunna: negative | Cherye: negative | Georgette: negative | Marinna: positive | Zsa Zsa: negative | Defector: negative,Arabel: 5.846153846153846 | Effie: 5.153846153846154 | Laverna: 1.0 | Ingunna: 6.4 | Cherye: 2.8 | Georgette: 1.0 | Marinna: 6.142857142857143 | Zsa Zsa: 2.3846153846153846 | Defector: 1.0
Runde13,1578.0,14,False,Myrah: negative | Defector: negative,Myrah: 1.0 | Defector: 1.0
Runde14,1710.75,18,False,Effie: positive | Brianne: negative | Emmalynne: positive,Effie: 5.5 | Brianne: 1 | Emmalynne: 10
Runde15,1868.5,11,False,Effie: positive | Tierney: negative | Delinda: negative | Elfie: positive | Jenifer: positive | Doroteya: positive | Georgette: positive | Emmalynne: positive,Effie: 5.7368421052631575 | Tierney: 3.5714285714285716 | Delinda: 1.0 | Elfie: 6.142857142857143 | Jenifer: 7.157894736842105 | Doroteya: 2.8 | Georgette: 2.8 | Emmalynne: 10.0
Runde16,1965.75,7,False,Arabel: positive | Tierney: positive | Elfie: positive | Laverna: positive | Ingunna: positive | Cherye: positive | Doroteya: positive | Marinna: positive,Arabel: 6.625 | Tierney: 4.6 | Elfie: 6.4 | Laverna: 2.8 | Ingunna: 7.230769230769231 | Cherye: 3.769230769230769 | Doroteya: 3.769230769230769 | Marinna: 6.4
Runde17,2089.25,1,False,Wrennie: positive | Laverna: positive | Ingunna: positive | Jenifer: positive | Cherye: positive | Marinna: positive,Wrennie: 3.5714285714285716 | Laverna: 3.769230769230769 | Ingunna: 7.75 | Jenifer: 7.545454545454546 | Cherye: 4.375 | Marinna: 6.538461538461538
Runde18,2236.75,4,False,Myrah: positive | Laverna: positive | Diann: positive | Emmalynne: positive,Myrah: 2.8 | Laverna: 4.375 | Diann: 10.0 | Emmalynne: 10.0
Runde19,2352.75,7,False,Arabel: positive | Ingunna: positive | Jenifer: positive | Diann: positive | Georgette: positive,Arabel: 7.157894736842105 | Ingunna: 8.105263157894736 | Jenifer: 7.84 | Diann: 10.0 | Georgette: 3.769230769230769
Runde20,2490.75,9,False,Effie: positive | Jenifer: negative | Cherye: negative | Doroteya: positive | Brianne: negative | Marinna: negative | Defector: negative,Effie: 5.909090909090909 | Jenifer: 7.428571428571429 | Cherye: 3.8421052631578947 | Doroteya: 4.375 | Brianne: 1.0 | Marinna: 5.5 | Defector: 1.0
Runde21,2632.25,7,False,Myrah: positive | Effie: negative | Delinda: negative | Elfie: negative | Brianne: positive | Zsa Zsa: positive,Myrah: 3.769230769230769 | Effie: 5.32 | Delinda: 1.0 | Elfie: 5.153846153846154 | Brianne: 3.5714285714285716 | Zsa Zsa: 3.25
Runde22,2769.5,9,False,Effie: negative | Wrennie: negative | Elfie: negative | Diann: negative | Doroteya: negative | Brianne: positive | Marinna: positive | Emmalynne: positive | Defector: negative,Effie: 4.857142857142857 | Wrennie: 2.8 | Elfie: 4.375 | Diann: 8.615384615384615 | Doroteya: 3.8421052631578947 | Brianne: 4.6 | Marinna: 5.7368421052631575 | Emmalynne: 10.0 | Defector: 1.0
Runde23,2912.5,10,False,Myrah: negative | Arabel: negative | Effie: positive | Delinda: positive | Laverna: positive | Diann: negative | Brianne: negative | Marinna: negative | Issy: negative | Defector: negative,Myrah: 3.25 | Arabel: 6.7272727272727275 | Effie: 5.064516129032258 | Delinda: 2.3846153846153846 | Laverna: 4.7894736842105265 | Diann: 7.75 | Brianne: 3.769230769230769 | Marinna: 5.090909090909091 | Issy: 5.846153846153846 | Defector: 1.0
Runde24,3020.25,10,False,Myrah: negative | Effie: negative | Wrennie: negative | Delinda: negative | Ingunna: negative | Brianne: negative,Myrah: 2.8947368421052633 | Effie: 4.705882352941177 | Wrennie: 2.3846153846153846 | Delinda: 2.125 | Ingunna: 7.545454545454546 | Brianne: 3.25
Runde25,,,False,,
