Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,34.75,1,False,,
Runde2,196.25,2,False,Doroteya: positive,Doroteya: 10
Runde3,317.5,16,False,Myrah: positive | Delinda: positive | Ingunna: positive | Diann: positive | Georgette: positive | Marinna: positive | Emmalynne: positive | Zsa Zsa: positive,Myrah: 10 | Delinda: 10 | Ingunna: 10 | Diann: 10 | Georgette: 10 | Marinna: 10 | Emmalynne: 10 | Zsa Zsa: 10
Runde4,451.75,0,False,Myrah: negative | Arabel: negative | Nichole: negative | Effie: negative | Elfie: negative | Diann: negative | Marinna: negative | Issy: negative,Myrah: 5.5 | Arabel: 1 | Nichole: 1 | Effie: 1 | Elfie: 1 | Diann: 5.5 | Marinna: 5.5 | Issy: 1
Runde5,554.25,16,False,Arabel: negative | Diann: negative | Issy: negative | Defector: negative,Arabel: 1.0 | Diann: 4.857142857142857 | Issy: 1.0 | Defector: 1
Runde6,663.75,12,False,Arabel: negative | Nichole: negative | Effie: negative | Elfie: negative | Ingunna: negative | Jenifer: negative | Doroteya: negative | Marinna: negative | Emmalynne: negative | Zsa Zsa: negative | Issy: negative | Defector: negative,Arabel: 1.0 | Nichole: 1.0 | Effie: 1.0 | Elfie: 1.0 | Ingunna: 5.5 | Jenifer: 1 | Doroteya: 5.5 | Marinna: 4.857142857142857 | Emmalynne: 5.5 | Zsa Zsa: 5.5 | Issy: 1.0 | Defector: 1.0
Runde7,779.0,13,False,Nichole: negative | Effie: negative | Delinda: positive | Doroteya: negative | Marinna: positive,Nichole: 1.0 | Effie: 1.0 | Delinda: 10.0 | Doroteya: 4.857142857142857 | Marinna: 6.4
Runde8,917.5,1,False,Myrah: positive | Ingunna: negative | Cherye: positive | Emmalynne: positive | Defector: negative,Myrah: 7.428571428571429 | Ingunna: 4.857142857142857 | Cherye: 10 | Emmalynne: 7.428571428571429 | Defector: 1.0
Runde9,1050.25,18,False,Effie: positive | Elfie: positive | Ingunna: positive | Georgette: positive | Emmalynne: positive,Effie: 2.8 | Elfie: 3.5714285714285716 | Ingunna: 6.4 | Georgette: 10.0 | Emmalynne: 8.2
Runde10,1188.25,18,False,Nichole: negative | Ingunna: negative | Jenifer: negative | Doroteya: positive | Defector: negative,Nichole: 1.0 | Ingunna: 5.846153846153846 | Jenifer: 1.0 | Doroteya: 6.4 | Defector: 1.0
Runde11,1326.5,20,False,Nichole: positive | Wrennie: positive | Ingunna: positive | Jenifer: positive | Georgette: positive | Marinna: positive | Emmalynne: positive,Nichole: 2.3846153846153846 | Wrennie: 10 | Ingunna: 6.625 | Jenifer: 3.5714285714285716 | Georgette: 10.0 | Marinna: 7.230769230769231 | Emmalynne: 8.615384615384615
Runde12,1428.25,7,False,Myrah: positive | Effie: positive | Delinda: positive | Diann: positive | Georgette: positive | Marinna: positive,Myrah: 8.2 | Effie: 3.769230769230769 | Delinda: 10.0 | Diann: 6.4 | Georgette: 10.0 | Marinna: 7.75
Runde13,1558.0,6,False,Arabel: positive | Effie: positive | Laverna: positive | Diann: positive | Cherye: positive | Brianne: positive | Issy: positive,Arabel: 2.8 | Effie: 4.375 | Laverna: 10 | Diann: 7.230769230769231 | Cherye: 10.0 | Brianne: 10 | Issy: 2.8
Runde14,1708.75,0,False,Nichole: positive | Laverna: positive | Ingunna: positive | Jenifer: positive | Emmalynne: positive,Nichole: 3.25 | Laverna: 10.0 | Ingunna: 7.157894736842105 | Jenifer: 4.6 | Emmalynne: 8.875
Runde15,1859.5,18,False,Myrah: positive | Effie: positive | Ingunna: positive | Jenifer: positive | Doroteya: positive | Georgette: positive | Emmalynne: positive | Issy: positive,Myrah: 8.615384615384615 | Effie: 4.7894736842105265 | Ingunna: 7.545454545454546 | Jenifer: 5.153846153846154 | Doroteya: 7.230769230769231 | Georgette: 10.0 | Emmalynne: 9.052631578947368 | Issy: 3.769230769230769
Runde16,1962.75,1,False,Arabel: positive | Nichole: positive | Effie: positive | Wrennie: positive | Ingunna: positive | Jenifer: positive | Diann: positive | Doroteya: positive | Georgette: positive | Marinna: positive | Zsa Zsa: positive,Arabel: 3.769230769230769 | Nichole: 3.8421052631578947 | Effie: 5.090909090909091 | Wrennie: 10.0 | Ingunna: 7.84 | Jenifer: 5.5 | Diann: 7.75 | Doroteya: 7.75 | Georgette: 10.0 | Marinna: 8.105263157894736 | Zsa Zsa: 7.428571428571429
Runde17,2080.25,7,False,Myrah: positive | Nichole: positive | Jenifer: positive | Cherye: positive,Myrah: 8.875 | Nichole: 4.2727272727272725 | Jenifer: 5.7368421052631575 | Cherye: 10.0
Runde18,2229.75,2,False,Arabel: positive | Wrennie: positive | Elfie: positive | Diann: positive | Cherye: positive | Issy: positive,Arabel: 4.375 | Wrennie: 10.0 | Elfie: 4.6 | Diann: 8.105263157894736 | Cherye: 10.0 | Issy: 4.375
Runde19,2349.75,3,False,Effie: positive | Elfie: positive | Laverna: positive | Cherye: positive | Doroteya: positive | Georgette: positive | Zsa Zsa: positive,Effie: 5.32 | Elfie: 5.153846153846154 | Laverna: 10.0 | Cherye: 10.0 | Doroteya: 8.105263157894736 | Georgette: 10.0 | Zsa Zsa: 8.2
Runde20,2483.75,13,False,Myrah: positive | Arabel: positive | Delinda: positive | Elfie: positive | Diann: positive | Emmalynne: positive | Issy: positive,Myrah: 9.052631578947368 | Arabel: 4.7894736842105265 | Delinda: 10.0 | Elfie: 5.5 | Diann: 8.363636363636363 | Emmalynne: 9.181818181818182 | Issy: 4.7894736842105265
Runde21,2622.25,10,False,Arabel: positive | Effie: negative | Wrennie: positive | Ingunna: positive | Defector: negative,Arabel: 5.090909090909091 | Effie: 4.857142857142857 | Wrennie: 10.0 | Ingunna: 8.071428571428571 | Defector: 1.0
Runde22,2768.5,0,False,Myrah: positive | Ingunna: positive | Georgette: positive | Brianne: positive | Marinna: positive | Emmalynne: positive,Myrah: 9.181818181818182 | Ingunna: 8.258064516129032 | Georgette: 10.0 | Brianne: 10.0 | Marinna: 8.363636363636363 | Emmalynne: 9.28
Runde23,2904.5,17,False,Effie: positive | Laverna: positive | Georgette: positive | Zsa Zsa: positive,Effie: 5.064516129032258 | Laverna: 10.0 | Georgette: 10.0 | Zsa Zsa: 8.615384615384615
Runde24,3021.25,1,False,Myrah: negative | Delinda: negative | Ingunna: negative,Myrah: 8.56 | Delinda: 8.615384615384615 | Ingunna: 7.882352941176471
Runde25,,,False,,
