Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,4.25,3,False,,
Runde2,6.5,3,False,,
Runde3,11.5,4,False,Maire: positive,Maire: 10
Runde4,13.5,4,False,,
Runde5,18.25,11,False,Maire: positive,Maire: 10.0
Runde6,26.25,1,False,,
Runde7,35.25,3,False,,
Runde8,37.5,3,False,,
Runde9,44.5,17,False,,
Runde10,43.5,16,False,Maire: positive,Maire: 10.0
Runde11,43.75,5,False,,
Runde12,44.5,12,False,,
Runde13,45.75,1,False,,
Runde14,55.5,18,False,,
Runde15,65.0,10,False,Maire: positive,Maire: 10.0
Runde16,65.5,10,False,,
Runde17,70.0,9,False,,
Runde18,69.5,5,False,Maire: positive,Maire: 10.0
Runde19,81.75,5,False,,
Runde20,86.5,14,False,Maire: positive,Maire: 10.0
Runde21,90.75,1,False,Maire: positive,Maire: 10.0
Runde22,102.0,9,False,Maire: positive,Maire: 10.0
Runde23,103.0,20,False,,
Runde24,112.0,18,False,Maire: positive,Maire: 10.0
Runde25,123.0,7,False,,
Runde26,130.25,13,False,,
Runde27,141.25,10,False,Maire: positive,Maire: 10.0
Runde28,150.0,4,False,Maire: positive,Maire: 10.0
Runde29,151.75,8,False,,
Runde30,151.5,1,False,,
Runde31,147.25,20,False,,
Runde32,154.75,6,False,,
Runde33,157.25,2,False,Maire: positive,Maire: 10.0
Runde34,167.5,1,False,,
Runde35,176.25,7,False,Maire: positive,Maire: 10.0
Runde36,182.0,13,False,,
Runde37,180.5,15,False,Maire: positive,Maire: 10.0
Runde38,184.0,4,False,,
Runde39,188.0,2,False,,
Runde40,194.5,19,False,,
Runde41,200.25,1,False,Maire: positive,Maire: 10.0
Runde42,204.75,3,False,Maire: positive,Maire: 10.0
Runde43,212.75,13,False,,
Runde44,222.75,14,False,,
Runde45,230.25,3,False,Maire: positive,Maire: 10.0
Runde46,241.0,8,False,Maire: positive,Maire: 10.0
Runde47,243.0,19,False,,
Runde48,251.25,3,False,Maire: positive,Maire: 10.0
Runde49,250.5,6,False,Maire: positive,Maire: 10.0
Runde50,,,False,,
