Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,4.5,5,False,,
Runde2,6.0,3,False,,
Runde3,10.75,5,False,Fiorenze: positive,Fiorenze: 10
Runde4,11.25,10,False,Fiorenze: positive,Fiorenze: 10.0
Runde5,17.0,1,False,,
Runde6,23.75,9,False,,
Runde7,22.75,16,False,Fiorenze: positive,Fiorenze: 10.0
Runde8,25.5,4,False,,
Runde9,39.0,0,False,Fiorenze: positive,Fiorenze: 10.0
Runde10,42.0,0,False,Fiorenze: positive,Fiorenze: 10.0
Runde11,44.0,4,False,,
Runde12,49.0,4,False,,
Runde13,45.5,14,False,Fiorenze: positive,Fiorenze: 10.0
Runde14,47.0,9,False,,
Runde15,46.25,6,False,,
Runde16,52.25,9,False,,
Runde17,61.0,1,False,,
Runde18,67.5,1,False,,
Runde19,70.0,2,False,,
Runde20,68.0,17,False,,
Runde21,72.75,2,False,,
Runde22,84.0,12,False,,
Runde23,90.0,9,False,,
Runde24,89.5,2,False,,
Runde25,91.25,20,False,,
Runde26,89.5,10,False,,
Runde27,,,False,,
