Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,5.0,3,False,,
Runde2,7.25,0,False,,
Runde3,10.25,3,False,,
Runde4,12.5,0,False,,
Runde5,12.0,11,False,,
Runde6,11.5,11,False,,
Runde7,16.5,1,False,,
Runde8,24.75,3,False,,
Runde9,26.75,7,False,Meris: positive,Meris: 10
Runde10,35.25,8,False,,
Runde11,35.75,1,False,Meris: positive,Meris: 10.0
Runde12,35.5,4,False,,
Runde13,42.75,4,False,,
Runde14,53.0,13,False,Meris: positive,Meris: 10.0
Runde15,61.5,20,False,,
Runde16,66.75,15,False,,
Runde17,74.25,9,False,Meris: positive,Meris: 10.0
Runde18,74.75,1,False,,
Runde19,76.0,19,False,,
Runde20,83.0,5,False,Meris: positive,Meris: 10.0
Runde21,86.75,12,False,Meris: positive,Meris: 10.0
Runde22,84.5,9,False,Meris: positive,Meris: 10.0
Runde23,89.25,14,False,,
Runde24,102.5,7,False,Meris: positive,Meris: 10.0
Runde25,105.25,1,False,,
Runde26,104.25,16,False,,
Runde27,113.75,4,False,,
Runde28,119.5,13,False,Meris: positive,Meris: 10.0
Runde29,128.25,7,False,Meris: positive,Meris: 10.0
Runde30,137.0,10,False,,
Runde31,138.5,3,False,Meris: positive,Meris: 10.0
Runde32,145.25,9,False,,
Runde33,146.0,0,False,Meris: positive,Meris: 10.0
Runde34,146.5,10,False,,
Runde35,147.25,0,False,,
Runde36,147.25,0,False,,
Runde37,148.5,19,False,,
Runde38,147.75,9,False,,
Runde39,149.75,19,False,,
Runde40,157.5,11,False,Meris: positive,Meris: 10.0
Runde41,163.5,9,False,,
Runde42,165.5,1,False,,
Runde43,174.5,15,False,,
Runde44,179.25,20,False,,
Runde45,184.25,1,False,Meris: positive,Meris: 10.0
Runde46,196.5,5,False,,
Runde47,205.5,6,False,,
Runde48,217.0,11,False,Meris: positive,Meris: 10.0
Runde49,222.75,19,False,,
Runde50,,,False,,
