Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,7.0,1,False,,
Runde2,7.0,3,False,,
Runde3,10.75,0,False,,
Runde4,9.5,8,False,Jackqueline: positive,Jackqueline: 10
Runde5,17.0,0,False,,
Runde6,13.0,16,False,,
Runde7,20.25,1,False,,
Runde8,17.25,12,False,,
Runde9,21.25,5,False,,
Runde10,22.75,3,False,Jackqueline: positive,Jackqueline: 10.0
Runde11,30.25,0,False,,
Runde12,39.25,0,False,Jackqueline: positive,Jackqueline: 10.0
Runde13,45.25,6,False,,
Runde14,53.5,15,False,Jackqueline: positive,Jackqueline: 10.0
Runde15,54.25,6,False,Jackqueline: positive,Jackqueline: 10.0
Runde16,58.75,9,False,,
Runde17,57.75,4,False,,
Runde18,59.25,12,False,,
Runde19,67.0,2,False,Jackqueline: positive,Jackqueline: 10.0
Runde20,62.25,19,False,Jackqueline: positive,Jackqueline: 10.0
Runde21,60.5,10,False,,
Runde22,66.5,0,False,,
Runde23,65.5,16,False,Jackqueline: positive,Jackqueline: 10.0
Runde24,76.25,2,False,,
Runde25,75.5,3,False,Jackqueline: positive,Jackqueline: 10.0
Runde26,75.75,17,False,,
Runde27,79.5,15,False,,
Runde28,84.25,11,False,,
Runde29,80.25,19,False,Jackqueline: positive,Jackqueline: 10.0
Runde30,87.75,12,False,,
Runde31,86.0,7,False,Jackqueline: positive,Jackqueline: 10.0
Runde32,89.25,11,False,,
Runde33,,,False,,
