Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,11.0,3,False,,
Runde2,20.0,6,False,Marilee: positive,Marilee: 10
Runde3,44.25,17,False,Maggee: positive,Maggee: 10
Runde4,65.5,8,False,Silva: positive | Maggee: positive | Marilee: positive | Nerty: positive,Silva: 10 | Maggee: 10.0 | Marilee: 10.0 | Nerty: 10
Runde5,92.25,7,False,Maggee: positive | Nerty: positive,Maggee: 10.0 | Nerty: 10.0
Runde6,107.5,2,False,Marilee: positive,Marilee: 10.0
Runde7,125.5,12,False,Maggee: positive | Marilee: positive,Maggee: 10.0 | Marilee: 10.0
Runde8,164.0,8,False,Silva: positive | Nerty: positive,Silva: 10.0 | Nerty: 10.0
Runde9,170.25,5,False,Silva: positive | Marilee: positive,Silva: 10.0 | Marilee: 10.0
Runde10,197.25,0,False,,
Runde11,226.25,7,False,Silva: positive | Nerty: positive,Silva: 10.0 | Nerty: 10.0
Runde12,247.5,2,False,,
Runde13,262.75,17,False,,
Runde14,280.25,8,False,Nerty: positive,Nerty: 10.0
Runde15,297.5,18,False,Maggee: positive | Marilee: positive | Nerty: positive,Maggee: 10.0 | Marilee: 10.0 | Nerty: 10.0
Runde16,319.5,2,False,Maggee: positive | Marilee: positive,Maggee: 10.0 | Marilee: 10.0
Runde17,327.25,14,False,Silva: positive,Silva: 10.0
Runde18,344.25,16,False,Silva: positive,Silva: 10.0
Runde19,376.75,17,False,Silva: positive | Marilee: positive,Silva: 10.0 | Marilee: 10.0
Runde20,416.5,6,False,Silva: positive | Marilee: positive | Nerty: positive,Silva: 10.0 | Marilee: 10.0 | Nerty: 10.0
Runde21,441.0,19,False,Maggee: positive,Maggee: 10.0
Runde22,463.75,5,False,Silva: positive | Nerty: positive,Silva: 10.0 | Nerty: 10.0
Runde23,480.0,16,False,Silva: positive | Maggee: positive,Silva: 10.0 | Maggee: 10.0
Runde24,484.75,20,False,Maggee: positive | Marilee: positive,Maggee: 10.0 | Marilee: 10.0
Runde25,,,False,,
