Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,14.0,0,False,,
Runde2,21.0,8,False,,
Runde3,45.25,17,False,,
Runde4,66.5,8,False,Nerty: positive | Jennilee: positive,Nerty: 10 | Jennilee: 10
Runde5,96.25,4,False,Jennilee: positive,Jennilee: 10.0
Runde6,107.5,6,False,Silva: positive | Nerty: positive | Jennilee: positive,Silva: 10 | Nerty: 10.0 | Jennilee: 10.0
Runde7,137.5,0,False,Marilee: positive,Marilee: 10
Runde8,164.0,20,False,Nerty: positive,Nerty: 10.0
Runde9,173.25,2,False,Marilee: positive,Marilee: 10.0
Runde10,200.25,0,False,,
Runde11,216.25,20,False,Nerty: positive,Nerty: 10.0
Runde12,232.5,7,False,,
Runde13,262.75,2,False,,
Runde14,283.25,5,False,Nerty: positive | Jennilee: positive,Nerty: 10.0 | Jennilee: 10.0
Runde15,308.5,10,False,Silva: positive | Nerty: positive,Silva: 10.0 | Nerty: 10.0
Runde16,325.5,7,False,Marilee: positive,Marilee: 10.0
Runde17,343.25,4,False,,
Runde18,375.25,1,False,Silva: positive | Jennilee: positive,Silva: 10.0 | Jennilee: 10.0
Runde19,424.75,0,False,Jennilee: positive,Jennilee: 10.0
Runde20,462.5,8,False,Silva: positive,Silva: 10.0
Runde21,491.0,15,False,Nerty: positive,Nerty: 10.0
Runde22,501.75,17,False,Marilee: negative | Defector: negative,Marilee: 8.2 | Defector: 1
Runde23,529.0,5,False,,
Runde24,552.75,1,False,Silva: positive | Marilee: positive | Jennilee: positive,Silva: 10.0 | Marilee: 8.615384615384615 | Jennilee: 10.0
Runde25,,,False,,
