Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,7.75,1,False,,
Runde2,14.75,3,False,,
Runde3,39.0,2,False,Katerina: positive | Corrine: positive | Mariele: positive | Sheelah: positive,Katerina: 10 | Corrine: 10 | Mariele: 10 | Sheelah: 10
Runde4,63.5,9,False,Madelena: positive | Alejandrina: positive | Zora: positive | Aubrette: positive | Mirella: positive | Dorthy: positive,Madelena: 10 | Alejandrina: 10 | Zora: 10 | Aubrette: 10 | Mirella: 10 | Dorthy: 10
Runde5,93.0,13,False,Mirella: positive | Mariele: positive | Jaclyn: positive | Defector: negative | Defector: negative,Mirella: 10.0 | Mariele: 10.0 | Jaclyn: 10 | Defector: 1 | Defector: 1
Runde6,122.75,11,False,Shanta: positive | Jaclyn: positive | Defector: negative | Defector: negative | Defector: negative,Shanta: 10 | Jaclyn: 10.0 | Defector: 1.0 | Defector: 1 | Defector: 1
Runde7,144.75,6,False,Alejandrina: positive | Zora: positive | Mariele: positive,Alejandrina: 10.0 | Zora: 10.0 | Mariele: 10.0
Runde8,187.0,4,True,Katerina: positive | Shanta: positive | Corrine: negative | Mariele: positive | Defector: negative | Defector: negative | Defector: negative | Defector: negative,Katerina: 10.0 | Shanta: 10.0 | Corrine: 5.5 | Mariele: 10.0 | Defector: 1 | Defector: 1.0 | Defector: 1 | Defector: 1.0
Runde9,201.25,1,True,Katerina: positive | Shanta: positive | Corrine: positive | Sheelah: positive,Katerina: 10.0 | Shanta: 10.0 | Corrine: 7.428571428571429 | Sheelah: 10.0
Runde10,246.5,6,True,Bernie: negative | Shanta: negative | Corrine: negative | Aubrette: negative | Mirella: negative | Jaclyn: negative | Sheelah: negative | Defector: negative | Defector: negative | Defector: negative | Defector: negative,Bernie: 1 | Shanta: 8.2 | Corrine: 6.4 | Aubrette: 5.5 | Mirella: 7.428571428571429 | Jaclyn: 7.428571428571429 | Sheelah: 7.428571428571429 | Defector: 1.0 | Defector: 1.0 | Defector: 1.0 | Defector: 1.0
Runde11,282.75,17,True,Bernie: negative | Katerina: negative | Shanta: negative | Alejandrina: negative | Zora: negative | Aubrette: negative | Mariele: negative | Sheelah: negative | Defector: negative | Defector: negative | Defector: negative | Defector: negative,Bernie: 1.0 | Katerina: 8.2 | Shanta: 7.230769230769231 | Alejandrina: 7.428571428571429 | Zora: 7.428571428571429 | Aubrette: 4.857142857142857 | Mariele: 8.615384615384615 | Sheelah: 6.4 | Defector: 1 | Defector: 1.0 | Defector: 1.0 | Defector: 1.0
Runde12,326.75,7,True,Bernie: negative | Zora: negative | Mirella: negative | Mariele: negative | Dorthy: negative | Defector: negative | Defector: negative | Defector: negative | Defector: negative | Defector: negative,Bernie: 1.0 | Zora: 6.4 | Mirella: 6.4 | Mariele: 7.75 | Dorthy: 5.5 | Defector: 1.0 | Defector: 1.0 | Defector: 1.0 | Defector: 1.0 | Defector: 1.0
Runde13,371.25,14,True,Bernie: negative | Katerina: negative | Madelena: negative | Alejandrina: negative | Aubrette: negative | Jaclyn: negative | Sheelah: negative | Defector: negative | Defector: negative | Defector: negative | Defector: negative,Bernie: 1.0 | Katerina: 7.230769230769231 | Madelena: 5.5 | Alejandrina: 6.4 | Aubrette: 4.6 | Jaclyn: 6.4 | Sheelah: 5.846153846153846 | Defector: 1.0 | Defector: 1.0 | Defector: 1.0 | Defector: 1.0
Runde14,413.25,14,True,Katerina: negative | Mariele: negative | Defector: negative,Katerina: 6.625 | Mariele: 7.157894736842105 | Defector: 1.0
Runde15,459.5,5,True,Katerina: negative | Zora: negative | Aubrette: negative | Jaclyn: negative | Dorthy: negative | Defector: negative | Defector: negative | Defector: negative | Defector: negative | Defector: negative,Katerina: 6.2105263157894735 | Zora: 5.846153846153846 | Aubrette: 4.461538461538462 | Jaclyn: 5.846153846153846 | Dorthy: 4.857142857142857 | Defector: 1.0 | Defector: 1.0 | Defector: 1.0 | Defector: 1.0 | Defector: 1.0
Runde16,499.5,13,True,Katerina: negative | Shanta: negative | Corrine: negative | Aubrette: negative | Mirella: negative | Jaclyn: negative | Sheelah: negative | Defector: negative | Defector: negative | Defector: negative | Defector: negative,Katerina: 5.909090909090909 | Shanta: 6.625 | Corrine: 5.846153846153846 | Aubrette: 4.375 | Mirella: 5.846153846153846 | Jaclyn: 5.5 | Sheelah: 5.5 | Defector: 1.0 | Defector: 1.0 | Defector: 1.0 | Defector: 1.0
