Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,6.75,2,False,,
Runde2,14.75,2,False,Dorthy: positive,Dorthy: 10
Runde3,33.0,8,False,Mariele: positive,Mariele: 10
Runde4,55.5,11,False,Madelena: positive | Alejandrina: positive | Aubrette: positive,Madelena: 10 | Alejandrina: 10 | Aubrette: 10
Runde5,81.0,11,False,Bernie: positive | Shanta: positive | Alejandrina: positive | Hollyanne: positive,Bernie: 10 | Shanta: 10 | Alejandrina: 10.0 | Hollyanne: 10
Runde6,102.75,7,False,Alejandrina: positive | Zora: positive | Mirella: positive | Sheelah: positive | Dorthy: positive,Alejandrina: 10.0 | Zora: 10 | Mirella: 10 | Sheelah: 10 | Dorthy: 10.0
Runde7,127.75,3,False,Madelena: positive | Zora: positive,Madelena: 10.0 | Zora: 10.0
Runde8,149.0,7,False,Bernie: positive | Shanta: positive | Hollyanne: positive | Mariele: positive | Sheelah: positive | Dorthy: positive,Bernie: 10.0 | Shanta: 10.0 | Hollyanne: 10.0 | Mariele: 10.0 | Sheelah: 10.0 | Dorthy: 10.0
Runde9,163.25,1,False,Katerina: positive | Corrine: positive,Katerina: 10 | Corrine: 10
Runde10,179.5,14,False,Shanta: positive | Zora: positive,Shanta: 10.0 | Zora: 10.0
Runde11,193.75,15,False,Madelena: positive | Shanta: positive | Hollyanne: positive | Corrine: positive | Zora: positive | Aubrette: positive | Mirella: positive | Mariele: positive,Madelena: 10.0 | Shanta: 10.0 | Hollyanne: 10.0 | Corrine: 10.0 | Zora: 10.0 | Aubrette: 10.0 | Mirella: 10.0 | Mariele: 10.0
Runde12,215.75,5,False,Bernie: positive | Katerina: positive | Hollyanne: positive,Bernie: 10.0 | Katerina: 10.0 | Hollyanne: 10.0
Runde13,241.25,9,False,Bernie: positive | Madelena: positive | Alejandrina: positive | Hollyanne: positive | Mariele: positive | Dorthy: positive,Bernie: 10.0 | Madelena: 10.0 | Alejandrina: 10.0 | Hollyanne: 10.0 | Mariele: 10.0 | Dorthy: 10.0
Runde14,273.25,0,False,Madelena: positive | Shanta: positive | Alejandrina: positive | Corrine: positive | Zora: positive | Dorthy: positive,Madelena: 10.0 | Shanta: 10.0 | Alejandrina: 10.0 | Corrine: 10.0 | Zora: 10.0 | Dorthy: 10.0
Runde15,296.5,4,False,Alejandrina: positive | Corrine: positive | Zora: positive | Aubrette: positive | Mariele: positive | Dorthy: positive,Alejandrina: 10.0 | Corrine: 10.0 | Zora: 10.0 | Aubrette: 10.0 | Mariele: 10.0 | Dorthy: 10.0
Runde16,310.5,15,False,Corrine: positive | Mariele: positive | Sheelah: positive,Corrine: 10.0 | Mariele: 10.0 | Sheelah: 10.0
Runde17,333.25,12,False,Bernie: positive | Hollyanne: positive | Zora: positive | Aubrette: positive,Bernie: 10.0 | Hollyanne: 10.0 | Zora: 10.0 | Aubrette: 10.0
Runde18,335.25,20,False,Madelena: positive | Hollyanne: positive | Mirella: positive | Dorthy: positive,Madelena: 10.0 | Hollyanne: 10.0 | Mirella: 10.0 | Dorthy: 10.0
Runde19,351.0,15,False,Bernie: positive | Katerina: positive | Mirella: positive,Bernie: 10.0 | Katerina: 10.0 | Mirella: 10.0
Runde20,360.5,0,False,Shanta: positive | Mirella: positive | Dorthy: positive,Shanta: 10.0 | Mirella: 10.0 | Dorthy: 10.0
Runde21,378.0,3,False,Katerina: positive,Katerina: 10.0
Runde22,404.25,4,False,Bernie: positive | Shanta: positive | Hollyanne: positive | Mirella: positive,Bernie: 10.0 | Shanta: 10.0 | Hollyanne: 10.0 | Mirella: 10.0
Runde23,417.5,19,False,Bernie: positive | Hollyanne: positive | Aubrette: positive | Mirella: positive | Mariele: positive | Sheelah: positive,Bernie: 10.0 | Hollyanne: 10.0 | Aubrette: 10.0 | Mirella: 10.0 | Mariele: 10.0 | Sheelah: 10.0
Runde24,439.0,2,False,Bernie: positive | Shanta: positive | Hollyanne: positive | Sheelah: positive,Bernie: 10.0 | Shanta: 10.0 | Hollyanne: 10.0 | Sheelah: 10.0
Runde25,,,False,,
