Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,4.75,4,False,,
Runde2,13.75,1,False,Dorthy: positive,Dorthy: 10
Runde3,29.0,11,False,Corrine: positive | Aubrette: positive | Sheelah: positive | Dorthy: positive,Corrine: 10 | Aubrette: 10 | Sheelah: 10 | Dorthy: 10.0
Runde4,47.5,15,False,Alejandrina: positive | Mariele: positive | Dorthy: positive,Alejandrina: 10 | Mariele: 10 | Dorthy: 10.0
Runde5,79.0,5,False,Bernie: positive | Alejandrina: positive | Corrine: positive | Aubrette: positive | Mariele: positive | Jaclyn: positive,Bernie: 10 | Alejandrina: 10.0 | Corrine: 10.0 | Aubrette: 10.0 | Mariele: 10.0 | Jaclyn: 10
Runde6,104.75,3,False,Bernie: positive | Alejandrina: positive | Corrine: positive | Aubrette: positive | Sheelah: positive | Dorthy: positive,Bernie: 10.0 | Alejandrina: 10.0 | Corrine: 10.0 | Aubrette: 10.0 | Sheelah: 10.0 | Dorthy: 10.0
Runde7,128.75,4,False,Hollyanne: positive | Aubrette: positive | Mariele: positive | Jaclyn: positive | Sheelah: positive,Hollyanne: 10 | Aubrette: 10.0 | Mariele: 10.0 | Jaclyn: 10.0 | Sheelah: 10.0
Runde8,155.0,2,False,Katerina: positive | Madelena: positive | Shanta: positive | Dorthy: positive,Katerina: 10 | Madelena: 10 | Shanta: 10 | Dorthy: 10.0
Runde9,161.25,9,False,Bernie: positive | Katerina: positive | Corrine: positive | Jaclyn: positive | Sheelah: positive | Dorthy: positive,Bernie: 10.0 | Katerina: 10.0 | Corrine: 10.0 | Jaclyn: 10.0 | Sheelah: 10.0 | Dorthy: 10.0
Runde10,177.5,14,False,Madelena: positive,Madelena: 10.0
Runde11,203.75,3,False,Bernie: positive | Zora: positive | Aubrette: positive | Jaclyn: positive,Bernie: 10.0 | Zora: 10 | Aubrette: 10.0 | Jaclyn: 10.0
Runde12,226.75,4,False,Bernie: positive | Madelena: positive | Alejandrina: positive | Hollyanne: positive | Jaclyn: positive,Bernie: 10.0 | Madelena: 10.0 | Alejandrina: 10.0 | Hollyanne: 10.0 | Jaclyn: 10.0
Runde13,257.25,4,False,Madelena: positive | Hollyanne: positive | Mariele: positive | Sheelah: positive | Dorthy: positive,Madelena: 10.0 | Hollyanne: 10.0 | Mariele: 10.0 | Sheelah: 10.0 | Dorthy: 10.0
Runde14,286.25,3,False,Madelena: positive | Alejandrina: positive | Hollyanne: positive | Dorthy: positive,Madelena: 10.0 | Alejandrina: 10.0 | Hollyanne: 10.0 | Dorthy: 10.0
Runde15,310.5,3,False,Zora: positive | Aubrette: positive,Zora: 10.0 | Aubrette: 10.0
Runde16,327.5,12,False,Hollyanne: positive | Corrine: positive | Aubrette: positive | Sheelah: positive,Hollyanne: 10.0 | Corrine: 10.0 | Aubrette: 10.0 | Sheelah: 10.0
Runde17,351.25,11,False,Bernie: positive | Madelena: positive | Hollyanne: positive | Corrine: positive | Zora: positive | Sheelah: positive,Bernie: 10.0 | Madelena: 10.0 | Hollyanne: 10.0 | Corrine: 10.0 | Zora: 10.0 | Sheelah: 10.0
Runde18,368.25,5,False,Bernie: positive | Hollyanne: positive | Corrine: positive | Mariele: positive | Jaclyn: positive,Bernie: 10.0 | Hollyanne: 10.0 | Corrine: 10.0 | Mariele: 10.0 | Jaclyn: 10.0
Runde19,380.0,19,False,Bernie: positive | Madelena: positive | Corrine: positive | Jaclyn: positive,Bernie: 10.0 | Madelena: 10.0 | Corrine: 10.0 | Jaclyn: 10.0
Runde20,386.5,3,False,Shanta: positive | Hollyanne: positive,Shanta: 10.0 | Hollyanne: 10.0
Runde21,400.0,7,False,Sheelah: positive,Sheelah: 10.0
Runde22,417.25,13,False,Corrine: positive,Corrine: 10.0
Runde23,446.5,3,False,Bernie: positive | Corrine: positive | Aubrette: positive | Sheelah: positive,Bernie: 10.0 | Corrine: 10.0 | Aubrette: 10.0 | Sheelah: 10.0
Runde24,463.0,7,False,Bernie: positive | Katerina: positive | Shanta: positive | Alejandrina: positive | Hollyanne: positive | Aubrette: positive | Jaclyn: positive,Bernie: 10.0 | Katerina: 10.0 | Shanta: 10.0 | Alejandrina: 10.0 | Hollyanne: 10.0 | Aubrette: 10.0 | Jaclyn: 10.0
Runde25,,,False,,
