Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,8.75,0,False,,
Runde2,16.75,2,False,,
Runde3,30.0,13,False,Katerina: positive,Katerina: 10
Runde4,59.5,4,False,Corrine: positive,Corrine: 10
Runde5,89.0,7,False,Bernie: positive | Shanta: positive | Hollyanne: positive | Corrine: positive | Mariele: positive | Dorthy: positive,Bernie: 10 | Shanta: 10 | Hollyanne: 10 | Corrine: 10.0 | Mariele: 10 | Dorthy: 10
Runde6,100.75,17,False,Corrine: positive | Aubrette: positive | Sheelah: positive,Corrine: 10.0 | Aubrette: 10 | Sheelah: 10
Runde7,125.75,3,False,Bernie: positive | Madelena: positive | Alejandrina: positive | Mariele: positive | Jaclyn: positive | Sheelah: positive,Bernie: 10.0 | Madelena: 10 | Alejandrina: 10 | Mariele: 10.0 | Jaclyn: 10 | Sheelah: 10.0
Runde8,151.0,3,False,Katerina: positive | Madelena: positive | Hollyanne: positive,Katerina: 10.0 | Madelena: 10.0 | Hollyanne: 10.0
Runde9,159.25,7,False,Bernie: positive | Shanta: positive | Corrine: positive,Bernie: 10.0 | Shanta: 10.0 | Corrine: 10.0
Runde10,181.5,8,False,Bernie: positive | Madelena: positive,Bernie: 10.0 | Madelena: 10.0
Runde11,207.75,3,False,Madelena: positive | Corrine: positive | Mariele: positive,Madelena: 10.0 | Corrine: 10.0 | Mariele: 10.0
Runde12,230.75,4,False,Bernie: positive | Shanta: positive | Aubrette: positive | Jaclyn: positive,Bernie: 10.0 | Shanta: 10.0 | Aubrette: 10.0 | Jaclyn: 10.0
Runde13,260.25,5,False,Bernie: positive | Alejandrina: positive | Corrine: positive | Mariele: positive | Jaclyn: positive | Dorthy: positive,Bernie: 10.0 | Alejandrina: 10.0 | Corrine: 10.0 | Mariele: 10.0 | Jaclyn: 10.0 | Dorthy: 10.0
Runde14,280.25,12,False,Madelena: positive | Shanta: positive | Hollyanne: positive | Dorthy: positive,Madelena: 10.0 | Shanta: 10.0 | Hollyanne: 10.0 | Dorthy: 10.0
Runde15,303.5,4,False,Shanta: positive | Alejandrina: positive | Corrine: positive | Aubrette: positive | Dorthy: positive,Shanta: 10.0 | Alejandrina: 10.0 | Corrine: 10.0 | Aubrette: 10.0 | Dorthy: 10.0
Runde16,320.5,12,False,Bernie: positive | Shanta: positive | Sheelah: positive | Dorthy: positive,Bernie: 10.0 | Shanta: 10.0 | Sheelah: 10.0 | Dorthy: 10.0
Runde17,345.25,10,False,Corrine: positive | Aubrette: positive,Corrine: 10.0 | Aubrette: 10.0
Runde18,367.25,0,False,Bernie: positive | Madelena: positive | Shanta: positive | Corrine: positive | Aubrette: positive,Bernie: 10.0 | Madelena: 10.0 | Shanta: 10.0 | Corrine: 10.0 | Aubrette: 10.0
Runde19,387.0,11,False,Katerina: positive | Aubrette: positive,Katerina: 10.0 | Aubrette: 10.0
Runde20,394.5,2,False,Madelena: positive | Aubrette: positive | Mirella: positive | Jaclyn: positive | Dorthy: positive,Madelena: 10.0 | Aubrette: 10.0 | Mirella: 10 | Jaclyn: 10.0 | Dorthy: 10.0
Runde21,410.0,5,False,,
Runde22,436.25,4,False,Mirella: positive,Mirella: 10.0
Runde23,466.5,2,False,Katerina: positive | Aubrette: positive | Mirella: positive,Katerina: 10.0 | Aubrette: 10.0 | Mirella: 10.0
Runde24,489.0,1,False,Shanta: positive | Alejandrina: positive | Aubrette: positive | Sheelah: positive | Dorthy: positive,Shanta: 10.0 | Alejandrina: 10.0 | Aubrette: 10.0 | Sheelah: 10.0 | Dorthy: 10.0
Runde25,,,False,,
