Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,7.5,0,False,,
Runde2,8.75,0,False,,
Runde3,11.75,0,False,,
Runde4,13.0,0,False,,
Runde5,13.25,0,True,,
Runde6,14.5,0,True,,
Runde7,20.5,0,False,,
Runde8,23.25,0,True,,
Runde9,29.75,0,False,,
Runde10,31.5,0,False,,
Runde11,35.5,0,True,,
Runde12,39.5,0,True,,
Runde13,43.75,0,True,,
Runde14,53.5,0,True,,
Runde15,64.5,0,True,,
Runde16,71.0,0,True,,
Runde17,80.0,0,True,,
Runde18,90.0,0,True,,
Runde19,98.5,0,True,,
Runde20,105.5,0,True,,
Runde21,115.5,0,True,,
Runde22,125.0,0,True,,
Runde23,138.0,0,True,,
Runde24,140.0,0,True,,
Runde25,,,False,,
