Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,18.5,0,False,,
Runde2,67.0,0,False,,
Runde3,112.0,0,False,,
Runde4,143.0,0,True,,
Runde5,183.0,0,True,,
Runde6,211.5,0,False,,
Runde7,258.5,0,True,,
Runde8,297.5,0,False,,
Runde9,336.0,0,True,,
Runde10,381.5,0,True,,
Runde11,417.5,0,True,,
Runde12,455.5,0,True,,
Runde13,495.0,0,True,,
Runde14,533.5,0,True,,
Runde15,563.5,0,True,,
Runde16,590.5,0,True,,
Runde17,640.5,0,True,,
Runde18,676.0,0,True,,
Runde19,728.5,0,True,,
Runde20,766.5,0,True,,
Runde21,799.0,0,True,,
Runde22,838.5,0,True,,
Runde23,887.0,0,True,,
Runde24,932.0,0,True,,
Runde25,,,False,,
