Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,4.5,1,False,,
Runde2,6.5,0,False,,
Runde3,5.5,2,False,Page: positive,Page: 10
Runde4,6.5,1,False,Page: negative,Page: 6.0
Runde5,6.0,4,False,,
Runde6,5.0,2,False,Page: positive,Page: 7.2
Runde7,6.0,1,False,Page: ,Page: 7.076923076923077
Runde8,6.0,0,False,Page: positive,Page: 7.625
Runde9,5.0,3,False,Page: ,Page: 7.473684210526316
Runde10,5.5,3,False,,
Runde11,5.5,0,False,,
Runde12,7.0,1,False,Page: ,Page: 7.363636363636363
Runde13,8.5,4,False,Page: negative | Defector: negative,Page: 6.96 | Defector: 1
Runde14,7.5,4,False,,
Runde15,7.0,1,False,Page: positive,Page: 7.285714285714286
Runde16,6.0,2,False,Page: ,Page: 7.135135135135135
Runde17,6.5,0,False,,
Runde18,13.0,1,False,Page: negative | Defector: negative,Page: 6.6976744186046515 | Defector: 1.0
Runde19,19.5,2,False,,
Runde20,17.5,4,False,,
Runde21,17.0,5,False,,
Runde22,14.5,14,False,,
Runde23,14.5,3,False,Page: positive,Page: 6.913043478260869
Runde24,12.5,7,False,,
Runde25,23.0,10,False,Defector: negative | Page: negative,Defector: 1.0 | Page: 6.73469387755102
Runde26,,,False,,
