Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,5.0,0,False,,
Runde2,3.5,4,False,,
Runde3,2.5,3,False,,
Runde4,5.5,0,False,,
Runde5,7.0,3,False,,
Runde6,5.0,5,False,Margret: positive,Margret: 10
Runde7,10.5,0,False,,
Runde8,6.5,8,False,,
Runde9,4.5,6,False,,
Runde10,11.5,1,False,Defector: negative,Defector: 1
Runde11,16.0,2,False,,
Runde12,12.0,9,False,Margret: positive,Margret: 10.0
Runde13,10.0,12,False,,
Runde14,9.5,2,False,Margret: positive,Margret: 10.0
Runde15,14.5,1,False,,
Runde16,17.5,4,False,Defector: negative,Defector: 1.0
Runde17,19.0,5,False,Defector: negative,Defector: 1.0
Runde18,25.0,2,False,,
Runde19,21.0,14,False,Margret: negative | Defector: negative,Margret: 8.2 | Defector: 1.0
Runde20,21.0,2,False,,
Runde21,18.0,6,False,,
Runde22,17.5,8,False,,
Runde23,9.5,16,False,,
Runde24,9.0,7,False,Margret: negative,Margret: 7.230769230769231
Runde25,51.0,0,False,Defector: negative | Margret: negative,Defector: 1.0 | Margret: 5.354838709677419
Runde26,55.0,2,False,,
Runde27,56.5,16,False,,
Runde28,61.0,5,False,,
Runde29,54.0,19,False,,
Runde30,54.0,11,False,Margret: positive,Margret: 5.764705882352941
Runde31,52.5,13,False,Margret: positive,Margret: 6.108108108108108
Runde32,52.5,9,False,Margret: positive,Margret: 6.4
Runde33,56.5,12,False,Margret: positive,Margret: 6.651162790697675
Runde34,56.5,0,False,,
Runde35,53.0,9,False,,
Runde36,52.5,4,False,,
Runde37,55.0,0,False,,
Runde38,50.0,13,False,Margret: positive,Margret: 6.869565217391305
Runde39,48.0,11,False,,
Runde40,43.0,18,False,Margret: positive,Margret: 7.061224489795919
Runde41,43.0,0,False,,
Runde42,46.0,2,False,,
Runde43,,,False,,
