Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,9.5,0,False,,
Runde2,11.5,2,False,,
Runde3,26.0,2,False,Esta: negative | Defector: negative | Defector: negative,Esta: 1 | Defector: 1 | Defector: 1
Runde4,25.5,14,False,Esta: positive,Esta: 5.5
Runde5,44.5,11,False,Billi: negative | Defector: negative,Billi: 1 | Defector: 1.0
Runde6,49.5,1,False,Billi: positive | Esta: positive | Wilma: positive,Billi: 5.5 | Esta: 6.142857142857143 | Wilma: 10
Runde7,64.0,0,False,Billi: negative | Wilma: negative | Defector: negative | Defector: negative,Billi: 3.5714285714285716 | Wilma: 5.5 | Defector: 1.0 | Defector: 1.0
Runde8,86.0,6,False,,
Runde9,95.0,7,False,Billi: negative | Wilma: negative,Billi: 2.8 | Wilma: 4.857142857142857
Runde10,107.0,20,False,,
Runde11,111.0,20,False,Esta: negative | Wilma: negative | Defector: negative,Esta: 4.6 | Wilma: 4.6 | Defector: 1.0
Runde12,134.5,4,False,Billi: negative | Esta: negative,Billi: 2.3846153846153846 | Esta: 3.769230769230769
Runde13,155.5,20,False,Esta: negative | Defector: negative,Esta: 3.25 | Defector: 1.0
Runde14,179.0,15,False,,
Runde15,197.0,2,False,Billi: negative | Esta: negative,Billi: 2.125 | Esta: 2.8947368421052633
Runde16,213.5,15,False,Billi: negative | Wilma: negative,Billi: 1.9473684210526316 | Wilma: 4.461538461538462
Runde17,227.5,0,False,Defector: negative,Defector: 1.0
Runde18,246.5,6,False,Billi: negative | Wilma: negative | Defector: negative,Billi: 1.8181818181818181 | Wilma: 4.375 | Defector: 1.0
Runde19,267.0,1,False,Billi: negative | Esta: negative | Wilma: negative | Defector: negative | Defector: negative,Billi: 1.72 | Esta: 2.6363636363636362 | Wilma: 4.315789473684211 | Defector: 1.0 | Defector: 1.0
Runde20,282.0,14,False,Wilma: negative | Defector: negative,Wilma: 4.2727272727272725 | Defector: 1.0
Runde21,301.0,15,False,Billi: negative | Defector: negative | Defector: negative,Billi: 1.6428571428571428 | Defector: 1.0 | Defector: 1.0
Runde22,316.0,2,False,Billi: negative | Esta: negative | Defector: negative | Defector: negative,Billi: 1.5806451612903225 | Esta: 2.44 | Defector: 1.0 | Defector: 1.0
Runde23,330.5,19,False,Billi: negative | Wilma: negative | Defector: negative,Billi: 1.5294117647058822 | Wilma: 4.24 | Defector: 1.0
Runde24,342.5,19,False,Billi: negative | Wilma: negative | Defector: negative | Defector: negative,Billi: 1.4864864864864864 | Wilma: 4.214285714285714 | Defector: 1.0 | Defector: 1.0
Runde25,,,False,,
