Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,9.5,0,False,,
Runde2,11.5,2,False,Billi: positive | Esta: positive,Billi: 10 | Esta: 10
Runde3,18.0,4,False,Defector: negative,Defector: 1
Runde4,26.5,5,False,,
Runde5,35.5,12,False,Johnna: positive,Johnna: 10
Runde6,40.5,1,False,,
Runde7,44.0,2,False,Esta: positive,Esta: 10.0
Runde8,51.0,12,False,,
Runde9,54.0,4,False,Billi: positive,Billi: 10.0
Runde10,77.0,0,False,Johnna: positive,Johnna: 10.0
Runde11,92.0,0,False,Esta: positive,Esta: 10.0
Runde12,102.5,5,False,Billi: positive,Billi: 10.0
Runde13,121.5,10,False,Billi: positive,Billi: 10.0
Runde14,133.0,15,False,Johnna: positive,Johnna: 10.0
Runde15,135.0,6,False,Billi: positive | Esta: positive,Billi: 10.0 | Esta: 10.0
Runde16,152.5,2,False,,
Runde17,153.5,1,False,Billi: positive | Esta: positive,Billi: 10.0 | Esta: 10.0
Runde18,153.5,13,False,,
Runde19,161.0,2,False,,
Runde20,163.0,15,False,Esta: positive,Esta: 10.0
Runde21,175.0,10,False,,
Runde22,180.0,0,False,Billi: positive | Johnna: positive,Billi: 10.0 | Johnna: 10.0
Runde23,192.5,9,False,Esta: positive,Esta: 10.0
Runde24,205.5,6,False,Billi: positive,Billi: 10.0
Runde25,,,False,,
