Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,24.75,2,False,,
Runde2,117.5,1,False,,
Runde3,197.5,19,False,Carolynn: positive | Josselyn: positive | Sara-Ann: positive | Zaria: positive,Carolynn: 10 | Josselyn: 10 | Sara-Ann: 10 | Zaria: 10
Runde4,297.25,15,False,Min: positive | Defector: negative | Defector: negative | Defector: negative | Defector: negative | Defector: negative,Min: 10 | Defector: 1 | Defector: 1 | Defector: 1 | Defector: 1 | Defector: 1
Runde5,360.5,8,False,Min: positive | Josselyn: positive | Quinta: positive | Ernaline: positive | Sara-Ann: positive,Min: 10.0 | Josselyn: 10.0 | Quinta: 10 | Ernaline: 10 | Sara-Ann: 10.0
Runde6,440.5,4,False,Halie: positive | Min: positive | Josselyn: positive | Clemmie: positive | Katrinka: positive | Sara-Ann: positive,Halie: 10 | Min: 10.0 | Josselyn: 10.0 | Clemmie: 10 | Katrinka: 10 | Sara-Ann: 10.0
Runde7,489.25,0,False,Carolynn: positive | Josselyn: positive | Halley: positive | Clemmie: positive,Carolynn: 10.0 | Josselyn: 10.0 | Halley: 10 | Clemmie: 10.0
Runde8,584.25,13,False,Carolynn: positive,Carolynn: 10.0
Runde9,668.0,10,False,Halley: positive | Ernaline: positive | Katrinka: positive | Zaria: positive,Halley: 10.0 | Ernaline: 10.0 | Katrinka: 10.0 | Zaria: 10.0
Runde10,788.0,0,False,Halie: positive | Min: positive | Halley: positive | Clemmie: positive | Ernaline: positive | Katrinka: positive,Halie: 10.0 | Min: 10.0 | Halley: 10.0 | Clemmie: 10.0 | Ernaline: 10.0 | Katrinka: 10.0
Runde11,911.75,3,False,Halley: positive | Nomi: positive,Halley: 10.0 | Nomi: 10
Runde12,977.5,1,False,Carolynn: positive | Halley: positive | Katrinka: positive | Sara-Ann: positive,Carolynn: 10.0 | Halley: 10.0 | Katrinka: 10.0 | Sara-Ann: 10.0
Runde13,1055.0,2,False,Halie: positive | Halley: positive | Elisabet: positive | Ernaline: positive | Nomi: positive,Halie: 10.0 | Halley: 10.0 | Elisabet: 10 | Ernaline: 10.0 | Nomi: 10.0
Runde14,1165.75,4,False,Carolynn: positive | Ernaline: positive | Nomi: positive,Carolynn: 10.0 | Ernaline: 10.0 | Nomi: 10.0
Runde15,1267.75,3,False,Halie: positive | Quinta: positive | Halley: positive | Ernaline: positive | Katrinka: positive | Zaria: positive,Halie: 10.0 | Quinta: 10.0 | Halley: 10.0 | Ernaline: 10.0 | Katrinka: 10.0 | Zaria: 10.0
Runde16,1344.0,7,False,Carolynn: positive | Quinta: positive | Nomi: positive | Zaria: positive,Carolynn: 10.0 | Quinta: 10.0 | Nomi: 10.0 | Zaria: 10.0
Runde17,1410.5,13,False,Min: positive | Quinta: positive | Sara-Ann: positive,Min: 10.0 | Quinta: 10.0 | Sara-Ann: 10.0
Runde18,1491.25,4,False,Quinta: positive | Halley: positive | Ernaline: positive,Quinta: 10.0 | Halley: 10.0 | Ernaline: 10.0
Runde19,1577.25,4,False,Min: positive | Carolynn: positive | Quinta: positive | Elisabet: positive | Ernaline: positive,Min: 10.0 | Carolynn: 10.0 | Quinta: 10.0 | Elisabet: 10.0 | Ernaline: 10.0
Runde20,1664.75,10,False,Min: positive | Carolynn: positive | Ernaline: positive | Sara-Ann: positive | Zaria: positive,Min: 10.0 | Carolynn: 10.0 | Ernaline: 10.0 | Sara-Ann: 10.0 | Zaria: 10.0
Runde21,1732.75,7,False,Carolynn: positive | Elisabet: positive | Ernaline: positive,Carolynn: 10.0 | Elisabet: 10.0 | Ernaline: 10.0
Runde22,1799.25,1,False,Halley: positive | Elisabet: positive | Ernaline: positive | Zaria: positive,Halley: 10.0 | Elisabet: 10.0 | Ernaline: 10.0 | Zaria: 10.0
Runde23,1899.75,6,False,Halie: positive | Quinta: positive | Elisabet: positive | Katrinka: positive,Halie: 10.0 | Quinta: 10.0 | Elisabet: 10.0 | Katrinka: 10.0
Runde24,1985.0,1,False,Carolynn: positive | Quinta: positive | Halley: positive | Elisabet: positive | Sara-Ann: positive,Carolynn: 10.0 | Quinta: 10.0 | Halley: 10.0 | Elisabet: 10.0 | Sara-Ann: 10.0
Runde25,,,False,,
