Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,6.75,2,False,,
Runde2,5.25,6,False,,
Runde3,7.25,1,False,,
Runde4,13.25,3,False,Glynnis: positive,Glynnis: 10
Runde5,12.5,12,False,Glynnis: positive,Glynnis: 10.0
Runde6,12.5,6,False,Glynnis: positive,Glynnis: 10.0
Runde7,11.0,6,False,,
Runde8,30.5,3,False,Defector: negative | Glynnis: negative,Defector: 1.0 | Glynnis: 8.2
Runde9,35.25,2,False,,
Runde10,42.75,3,False,,
Runde11,48.0,3,False,Glynnis: positive,Glynnis: 8.615384615384615
Runde12,48.75,3,False,,
Runde13,48.75,3,False,,
Runde14,55.75,2,False,,
Runde15,55.5,7,False,Glynnis: positive,Glynnis: 8.875
Runde16,52.25,16,False,,
Runde17,59.0,0,False,,
Runde18,72.0,5,False,,
Runde19,73.5,18,False,,
Runde20,75.25,8,False,Glynnis: positive,Glynnis: 9.052631578947368
Runde21,74.5,6,False,,
Runde22,83.5,0,False,,
Runde23,90.75,4,False,Glynnis: positive,Glynnis: 9.181818181818182
Runde24,90.25,2,False,,
Runde25,92.0,5,False,,
Runde26,93.75,2,False,,
Runde27,103.75,2,False,,
Runde28,111.5,5,False,,
Runde29,120.75,11,False,,
Runde30,120.75,0,False,,
Runde31,121.5,3,False,,
Runde32,122.75,4,False,,
Runde33,134.5,1,False,,
Runde34,140.0,2,False,,
Runde35,140.0,18,False,Glynnis: positive,Glynnis: 9.28
Runde36,141.0,14,False,Glynnis: positive,Glynnis: 9.357142857142858
Runde37,153.0,0,False,,
Runde38,166.0,2,False,Glynnis: positive,Glynnis: 9.419354838709678
Runde39,169.5,7,False,Glynnis: positive,Glynnis: 9.470588235294118
Runde40,171.0,0,False,Glynnis: positive,Glynnis: 9.513513513513514
Runde41,176.0,10,False,,
Runde42,179.25,17,False,Glynnis: positive,Glynnis: 9.55
Runde43,182.5,2,False,,
Runde44,,,False,,
