Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,5.0,0,False,,
Runde2,4.75,1,False,,
Runde3,7.75,0,False,Mirabelle:  | Defector: ,Mirabelle: 5 | Defector: 5
Runde4,8.25,1,False,Mirabelle: positive,Mirabelle: 7.5
Runde5,10.75,5,False,,
Runde6,12.25,0,False,,
Runde7,12.5,2,False,,
Runde8,14.5,4,False,,
Runde9,13.75,3,False,Mirabelle: positive,Mirabelle: 7.857142857142857
Runde10,19.75,3,False,,
Runde11,21.25,0,False,,
Runde12,23.75,2,False,,
Runde13,32.25,2,False,,
Runde14,30.75,6,False,,
Runde15,35.0,16,False,,
Runde16,41.25,11,False,Mirabelle: positive,Mirabelle: 8.0
Runde17,55.5,0,False,Mirabelle: positive,Mirabelle: 8.076923076923077
Runde18,62.5,20,False,Mirabelle: positive,Mirabelle: 8.125
Runde19,61.75,18,False,Mirabelle: positive,Mirabelle: 8.157894736842104
Runde20,66.75,10,False,Mirabelle: positive,Mirabelle: 8.181818181818182
Runde21,68.5,2,False,,
Runde22,69.75,16,False,,
Runde23,74.0,4,False,Mirabelle: positive,Mirabelle: 8.2
Runde24,84.0,5,False,Mirabelle: positive,Mirabelle: 8.214285714285714
Runde25,81.75,9,False,,
Runde26,87.25,11,False,,
Runde27,87.75,16,False,Mirabelle: positive,Mirabelle: 8.225806451612904
Runde28,95.0,13,False,,
Runde29,104.75,6,False,Mirabelle: positive,Mirabelle: 8.235294117647058
Runde30,105.0,8,False,,
Runde31,111.0,9,False,,
Runde32,109.75,11,False,Mirabelle: positive,Mirabelle: 8.243243243243244
Runde33,110.25,4,False,,
Runde34,108.0,18,False,,
Runde35,112.0,17,False,,
Runde36,117.75,4,False,Mirabelle: positive,Mirabelle: 8.25
Runde37,124.75,11,False,,
Runde38,122.75,20,False,,
Runde39,132.25,10,False,,
Runde40,130.25,14,False,Mirabelle: positive,Mirabelle: 8.255813953488373
Runde41,134.0,15,False,,
Runde42,134.75,0,False,Mirabelle: positive,Mirabelle: 8.26086956521739
Runde43,142.25,3,False,,
Runde44,147.5,6,False,Mirabelle: positive,Mirabelle: 8.26530612244898
Runde45,,,False,,
