Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,8.75,0,False,,
Runde2,14.75,0,False,,
Runde3,33.5,0,False,,
Runde4,50.75,0,False,,
Runde5,68.75,0,True,,
Runde6,98.75,0,False,,
Runde7,136.25,0,True,,
Runde8,153.5,0,True,,
Runde9,179.75,0,True,,
Runde10,209.75,0,True,,
Runde11,222.5,0,True,,
Runde12,239.0,0,True,,
Runde13,266.75,0,True,,
Runde14,276.5,0,True,,
Runde15,299.0,0,True,,
Runde16,319.25,0,True,,
Runde17,343.25,0,True,,
Runde18,386.0,0,True,,
Runde19,415.25,0,True,,
Runde20,435.5,0,True,,
Runde21,478.25,0,True,,
Runde22,499.25,0,True,,
Runde23,534.5,0,True,,
Runde24,540.5,0,True,,
Runde25,,,False,,
