Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,8.25,0,False,,
Runde2,13.0,0,False,,
Runde3,22.25,0,False,,
Runde4,35.75,0,False,,
Runde5,50.25,0,False,,
Runde6,65.5,0,False,,
Runde7,82.75,0,False,,
Runde8,98.0,0,False,,
Runde9,116.0,0,False,,
Runde10,133.5,0,False,,
Runde11,152.75,0,False,,
Runde12,165.25,0,False,,
Runde13,186.25,0,False,,
Runde14,204.5,0,False,,
Runde15,222.25,0,False,,
Runde16,242.75,0,False,,
Runde17,268.0,0,False,,
Runde18,291.0,0,False,,
Runde19,311.0,0,False,,
Runde20,331.75,0,False,,
Runde21,343.75,0,False,,
Runde22,358.75,0,False,,
Runde23,376.25,0,False,,
Runde24,393.0,0,False,,
Runde25,,,False,,
