Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,7.25,1,False,,
Runde2,6.0,6,False,Loretta: positive,Loretta: 10
Runde3,11.25,4,False,Sib: positive | Ariel: positive | Margery: positive,Sib: 10 | Ariel: 10 | Margery: 10
Runde4,24.75,0,False,Tessy: positive | Chelsy: positive | Etti: positive | Martica: positive,Tessy: 10 | Chelsy: 10 | Etti: 10 | Martica: 10
Runde5,37.25,2,False,Ariel: positive | Denise: positive,Ariel: 10.0 | Denise: 10
Runde6,43.5,9,False,Sib: positive,Sib: 10.0
Runde7,60.75,0,False,Sib: positive | Tessy: positive,Sib: 10.0 | Tessy: 10.0
Runde8,72.0,4,False,Martica: positive,Martica: 10.0
Runde9,79.0,11,False,Tessy: positive | Chelsy: positive,Tessy: 10.0 | Chelsy: 10.0
Runde10,87.5,9,False,Chelsy: positive | Margery: positive,Chelsy: 10.0 | Margery: 10.0
Runde11,103.75,3,False,Tessy: positive | Martica: positive,Tessy: 10.0 | Martica: 10.0
Runde12,114.25,2,False,Sib: positive | Tessy: positive | Martica: positive,Sib: 10.0 | Tessy: 10.0 | Martica: 10.0
Runde13,131.25,4,False,Tessy: positive | Loretta: positive,Tessy: 10.0 | Loretta: 10.0
Runde14,143.5,6,False,Tessy: positive | Chelsy: positive | Loretta: positive | Etti: positive | Martica: positive,Tessy: 10.0 | Chelsy: 10.0 | Loretta: 10.0 | Etti: 10.0 | Martica: 10.0
Runde15,153.25,8,False,Sib: positive,Sib: 10.0
Runde16,169.75,4,False,Loretta: positive | Margery: positive | Etti: positive,Loretta: 10.0 | Margery: 10.0 | Etti: 10.0
Runde17,176.0,19,False,Sib: positive | Chelsy: positive | Loretta: positive | Margery: positive | Martica: positive,Sib: 10.0 | Chelsy: 10.0 | Loretta: 10.0 | Margery: 10.0 | Martica: 10.0
Runde18,195.0,4,False,Margery: positive | Etti: positive,Margery: 10.0 | Etti: 10.0
Runde19,205.0,10,False,Martica: positive,Martica: 10.0
Runde20,223.75,2,False,Tessy: positive | Martica: positive,Tessy: 10.0 | Martica: 10.0
Runde21,225.75,10,False,Loretta: positive,Loretta: 10.0
Runde22,234.75,6,False,Margery: positive,Margery: 10.0
Runde23,252.25,0,False,Sib: positive | Tessy: positive | Denise: positive,Sib: 10.0 | Tessy: 10.0 | Denise: 10.0
Runde24,266.0,3,False,Sib: positive | Tessy: positive | Margery: positive | Martica: positive,Sib: 10.0 | Tessy: 10.0 | Margery: 10.0 | Martica: 10.0
Runde25,,,False,,
