Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,8.0,2,False,,
Runde2,23.5,0,False,,
Runde3,33.25,18,False,Catharine: positive | Kamila: positive | Krissy: positive | Joella: positive | Maryrose: positive,Catharine: 10 | Kamila: 10 | Krissy: 10 | Joella: 10 | Maryrose: 10
Runde4,63.5,1,False,Joella: positive | Darcey: positive | Defector: negative | Defector: negative | Defector: negative | Defector: negative,Joella: 10.0 | Darcey: 10 | Defector: 1 | Defector: 1 | Defector: 1 | Defector: 1
Runde5,84.5,4,False,Viola: positive | Raphaela: positive | Krissy: positive | Darcey: positive | Maryrose: positive,Viola: 10 | Raphaela: 10 | Krissy: 10.0 | Darcey: 10.0 | Maryrose: 10.0
Runde6,88.25,20,False,Beth: positive | Maryrose: positive,Beth: 10 | Maryrose: 10.0
Runde7,104.5,5,False,Kamila: positive | Wandie: positive | Joella: positive | Kasey: positive,Kamila: 10.0 | Wandie: 10 | Joella: 10.0 | Kasey: 10
Runde8,115.0,6,False,Kamila: positive | Raphaela: positive | Lisha: positive | Kasey: positive,Kamila: 10.0 | Raphaela: 10.0 | Lisha: 10 | Kasey: 10.0
Runde9,132.25,0,False,Catharine: positive | Maryrose: positive,Catharine: 10.0 | Maryrose: 10.0
Runde10,139.5,15,False,Joella: positive | Kasey: positive | Maryrose: positive,Joella: 10.0 | Kasey: 10.0 | Maryrose: 10.0
Runde11,150.0,20,False,Viola: positive | Arlie: positive | Raphaela: positive,Viola: 10.0 | Arlie: 10 | Raphaela: 10.0
Runde12,174.75,1,False,Catharine: positive | Beth: positive | Krissy: positive | Joella: positive,Catharine: 10.0 | Beth: 10.0 | Krissy: 10.0 | Joella: 10.0
Runde13,200.5,1,False,Catharine: positive | Beth: positive | Kamila: positive | Arlie: positive | Lisha: positive | Krissy: positive | Joella: positive | Maryrose: positive,Catharine: 10.0 | Beth: 10.0 | Kamila: 10.0 | Arlie: 10.0 | Lisha: 10.0 | Krissy: 10.0 | Joella: 10.0 | Maryrose: 10.0
Runde14,220.5,2,False,Raphaela: positive | Lisha: positive | Kasey: positive,Raphaela: 10.0 | Lisha: 10.0 | Kasey: 10.0
Runde15,233.0,13,False,Krissy: positive | Kasey: positive,Krissy: 10.0 | Kasey: 10.0
Runde16,251.5,6,False,Viola: positive | Kasey: positive,Viola: 10.0 | Kasey: 10.0
Runde17,260.5,12,False,Catharine: positive | Beth: positive | Maryrose: positive,Catharine: 10.0 | Beth: 10.0 | Maryrose: 10.0
Runde18,281.75,0,False,Catharine: positive | Wandie: positive | Maryrose: positive,Catharine: 10.0 | Wandie: 10.0 | Maryrose: 10.0
Runde19,306.25,0,False,Catharine: positive | Viola: positive | Krissy: positive | Darcey: positive,Catharine: 10.0 | Viola: 10.0 | Krissy: 10.0 | Darcey: 10.0
Runde20,331.25,2,False,Catharine: positive | Arlie: positive | Wandie: positive | Krissy: positive | Darcey: positive,Catharine: 10.0 | Arlie: 10.0 | Wandie: 10.0 | Krissy: 10.0 | Darcey: 10.0
Runde21,347.25,6,False,Beth: positive | Kamila: positive | Viola: positive | Arlie: positive | Lisha: positive | Joella: positive,Beth: 10.0 | Kamila: 10.0 | Viola: 10.0 | Arlie: 10.0 | Lisha: 10.0 | Joella: 10.0
Runde22,373.5,0,False,Catharine: positive | Arlie: positive,Catharine: 10.0 | Arlie: 10.0
Runde23,390.5,9,False,Wandie: positive | Kasey: positive | Darcey: positive | Maryrose: positive,Wandie: 10.0 | Kasey: 10.0 | Darcey: 10.0 | Maryrose: 10.0
Runde24,414.75,11,False,Kamila: positive | Viola: positive,Kamila: 10.0 | Viola: 10.0
Runde25,,,False,,
