Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,5.0,0,False,,
Runde2,3.25,4,False,,
Runde3,1.75,2,False,,
Runde4,1.75,0,False,Maxi: negative | Defector: negative,Maxi: 1.0 | Defector: 1.0
Runde5,1.5,1,False,Defector: negative,Defector: 1.0
Runde6,1.5,0,False,Defector: negative,Defector: 1.0
Runde7,1.5,0,False,Defector: negative | Maxi: negative,Defector: 1.0 | Maxi: 1.0
Runde8,0.75,1,False,Maxi: negative | Defector: negative,Maxi: 1.0 | Defector: 1.0
Runde9,0.75,0,False,Maxi: negative | Defector: negative,Maxi: 1.0 | Defector: 1.0
Runde10,0.75,0,False,Maxi: negative | Defector: negative,Maxi: 1.0 | Defector: 1.0
Runde11,0.75,0,False,Maxi: negative | Defector: negative,Maxi: 1.0 | Defector: 1.0
Runde12,0.75,0,False,Maxi: negative | Defector: negative,Maxi: 1.0 | Defector: 1.0
Runde13,0.75,0,False,Maxi: negative | Defector: negative,Maxi: 1.0 | Defector: 1.0
Runde14,0.75,0,False,Maxi: negative | Defector: negative,Maxi: 1.0 | Defector: 1.0
Runde15,0.75,0,False,Maxi: negative | Defector: negative,Maxi: 1.0 | Defector: 1.0
Runde16,0.75,0,False,Maxi: negative | Defector: negative,Maxi: 1.0 | Defector: 1.0
Runde17,0.75,0,False,Maxi: negative | Defector: negative,Maxi: 1.0 | Defector: 1.0
Runde18,0.75,0,False,Maxi: negative | Defector: negative,Maxi: 1.0 | Defector: 1.0
Runde19,0.75,0,False,Maxi: negative | Defector: negative,Maxi: 1.0 | Defector: 1.0
Runde20,0.75,0,False,Maxi: negative | Defector: negative,Maxi: 1.0 | Defector: 1.0
Runde21,1.0,0,False,Maxi: negative | Defector: negative,Maxi: 1.0 | Defector: 1.0
Runde22,1.0,0,False,Maxi:  | Defector: negative,Maxi: 1.0094689497356586 | Defector: 1.0
Runde23,0.25,1,False,Maxi: negative | Defector: negative,Maxi: 1.0094510514294714 | Defector: 1.0
Runde24,0.25,0,False,Maxi: negative | Defector: negative,Maxi: 1.0076977355827827 | Defector: 1.0
Runde25,,,False,,
