Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,11.0,1,False,,
Runde2,29.0,1,False,,
Runde3,41.0,13,False,,
Runde4,90.0,3,False,,
Runde5,121.0,12,False,Shaylah: positive | Valaree: positive | Randy: positive | Paulita: positive,Shaylah: 10 | Valaree: 10 | Randy: 10 | Paulita: 10
Runde6,131.5,15,False,Amabelle: positive | Shaylah: positive | Blaire: positive,Amabelle: 10 | Shaylah: 10.0 | Blaire: 10
Runde7,175.0,3,False,Shaylah: positive | Rheba: positive | Randy: positive,Shaylah: 10.0 | Rheba: 10 | Randy: 10.0
Runde8,203.5,9,False,Shaylah: positive | Tomasina: positive,Shaylah: 10.0 | Tomasina: 10
Runde9,228.5,3,False,Blaire: positive | Susannah: positive | Valaree: positive | Randy: positive,Blaire: 10.0 | Susannah: 10 | Valaree: 10.0 | Randy: 10.0
Runde10,263.0,7,False,Shaylah: positive | Blaire: positive | Tomasina: positive,Shaylah: 10.0 | Blaire: 10.0 | Tomasina: 10.0
Runde11,276.5,15,False,Shaylah: positive | Blaire: positive | Rheba: positive | Susannah: positive,Shaylah: 10.0 | Blaire: 10.0 | Rheba: 10.0 | Susannah: 10.0
Runde12,304.0,17,False,Randy: positive,Randy: 10.0
Runde13,332.5,0,False,Rheba: positive | Tomasina: positive,Rheba: 10.0 | Tomasina: 10.0
Runde14,360.5,16,False,Amabelle: positive | Blaire: positive,Amabelle: 10.0 | Blaire: 10.0
Runde15,384.0,13,False,,
Runde16,422.5,18,False,Shaylah: positive | Valaree: positive | Paulita: positive,Shaylah: 10.0 | Valaree: 10.0 | Paulita: 10.0
Runde17,460.0,3,False,Rheba: positive | Paulita: positive,Rheba: 10.0 | Paulita: 10.0
Runde18,499.5,1,False,Amabelle: positive | Shaylah: positive | Tomasina: positive,Amabelle: 10.0 | Shaylah: 10.0 | Tomasina: 10.0
Runde19,529.5,11,False,Rheba: positive | Valaree: positive | Randy: positive | Tomasina: positive,Rheba: 10.0 | Valaree: 10.0 | Randy: 10.0 | Tomasina: 10.0
Runde20,561.5,17,False,Amabelle: positive | Shaylah: positive | Randy: positive,Amabelle: 10.0 | Shaylah: 10.0 | Randy: 10.0
Runde21,595.0,1,False,Valaree: positive,Valaree: 10.0
Runde22,614.0,12,False,,
Runde23,634.5,5,False,Tomasina: positive,Tomasina: 10.0
Runde24,662.5,5,False,Amabelle: positive | Blaire: positive | Susannah: positive,Amabelle: 10.0 | Blaire: 10.0 | Susannah: 10.0
Runde25,,,False,,
