Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,8.0,4,False,,
Runde2,26.0,1,False,Susannah: positive,Susannah: 10
Runde3,46.0,5,False,Randy: positive,Randy: 10
Runde4,87.0,11,False,Paulita: positive,Paulita: 10
Runde5,128.0,2,False,Amabelle: positive | Shaylah: positive | Randy: positive | Paulita: positive | Tomasina: positive,Amabelle: 10 | Shaylah: 10 | Randy: 10.0 | Paulita: 10.0 | Tomasina: 10
Runde6,151.5,2,False,Amabelle: positive | Shaylah: positive | Lily: positive | Randy: positive,Amabelle: 10.0 | Shaylah: 10.0 | Lily: 10 | Randy: 10.0
Runde7,181.0,17,False,Shaylah: positive | Rheba: positive | Lily: positive,Shaylah: 10.0 | Rheba: 10 | Lily: 10.0
Runde8,203.5,15,False,Shaylah: positive | Paulita: positive,Shaylah: 10.0 | Paulita: 10.0
Runde9,230.5,1,False,Amabelle: positive | Susannah: positive | Lily: positive | Randy: positive,Amabelle: 10.0 | Susannah: 10.0 | Lily: 10.0 | Randy: 10.0
Runde10,265.0,7,False,Blaire: positive | Randy: positive,Blaire: 10 | Randy: 10.0
Runde11,278.5,15,False,Rheba: positive,Rheba: 10.0
Runde12,318.0,5,False,Amabelle: positive | Lily: positive | Randy: positive,Amabelle: 10.0 | Lily: 10.0 | Randy: 10.0
Runde13,342.5,4,False,Rheba: positive | Susannah: positive | Tomasina: positive,Rheba: 10.0 | Susannah: 10.0 | Tomasina: 10.0
Runde14,377.5,9,False,Amabelle: positive | Randy: positive,Amabelle: 10.0 | Randy: 10.0
Runde15,405.0,9,False,Rheba: positive,Rheba: 10.0
Runde16,449.5,12,False,Shaylah: positive | Paulita: positive | Tomasina: positive,Shaylah: 10.0 | Paulita: 10.0 | Tomasina: 10.0
Runde17,489.0,1,False,Shaylah: positive | Susannah: positive | Lily: positive | Paulita: positive | Tomasina: positive,Shaylah: 10.0 | Susannah: 10.0 | Lily: 10.0 | Paulita: 10.0 | Tomasina: 10.0
Runde18,519.5,10,False,Amabelle: positive | Randy: positive,Amabelle: 10.0 | Randy: 10.0
Runde19,560.5,0,False,Amabelle: positive | Shaylah: positive | Tomasina: positive,Amabelle: 10.0 | Shaylah: 10.0 | Tomasina: 10.0
Runde20,593.5,16,False,Amabelle: positive | Blaire: positive,Amabelle: 10.0 | Blaire: 10.0
Runde21,626.0,2,False,Amabelle: positive | Susannah: positive | Lily: positive,Amabelle: 10.0 | Susannah: 10.0 | Lily: 10.0
Runde22,647.0,10,False,Blaire: positive | Susannah: positive | Paulita: positive,Blaire: 10.0 | Susannah: 10.0 | Paulita: 10.0
Runde23,670.5,2,False,Lily: positive,Lily: 10.0
Runde24,700.5,3,False,Amabelle: positive | Lily: positive | Randy: positive,Amabelle: 10.0 | Lily: 10.0 | Randy: 10.0
Runde25,,,False,,
