Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,21.0,0,False,,
Runde2,62.5,11,False,Georgianna: positive,Georgianna: 10
Runde3,109.0,5,False,Cheryl: positive | Lilia: positive,Cheryl: 10 | Lilia: 10
Runde4,157.5,3,False,Cathrin: positive | Appolonia: positive | Suzi: positive,Cathrin: 10 | Appolonia: 10 | Suzi: 10
Runde5,209.0,15,False,Virgie: positive | Rhona: positive | Evelina: positive | Orelle: positive | Celina: positive,Virgie: 10 | Rhona: 10 | Evelina: 10 | Orelle: 10 | Celina: 10
Runde6,275.0,4,False,Orelle: positive,Orelle: 10.0
Runde7,320.5,19,False,Rhona: positive | Cheryl: positive | Bridie: positive | Cathrin: positive | Evelina: positive | Celina: positive,Rhona: 10.0 | Cheryl: 10.0 | Bridie: 10 | Cathrin: 10.0 | Evelina: 10.0 | Celina: 10.0
Runde8,377.5,4,False,Lilia: positive | Appolonia: positive,Lilia: 10.0 | Appolonia: 10.0
Runde9,425.0,7,False,Cheryl: positive | Evelina: positive | Orelle: positive | Appolonia: positive | Celina: positive,Cheryl: 10.0 | Evelina: 10.0 | Orelle: 10.0 | Appolonia: 10.0 | Celina: 10.0
Runde10,463.5,4,False,Rhona: positive | Lilia: positive | Georgianna: positive | Celina: positive,Rhona: 10.0 | Lilia: 10.0 | Georgianna: 10.0 | Celina: 10.0
Runde11,511.0,3,False,Evelina: positive,Evelina: 10.0
Runde12,560.5,1,False,Cheryl: positive | Cathrin: positive | Evelina: positive | Celina: positive,Cheryl: 10.0 | Cathrin: 10.0 | Evelina: 10.0 | Celina: 10.0
Runde13,629.0,0,False,Rhona: positive | Juliet: positive | Orelle: positive,Rhona: 10.0 | Juliet: 10 | Orelle: 10.0
Runde14,675.0,18,False,Virgie: positive | Juliet: positive | Georgianna: positive,Virgie: 10.0 | Juliet: 10.0 | Georgianna: 10.0
Runde15,706.5,17,False,Cathrin: positive | Appolonia: positive | Celina: positive,Cathrin: 10.0 | Appolonia: 10.0 | Celina: 10.0
Runde16,752.0,9,False,Cheryl: positive | Lilia: positive,Cheryl: 10.0 | Lilia: 10.0
Runde17,795.0,9,False,Rhona: positive | Cheryl: positive | Bridie: positive | Celina: positive,Rhona: 10.0 | Cheryl: 10.0 | Bridie: 10.0 | Celina: 10.0
Runde18,864.5,4,False,Cheryl: positive | Juliet: positive | Orelle: positive | Georgianna: positive | Appolonia: positive,Cheryl: 10.0 | Juliet: 10.0 | Orelle: 10.0 | Georgianna: 10.0 | Appolonia: 10.0
Runde19,911.0,11,False,Virgie: positive | Juliet: positive | Bridie: positive | Evelina: positive,Virgie: 10.0 | Juliet: 10.0 | Bridie: 10.0 | Evelina: 10.0
Runde20,972.0,6,False,Cheryl: positive | Juliet: positive | Bridie: positive | Cathrin: positive | Celina: positive,Cheryl: 10.0 | Juliet: 10.0 | Bridie: 10.0 | Cathrin: 10.0 | Celina: 10.0
Runde21,1009.0,5,False,Rhona: positive | Evelina: positive,Rhona: 10.0 | Evelina: 10.0
Runde22,1047.5,10,False,Suzi: positive,Suzi: 10.0
Runde23,1102.0,14,False,Rhona: positive | Orelle: positive | Georgianna: positive | Celina: positive,Rhona: 10.0 | Orelle: 10.0 | Georgianna: 10.0 | Celina: 10.0
Runde24,1153.5,3,False,Cathrin: positive | Evelina: positive | Orelle: positive | Georgianna: positive,Cathrin: 10.0 | Evelina: 10.0 | Orelle: 10.0 | Georgianna: 10.0
Runde25,,,False,,
