Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,6.0,0,False,,
Runde2,3.5,6,False,,
Runde3,6.5,0,False,,
Runde4,4.5,5,False,Melantha: positive,Melantha: 10
Runde5,5.0,0,False,,
Runde6,4.5,2,False,,
Runde7,5.0,0,False,Defector: negative,Defector: 1
Runde8,4.0,2,False,Melantha: negative,Melantha: 5.5
Runde9,3.5,2,False,Melantha: negative | Defector: negative,Melantha: 4.857142857142857 | Defector: 1.0
Runde10,4.5,1,False,,
Runde11,4.0,2,False,Defector: negative | Melantha: negative,Defector: 1.0 | Melantha: 4.6
Runde12,3.5,2,False,Melantha: negative,Melantha: 4.375
Runde13,5.0,0,False,Melantha: negative | Defector: negative,Melantha: 4.315789473684211 | Defector: 1.0
Runde14,6.0,0,False,Melantha: negative | Defector: negative,Melantha: 4.24 | Defector: 1.0
Runde15,5.5,3,False,,
Runde16,6.5,0,False,Melantha: positive,Melantha: 4.857142857142857
Runde17,6.0,1,False,,
Runde18,6.5,0,False,Melantha: ,Melantha: 5.032258064516129
Runde19,7.0,0,False,,
Runde20,6.0,3,False,,
Runde21,7.0,0,False,,
Runde22,7.0,0,False,Melantha: positive,Melantha: 5.470588235294118
Runde23,8.0,1,False,Melantha: ,Melantha: 5.5675675675675675
Runde24,4.0,8,False,Defector: negative,Defector: 1.0
Runde25,2.5,4,False,Melantha: negative | Defector: negative,Melantha: 5.534883720930233 | Defector: 1.0
Runde26,6.0,0,False,Melantha: negative | Defector: negative,Melantha: 5.137931034482759 | Defector: 1.0
Runde27,4.0,6,False,Melantha: positive,Melantha: 5.377049180327869
Runde28,4.0,3,False,Melantha: positive,Melantha: 5.59375
Runde29,5.5,1,False,Melantha: negative,Melantha: 5.522388059701493
Runde30,3.5,4,False,Melantha: negative | Defector: negative,Melantha: 5.397260273972603 | Defector: 1.0
Runde31,,,False,,
