Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,4.0,2,False,,
Runde2,6.5,1,False,,
Runde3,3.5,6,False,,
Runde4,5.5,1,False,Karilynn: negative | Defector: negative,Karilynn: 1.0 | Defector: 1
Runde5,5.0,1,False,Defector: negative,Defector: 1.0
Runde6,5.5,1,False,Karilynn: ,Karilynn: 1.6153846153846154
Runde7,5.0,1,False,Karilynn: negative | Defector: negative,Karilynn: 1.5 | Defector: 1.0
Runde8,6.0,0,False,Karilynn: negative | Defector: negative,Karilynn: 1.4210526315789473 | Defector: 1.0
Runde9,6.5,1,False,Defector: negative,Defector: 1.0
Runde10,5.5,3,False,Karilynn: positive,Karilynn: 2.1818181818181817
Runde11,6.0,1,False,,
Runde12,6.5,1,False,Karilynn: positive,Karilynn: 2.76
Runde13,5.0,3,False,,
Runde14,4.0,2,False,Karilynn: ,Karilynn: 2.857142857142857
Runde15,4.5,2,False,Karilynn: ,Karilynn: 2.935483870967742
Runde16,3.5,2,False,,
Runde17,4.0,0,False,Karilynn: negative,Karilynn: 2.7
Runde18,3.5,1,False,Karilynn: negative | Defector: negative,Karilynn: 2.4782608695652173 | Defector: 1.0
Runde19,3.0,1,False,Karilynn: negative | Defector: negative,Karilynn: 2.2363636363636363 | Defector: 1.0
Runde20,4.0,1,False,Karilynn: negative | Defector: negative,Karilynn: 1.9315068493150684 | Defector: 1.0
Runde21,3.0,2,False,Karilynn: negative | Defector: negative,Karilynn: 1.829268292682927 | Defector: 1.0
Runde22,3.0,0,False,Karilynn: negative | Defector: negative,Karilynn: 1.7234042553191489 | Defector: 1.0
Runde23,2.0,3,False,Karilynn:  | Defector: negative,Karilynn: 1.7010309278350515 | Defector: 1.0
Runde24,6.0,0,False,Karilynn: negative | Defector: negative,Karilynn: 1.6415094339622642 | Defector: 1.0
Runde25,7.5,1,False,Karilynn: positive,Karilynn: 1.7889908256880733
Runde26,4.0,7,False,Karilynn:  | Defector: negative,Karilynn: 1.7678571428571428 | Defector: 1.0
Runde27,6.0,2,False,Karilynn: ,Karilynn: 1.7966101694915255
Runde28,6.0,3,False,Karilynn: positive,Karilynn: 1.967741935483871
Runde29,4.5,4,False,Karilynn: positive,Karilynn: 2.0866141732283463
Runde30,6.5,0,False,,
Runde31,,,False,,
