Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,9.0,0,False,,
Runde2,18.0,0,False,,
Runde3,26.0,0,False,,
Runde4,31.0,0,False,,
Runde5,42.0,0,False,,
Runde6,56.5,0,False,,
Runde7,69.0,0,False,,
Runde8,83.5,0,False,,
Runde9,110.0,0,False,,
Runde10,134.0,0,False,,
Runde11,149.0,0,False,,
Runde12,163.5,0,False,,
Runde13,178.5,0,False,,
Runde14,194.5,0,False,,
Runde15,204.0,0,False,,
Runde16,217.5,0,False,,
Runde17,229.0,0,False,,
Runde18,240.0,0,False,,
Runde19,250.5,0,False,,
Runde20,264.0,0,False,,
Runde21,283.5,0,False,,
Runde22,300.0,0,False,,
Runde23,316.5,0,False,,
Runde24,329.5,0,False,,
Runde25,,,False,,
